España											
Actualizado: sábado, 31 enero 2015 a las 09:00 hora oficial											
Fecha: viernes, 30 enero 2015											
											
Estación	Provincia	Temperatura máxima (ºC)	Temperatura mínima (ºC)	Temperatura media (ºC)	Racha (km/h)	Velocidad máxima (km/h)	Precipitación 00-24h (mm)	Precipitación 00-06h (mm)	Precipitación 06-12h (mm)	Precipitación 12-18h (mm)	Precipitación 18-24h (mm)
Estaca de Bares	A Coruña	12.5 (12:50)	10.1 (03:20)	11,3	122 (16:40)	94 (16:50)	7,2	2,8	2,8	0,8	0,8
As Pontes	A Coruña	11.2 (13:50)	9.1 (05:10)	10,2			60,6	11	20,4	20,4	8,8
A Coruña	A Coruña	12.9 (13:30)	11.5 (05:00)	12,2	81 (20:40)	45 (20:30)	22,8	4,2	10,4	2,4	5,8
A Coruña Aeropuerto	A Coruña	13.1 (13:10)	11.4 (04:20)	12,3	78 (20:50)	43 (16:30)	28,6	5,6	12,3	5,7	5
Carballo, Depuradora	A Coruña	12.6 (13:40)	10.8 (23:40)	11,7			39,4	6,6	10,6	12,8	9,4
Cabo Vilan	A Coruña										
Vimianzo	A Coruña	11.6 (12:20)	9.8 (23:59)	10,7							
Fisterra	A Coruña							0,4			
Mazaricos	A Coruña	11.5 (12:30)	9.5 (23:50)	10,5			23,6	2,2	6,6	9,8	5
Sobrado	A Coruña	10.5 (13:50)	7.9 (23:50)	9,2			64,4	12	18,8	20	13,6
Santiago de Compostela Aeropuerto	A Coruña	12.1 (13:30)	9.6 (23:50)	10,9	54 (21:20)	34 (22:50)	17,1	2	3,5	6,9	4,7
Noia	A Coruña	12.9 (13:50)	10.1 (23:59)	11,5	44 (23:40)	11 (16:00)	28	1	6,8	10,8	9,4
Monte Iroite	A Coruña	9.9 (14:00)	8.1 (22:20)	9	95 (19:20)	59 (15:50)	56,1	5,3	14,1	23,5	13,2
Boiro	A Coruña	14.0 (13:30)	12.4 (03:50)	13,2			49,2	3,8	12,8	21	11,6
Padrón	A Coruña	14.2 (14:00)	11.7 (23:59)	12,9	50 (23:00)	16 (22:50)	13,3	0,3	2,7	5,5	4,8
Santiago de Compostela	A Coruña	12.7 (13:50)	10.7 (23:59)	11,7	31 (14:20)	8 (20:10)	23,3	3	5,8	8,7	5,8
Rois, Casas do Porto	A Coruña	13.0 (13:40)	10.6 (23:59)	11,8			36,4	1,6	8,2	15	11,6
Ossa de Montiel	Albacete	10.2 (13:20)	7.8 (03:00)	9	63 (19:40)	35 (22:40)	4,6	0,8	0,4	0,6	2,8
Villarrobledo	Albacete				73 (14:10)	40 (13:40)	0,2	0	0	0	0,2
Munera	Albacete	10.7 (13:00)	8.0 (03:20)	9,3	66 (23:00)	27 (23:40)	1,6	0,2	0,2	0	1,2
Yeste, Embalse Fuensanta	Albacete	15.6 (14:30)	11.5 (01:10)	13,6			0	0	0	0	0
Yeste	Albacete	13.6 (15:20)	9.7 (00:30)	11,7			0,6	0	0	0	0,6
Hellín	Albacete	17.3 (14:30)	12.6 (00:10)	14,9	81 (03:40)	53 (01:10)	0	0	0	0	0
Tobarra	Albacete	17.3 (15:10)	11.8 (03:20)	14,5			0	0	0	0	0
Chinchilla	Albacete	11.9 (15:10)	6.3 (00:00)	9,1		60 (15:10)	0	0	0	0	0
Albacete	Albacete	14.3 (14:30)	9.7 (00:10)	12	77 (15:00)	35 (01:30)	0	0	0	0	0
Alcalá del Júcar	Albacete	14.6 (16:10)	10.5 (05:00)	12,6	86 (17:00)	45 (15:10)	4,8	0	0	0	4,8
Almansa	Albacete	15.1 (15:30)	9.0 (00:00)	12,1	93 (23:20)	49 (16:10)	0	0	0	0	0
Orihuela	Alacant/Alicante	23.8 (14:30)	11.9 (02:10)	17,8	63 (16:20)	33 (16:20)	0	0	0	0	0
Pinoso	Alacant/Alicante	18.1 (15:30)	9.9 (00:30)	14	75 (23:00)	37 (09:40)	0	0	0	0	0
Rojales	Alacant/Alicante	23.9 (15:00)	14.2 (02:40)	19	68 (16:50)	42 (14:50)	0	0	0	0	0
Villena	Alacant/Alicante	19.4 (14:00)	12.2 (00:00)	15,8	79 (12:40)	52 (03:50)	0	0	0	0	0
Novelda	Alacant/Alicante	21.4 (14:30)	14.4 (00:00)	17,9			0	0	0	0	0
Elche/Elx	Alacant/Alicante	23.2 (14:00)	15.1 (00:00)	19,2			0	0	0	0	0
Alicante/Alacant Aeropuerto	Alacant/Alicante	23.7 (14:30)	15.0 (05:50)	19,4	78 (16:30)	49 (16:10)	0	0	0	0	0
Alicante/Alacant	Alacant/Alicante	23.5 (14:10)	15.0 (00:10)	19,3	50 (17:00)	22 (01:50)	0	0	0	0	0
Benidorm	Alacant/Alicante	24.6 (15:20)	16.2 (00:00)	20,4			0	0	0	0	0
Jávea/ Xàbia	Alacant/Alicante	23.3 (13:30)	14.1 (04:40)	18,7	61 (14:00)	30 (12:40)	0	0	0	0	0
Pego	Alacant/Alicante	22.7 (15:10)	17.0 (00:10)	19,9	84 (23:20)	47 (22:10)	0	0	0	0	0
Alcoy/Alcoi	Alacant/Alicante	21.5 (14:10)	12.0 (01:30)	16,8	86 (00:30)	48 (01:00)	0	0	0	0	0
Vélez Blanco	Almería	14.6 (14:30)	6.7 (03:10)	10,7			0	0	0	0	0
Adra	Almería	19.6 (12:30)	13.8 (07:00)	16,7	99 (21:30)	57 (20:30)	0	0	0	0	0
El Ejido	Almería	23.5 (12:50)	11.8 (07:00)	17,7			0	0	0	0	0
Roquetas de Mar	Almería	18.6 (15:20)	13.6 (00:40)	16,1	119 (20:20)	72 (23:10)	0	0	0	0	0
Abla	Almería	17.7 (13:10)	10.0 (02:40)	13,9	64 (23:00)	31 (23:30)	0	0	0	0	0
Láujar de Andarax	Almería	14.0 (14:10)	7.3 (09:30)	10,7	135 (21:10)	87 (23:59)	0	0	0	0	0
Almería Aeropuerto	Almería	20.7 (15:50)	13.5 (02:40)	17,1	85 (23:20)	60 (23:20)	0	0	0	0	0
Cabo de Gata	Almería	17.0 (13:40)	15.0 (01:50)	16	80 (23:30)	50 (23:50)	0	0	0	0	0
Garrucha, Puerto	Almería	24.5 (15:00)	18.0 (00:50)	21,3	84 (23:10)	55 (22:10)	0	0	0	0	0
Albox	Almería	18.4 (15:10)	12.6 (00:00)	15,5	98 (23:50)	60 (23:59)	0	0	0	0	0
Huercal Overa	Almería	19.6 (14:00)	13.9 (00:00)	16,8	85 (14:30)	49 (14:20)	3,1	0	0	2,7	0,4
Aramaio	Araba/Álava	9.2 (00:00)	3.2 (19:40)	6,2			117	23,6	32,8	30,8	29,8
Amurrio	Araba/Álava							6	23,4		15,2
Lalastra	Araba/Álava	8.1 (00:50)	3.5 (09:50)	5,8	68 (21:30)	37 (21:30)	44	2	11,2	17,2	13,6
Opakua	Araba/Álava	9.2 (01:00)	3.5 (18:30)	6,3	48 (03:50)	31 (04:40)	52,6	2,6	12,4	17,8	19,8
Vitoria Gasteiz Aeropuerto	Araba/Álava	10.3 (00:50)	5.3 (18:40)	7,8	78 (23:50)	44 (23:59)	57,8	6	14,9	18,6	18,3
Labastida	Araba/Álava	10.4 (00:00)	6.1 (11:10)	8,2	68 (22:10)	32 (15:00)	18	0,2	2,4	3	12,4
Leza	Araba/Álava	10.5 (00:00)	6.2 (10:20)	8,3			22,4	0,2	3,6	3	15,6
Campezo/Kanpezu	Araba/Álava	10.6 (02:10)	4.7 (20:30)	7,7			46,2	1,2	8,8	14,8	21,4
Cabrales	Asturias										
Llanes	Asturias	14.2 (16:50)	10.1 (23:50)	12,2	91 (02:00)	49 (02:00)	52,4	8,4	23,2	12,6	8,2
Amieva, Panizales	Asturias	12.2 (18:10)	8.4 (23:59)	10,3	53 (23:00)	18 (22:40)	53,8	13	16	13,6	11,2
Piloña	Asturias	11.4 (15:50)	8.4 (23:59)	9,9	59 (01:00)	26 (01:00)	50,8	7,8	16,6	14,6	11,8
Colunga	Asturias	13.8 (16:30)	9.8 (23:20)	11,8	68 (21:10)	32 (21:00)	49,4	6,6	23,2	6	13,6
Gijón, Campus	Asturias	13.9 (16:20)	9.6 (23:20)	11,8	76 (20:00)	38 (20:00)	37,2	6,4	14	6,4	10,4
