España											
Actualizado: miércoles, 25 enero 2017 a las 14:00 hora oficial											
Fecha: martes, 24 enero 2017											
											
Estación	Provincia	Temperatura máxima (ºC)	Temperatura mínima (ºC)	Temperatura media (ºC)	Racha (km/h)	Velocidad máxima (km/h)	Precipitación 00-24h (mm)	Precipitación 00-06h (mm)	Precipitación 06-12h (mm)	Precipitación 12-18h (mm)	Precipitación 18-24h (mm)
Estaca de Bares	A Coruña	11.8 (15:20)	6.9 (07:10)	9,4	33 (13:40)	27 (13:40)	0	0	0	0	0
As Pontes	A Coruña	10.0 (15:10)	-3.3 (05:10)	3,4			0	0	0	0	0
A Coruña	A Coruña	12.9 (15:20)	3.5 (07:10)	8,2	22 (09:00)	14 (23:00)	0	0	0	0	0
A Coruña Aeropuerto	A Coruña	12.6 (14:40)	-2.0 (07:00)	5,3	26 (07:20)	13 (04:50)	0,1	0	0,1	0	0
Carballo, Depuradora	A Coruña										
Cabo Vilan	A Coruña	12.1 (14:40)	4.1 (07:10)	8,1	31 (19:20)	23 (15:50)	0	0	0	0	0
Vimianzo	A Coruña	12.8 (15:00)	0.2 (06:20)	6,5			0	0	0	0	0
Fisterra	A Coruña	12.4 (14:20)	6.7 (08:40)	9,5	36 (22:30)	23 (23:00)	0	0	0	0	0
Mazaricos	A Coruña	10.6 (15:20)	-2.9 (08:30)	3,9			0	0	0	0	0
Sobrado	A Coruña	13.5 (15:20)	-4.7 (09:00)	4,4			0	0	0	0	0
Santiago de Compostela Aeropuerto	A Coruña	12.1 (14:30)	-2.4 (04:00)	4,9	18 (14:50)			0	0	0	
Noia	A Coruña	11.6 (13:40)	2.2 (08:50)	6,9	15 (16:30)	6 (22:10)	0	0	0	0	0
Boiro	A Coruña	13.2 (16:40)	-1.1 (08:50)	6			0	0	0	0	0
Padrón	A Coruña	13.8 (15:30)	-2.7 (08:40)	5,6	30 (05:00)	22 (07:20)	0	0	0	0	0
Santiago de Compostela	A Coruña	13.4 (17:00)	0.1 (09:20)	6,7	15 (10:20)	7 (05:30)	0	0	0	0	0
Rois, Casas do Porto	A Coruña	12.7 (15:40)	1.3 (07:40)	7			0	0	0	0	0
Ossa de Montiel	Albacete	10.0 (14:20)	-3.9 (07:20)	3	26 (14:10)	10 (14:30)	0	0	0	0	0
Villarrobledo	Albacete	12.2 (16:20)	-1.5 (07:30)	5,3	33 (15:00)	23 (12:10)	0	0	0	0	0
Yeste, Embalse Fuensanta	Albacete	14.1 (16:20)	0.1 (08:50)	7,1			0	0	0	0	0
Yeste	Albacete	11.2 (15:20)	2.5 (05:20)	6,8			0	0	0	0	0
Hellín	Albacete	11.9 (16:10)	3.7 (07:20)	7,8	55 (10:10)	30 (10:10)	0	0	0	0	0
Tobarra	Albacete	12.6 (15:50)	4.0 (06:00)	8,3			0	0	0	0	0
Chinchilla	Albacete	7.0 (17:00)	-1.8 (08:00)	2,6	51 (15:00)	27 (14:40)	0	0	0	0	0
Albacete	Albacete							0	0	0	
Almansa	Albacete	8.1 (15:10)	-1.5 (06:10)	3,3	31 (14:20)	14 (14:20)	0	0	0	0	0
Orihuela	Alacant/Alicante	15.8 (16:30)	5.7 (23:59)	10,8	28 (07:50)	19 (07:40)	0	0	0	0	0
Pinoso	Alacant/Alicante	11.6 (15:00)	0.8 (22:30)	6,2	28 (03:50)	13 (14:10)	0	0	0	0	0
