España											
Actualizado: viernes, 08 enero 2016 a las 09:00 hora oficial											
Fecha: jueves, 07 enero 2016											
											
Estación	Provincia	Temperatura máxima (ºC)	Temperatura mínima (ºC)	Temperatura media (ºC)	Racha (km/h)	Velocidad máxima (km/h)	Precipitación 00-24h (mm)	Precipitación 00-06h (mm)	Precipitación 06-12h (mm)	Precipitación 12-18h (mm)	Precipitación 18-24h (mm)
Estaca de Bares	A Coruña	15.0 (03:50)	9.6 (21:50)	12,3	140 (03:00)	109 (03:10)	72,2	1,4	6	23,4	41,4
As Pontes	A Coruña	13.7 (22:50)	10.5 (18:00)	12,1			93,8	13,6	36,4	37,8	6
A Coruña	A Coruña	15.9 (03:40)	11.9 (18:10)	13,9	73 (03:50)	40 (03:20)	58,8	4,2	14	39	1,6
A Coruña Aeropuerto	A Coruña	15.9 (23:59)	12.0 (15:40)	13,9	68 (23:50)	40 (23:59)	30,2	3,5	10,7	15,3	0,7
Carballo, Depuradora	A Coruña	14.9 (03:20)	12.2 (13:20)	13,5			51,2	10,8	17,8	16,8	5,8
Cabo Vilan	A Coruña	14.2 (22:10)	11.0 (11:50)	12,6	92 (06:00)	69 (23:10)	38,6	6,1	13,8	18,4	0,3
Vimianzo	A Coruña	13.6 (23:00)	11.7 (11:10)	12,7			54,6	10,8	17,4	25	1,4
Fisterra	A Coruña	13.8 (07:30)	12.0 (10:30)	12,9	111 (05:30)	83 (23:20)	15	1,4	3,4	10,2	0
Mazaricos	A Coruña	13.3 (09:00)	11.7 (11:40)	12,5			72,4	22,4	15,8	33,2	1
Sobrado	A Coruña	12.8 (12:40)	10.7 (00:00)	11,8			66,4	11,8	23,8	26,6	4,2
Santiago de Compostela Aeropuerto	A Coruña	13.6 (12:50)	12.0 (01:20)	12,8	78 (16:10)	42 (03:30)	79,3	21,6	28	25,5	4,2
Noia	A Coruña	15.4 (22:30)	13.1 (13:00)	14,3	77 (16:10)	26 (16:40)	53,6	11,4	17,2	24,2	0,8
Monte Iroite	A Coruña	12.2 (09:40)	10.5 (00:30)	11,3			52,5	10,7	24,3	13,3	4,2
Boiro	A Coruña	15.3 (01:40)	14.6 (05:50)	15			38,4	5,2	27	4,4	1,8
Padrón	A Coruña	15.3 (19:50)	13.6 (01:00)	14,5	80 (01:50)	40 (02:50)	48,4	9,4	22,7	13,6	2,7
Santiago de Compostela	A Coruña	14.2 (10:30)	12.8 (00:10)	13,5	61 (17:10)	18 (17:10)	76	11,7	17,9	26,9	19,5
Rois, Casas do Porto	A Coruña	14.1 (09:50)	12.8 (01:10)	13,5			21	0	0	12,8	8,2
Ossa de Montiel	Albacete	11.9 (15:20)	6.5 (00:00)	9,2	49 (02:40)	27 (02:00)	0	0	0	0	0
Villarrobledo	Albacete	13.8 (14:00)	7.0 (00:00)	10,4	63 (06:40)	40 (01:40)	0	0	0	0	0
Munera	Albacete	10.4 (16:20)	6.3 (00:00)	8,3	48 (02:00)	22 (01:30)	0,6	0	0,6	0	0
Yeste, Embalse Fuensanta	Albacete	15.9 (16:00)	10.3 (00:00)	13,1			0	0	0	0	0
Yeste	Albacete	13.9 (15:50)	7.9 (00:00)	10,9			0	0	0	0	0
Hellín	Albacete	17.1 (14:10)	9.8 (00:40)	13,5	63 (12:50)	41 (12:50)	0	0	0	0	0
Tobarra	Albacete	16.7 (16:10)	9.3 (00:00)	13			0	0	0	0	0
Chinchilla	Albacete	11.8 (14:50)	5.9 (00:00)	8,9	70 (12:40)	45 (12:40)	0	0	0	0	0
Albacete	Albacete	13.8 (14:10)	8.6 (00:10)	11,2	47 (14:10)	20 (13:30)	0	0	0	0	0
Alcalá del Júcar	Albacete	14.0 (15:00)	7.6 (00:00)	10,8	56 (02:00)	33 (00:30)	0	0	0	0	0
Almansa	Albacete	15.8 (15:00)	8.2 (00:00)	12	67 (03:30)	37 (03:40)	0	0	0	0	0
Orihuela	Alacant/Alicante	22.7 (15:50)	11.4 (05:20)	17,1	44 (19:40)	23 (19:40)	0	0	0	0	0
Pinoso	Alacant/Alicante	17.9 (14:50)	5.4 (00:00)	11,6	40 (13:20)	10 (13:50)	0	0	0	0	0
Rojales	Alacant/Alicante	23.2 (15:50)	12.9 (00:00)	18,1	44 (16:10)	29 (16:10)	0	0	0	0	0
Villena	Alacant/Alicante	19.2 (15:00)	5.6 (23:59)	12,4	53 (13:30)	32 (14:50)	0	0	0	0	0
Novelda	Alacant/Alicante	21.3 (15:30)	11.4 (00:00)	16,3			0	0	0	0	0
Elche/Elx	Alacant/Alicante										
Alicante/Alacant Aeropuerto	Alacant/Alicante	22.5 (15:40)	11.4 (02:00)	16,9	67 (14:00)	45 (13:00)	0	0	0	0	0
Alicante/Alacant	Alacant/Alicante	23.1 (15:20)	13.0 (00:00)	18,1	48 (20:30)	23 (19:20)	0	0	0	0	0
Benidorm	Alacant/Alicante	23.1 (16:00)	12.7 (01:40)	17,9			0	0	0	0	0
Jávea/ Xàbia	Alacant/Alicante	23.0 (16:10)	11.5 (01:00)	17,3	69 (14:00)	32 (14:00)	0	0	0	0	0
Pego	Alacant/Alicante	22.1 (16:00)	15.2 (00:00)	18,7	76 (13:20)	46 (12:50)	0	0	0	0	0
Alcoy/Alcoi	Alacant/Alicante	18.2 (15:50)	9.8 (00:00)	14	80 (15:20)	40 (15:10)	0	0	0	0	0
Vélez Blanco	Almería						0	0	0	0	0
Adra	Almería	21.0 (12:00)	13.0 (03:10)	17	46 (00:50)	24 (16:20)	0	0	0	0	0
El Ejido	Almería	24.3 (15:00)	9.9 (04:40)	17,1			0	0	0	0	0
Roquetas de Mar	Almería										
Abla	Almería	19.3 (15:10)	8.3 (00:10)	13,8	44 (04:30)	18 (05:50)	0	0	0	0	0
Láujar de Andarax	Almería										
Almería Aeropuerto	Almería	18.4 (13:50)	7.4 (06:20)	12,9	21 (03:00)	16 (04:50)	0	0	0	0	0
Cabo de Gata	Almería	18.7 (13:40)	13.9 (05:50)	16,3	42 (03:10)	25 (03:10)	0	0	0	0	0
Carboneras	Almería	22.4 (15:10)	11.2 (07:50)	16,8			0	0	0	0	0
