España											
Actualizado: sábado, 24 enero 2015 a las 09:00 hora oficial											
Fecha: viernes, 23 enero 2015											
											
Estación	Provincia	Temperatura máxima (ºC)	Temperatura mínima (ºC)	Temperatura media (ºC)	Racha (km/h)	Velocidad máxima (km/h)	Precipitación 00-24h (mm)	Precipitación 00-06h (mm)	Precipitación 06-12h (mm)	Precipitación 12-18h (mm)	Precipitación 18-24h (mm)
Estaca de Bares	A Coruña	12.7 (14:00)	8.0 (08:50)	10,3	26 (08:40)	19 (09:30)	1	0	1	0	0
As Pontes	A Coruña	10.2 (16:40)	5.3 (09:00)	7,8			0,2	0	0	0	0,2
A Coruña	A Coruña	12.9 (14:40)	8.7 (03:30)	10,8	14 (19:30)	9 (19:30)	0,2	0,2	0	0	0
A Coruña Aeropuerto	A Coruña	13.4 (16:00)	7.8 (08:50)	10,6	24 (17:50)	5 (06:30)	0	0	0	0	0
Carballo, Depuradora	A Coruña	12.0 (14:00)	8.0 (09:30)	10			0,8	0	0	0,2	0,6
Cabo Vilan	A Coruña	11.4 (00:00)	9.2 (04:50)	10,3	40 (00:30)	27 (00:30)	2,6	0,8	0	1,4	0,4
Vimianzo	A Coruña	10.6 (15:20)	8.0 (07:50)	9,3			0,8	0,8	0	0	0
Fisterra	A Coruña	10.8 (00:00)	9.0 (07:10)	9,9	62 (01:10)	42 (01:10)	3,2	0	0	2,4	0,8
Mazaricos	A Coruña	10.0 (14:20)	7.6 (08:40)	8,8							
Sobrado	A Coruña	9.0 (15:50)	4.7 (09:10)	6,8			0,4	0,2	0,2	0	0
Santiago de Compostela Aeropuerto	A Coruña	11.3 (16:00)	6.1 (08:50)	8,7			0	0	0	0	0
Noia	A Coruña	11.1 (15:40)	7.6 (07:00)	9,4	6 (12:20)	3 (00:20)	2,2	1,2	0	0,4	0,6
Monte Iroite	A Coruña	8.9 (14:20)	0.0 (01:40)	4,4	24 (08:00)	14 (07:50)	2,1	1,3	0,1	0,5	0,2
Boiro	A Coruña	11.6 (16:00)	7.7 (08:50)	9,7			2	2	0	0	0
Padrón	A Coruña	12.8 (16:50)	8.4 (09:50)	10,6	17 (11:40)	13 (11:40)	0,6	0,5	0	0	0,1
Santiago de Compostela	A Coruña	11.1 (15:00)	7.6 (07:20)	9,4	8 (13:20)	3 (13:20)	0,3	0,1	0	0,2	0
Rois, Casas do Porto	A Coruña	10.6 (15:00)	7.5 (07:20)	9,1			0,6	0,6	0	0	0
Ossa de Montiel	Albacete	6.1 (14:00)	-2.4 (07:20)	1,8	33 (14:10)	16 (14:10)	0	0	0	0	0
Villarrobledo	Albacete				29 (16:50)	14 (12:50)	0	0	0	0	0
Munera	Albacete	5.5 (15:40)	-1.8 (08:50)	1,9	36 (16:20)	18 (14:30)	0	0	0	0	0
Yeste, Embalse Fuensanta	Albacete	9.2 (16:40)	3.6 (09:00)	6,4			0	0	0	0	0
Yeste	Albacete	6.5 (14:00)	1.4 (03:40)	3,9			0	0	0	0	0
Hellín	Albacete	8.9 (16:40)	3.1 (08:30)	6	68 (09:00)	40 (07:40)	0	0	0	0	0
Tobarra	Albacete	9.2 (16:10)	2.8 (08:20)	6			0	0	0	0	0
Chinchilla	Albacete	5.4 (16:00)	-2.9 (08:10)	1,3		36 (14:40)	0	0	0	0	0
Albacete	Albacete	9.3 (15:30)	-0.4 (06:20)	4,5				0		0	0
Alcalá del Júcar	Albacete	10.1 (16:00)	-1.1 (08:20)	4,5	39 (16:20)	24 (16:20)	0	0	0	0	0
Almansa	Albacete	9.2 (16:10)	0.4 (08:30)	4,8	36 (12:30)	16 (10:20)	0	0	0	0	0
Orihuela	Alacant/Alicante	13.8 (17:20)	6.9 (04:40)	10,4	54 (12:10)	27 (12:30)	0	0	0	0	0
Pinoso	Alacant/Alicante	9.8 (15:20)	0.9 (07:00)	5,4	42 (07:30)	22 (07:30)	0	0	0	0	0
Rojales	Alacant/Alicante	14.3 (16:00)	5.4 (05:50)	9,9	41 (07:20)	25 (12:40)	0	0	0	0	0
Villena	Alacant/Alicante	10.5 (16:00)	0.5 (04:30)	5,5	40 (14:10)	24 (13:00)	0	0	0	0	0
