España											
Actualizado: domingo, 15 enero 2017 a las 14:00 hora oficial											
Fecha: sábado, 14 enero 2017											
											
Estación	Provincia	Temperatura máxima (ºC)	Temperatura mínima (ºC)	Temperatura media (ºC)	Racha (km/h)	Velocidad máxima (km/h)	Precipitación 00-24h (mm)	Precipitación 00-06h (mm)	Precipitación 06-12h (mm)	Precipitación 12-18h (mm)	Precipitación 18-24h (mm)
Estaca de Bares	A Coruña	12.3 (15:10)	6.3 (01:50)	9,3	51 (06:50)	27 (07:00)	3	2,6	0,4	0	0
As Pontes	A Coruña	8.1 (15:00)	-0.2 (09:40)	4			4	2	1	0,4	0,6
A Coruña	A Coruña	11.8 (15:40)	5.7 (08:10)	8,8	32 (17:50)	19 (17:50)	5,4	1,6	2	0,8	1
A Coruña Aeropuerto	A Coruña	11.3 (16:20)	2.3 (07:20)	6,8	21 (16:30)	13 (01:00)	4,3	2	0,5	0,7	1,1
Carballo, Depuradora	A Coruña										
Cabo Vilan	A Coruña	10.6 (14:20)	7.3 (09:50)	9	64 (09:40)	43 (09:40)	2,3	0,1	2,1	0,1	0
Vimianzo	A Coruña	9.6 (13:20)	3.0 (08:00)	6,3			4,2	1,8	2,2	0,2	0
Fisterra	A Coruña	10.0 (16:00)	6.6 (10:20)	8,3	52 (01:40)	34 (05:30)	2,4	1,2	1	0,2	0
Mazaricos	A Coruña	8.7 (16:30)	2.2 (09:00)	5,4			0	0	0	0	0
Sobrado	A Coruña	8.2 (16:30)	-1.9 (08:40)	3,1			0,4	0	0	0,4	0
Santiago de Compostela Aeropuerto	A Coruña	9.2 (16:20)	-0.1 (08:30)	4,5	26 (16:40)	12 (17:10)	0,3	0,3	0	0	0
Noia	A Coruña	11.2 (14:40)	3.0 (06:10)	7,1	17 (17:30)	6 (13:10)	0,2	0	0,2	0	0
Boiro	A Coruña	12.6 (16:00)	1.1 (08:30)	6,9			0	0	0	0	0
Padrón	A Coruña	10.8 (16:50)	1.4 (07:10)	6,1	28 (09:50)	23 (09:50)	0,3	0,2	0	0	0,1
Santiago de Compostela	A Coruña	11.0 (16:20)	1.9 (06:10)	6,4	20 (18:00)	7 (15:20)	0,9	0,1	0,4	0,3	0,1
Rois, Casas do Porto	A Coruña	9.9 (15:20)	1.1 (09:50)	5,5			0,6	0,4	0,2	0	0
Ossa de Montiel	Albacete	5.9 (15:40)	-3.6 (08:20)	1,2	35 (14:50)	17 (15:30)	0	0	0	0	0
Villarrobledo	Albacete	9.8 (16:20)	-3.5 (08:50)	3,2	30 (13:50)	19 (14:10)	0	0	0	0	0
Yeste, Embalse Fuensanta	Albacete	8.9 (14:50)	-0.4 (08:20)	4,2			0	0	0	0	0
Yeste	Albacete	7.5 (15:00)	0.7 (08:30)	4,1			0	0	0	0	0
Hellín	Albacete	8.7 (16:10)	0.6 (08:10)	4,6	51 (12:40)	27 (11:20)	0	0	0	0	0
