España											
Actualizado: martes, 13 enero 2015 a las 09:00 hora oficial											
Fecha: lunes, 12 enero 2015											
											
Estación	Provincia	Temperatura máxima (ºC)	Temperatura mínima (ºC)	Temperatura media (ºC)	Racha (km/h)	Velocidad máxima (km/h)	Precipitación 00-24h (mm)	Precipitación 00-06h (mm)	Precipitación 06-12h (mm)	Precipitación 12-18h (mm)	Precipitación 18-24h (mm)
Estaca de Bares	A Coruña	15.3 (14:50)	9.1 (08:20)	12,2	88 (21:50)	63 (21:50)	0,2	0	0	0	0,2
As Pontes	A Coruña	14.4 (14:40)	1.1 (08:30)	7,7							
A Coruña	A Coruña	15.3 (14:20)	8.6 (08:40)	12	42 (22:30)	24 (15:20)	0	0	0	0	0
A Coruña Aeropuerto	A Coruña	14.9 (14:20)	4.4 (09:20)	9,6	50 (23:40)	30 (23:20)	0	0	0	0	0
Carballo, Depuradora	A Coruña	14.0 (13:40)	0.9 (06:10)	7,4			0	0	0	0	0
Cabo Vilan	A Coruña	12.2 (15:40)	9.5 (08:30)	10,8	70 (23:30)	52 (23:40)	1,5	0	0	0	1,5
Vimianzo	A Coruña	11.2 (12:50)	4.4 (01:30)	7,8							
Fisterra	A Coruña	11.3 (17:40)	9.6 (12:10)	10,5	77 (23:59)	57 (23:10)	0,2	0	0	0	0,2
Mazaricos	A Coruña	10.1 (12:30)	6.9 (07:20)	8,5							
Sobrado	A Coruña	13.3 (14:40)	0.8 (09:00)	7,1			0	0	0	0	0
Santiago de Compostela Aeropuerto	A Coruña	12.7 (13:40)	5.0 (09:00)	8,8	48 (15:20)	29 (15:20)	0	0	0	0	0
Noia	A Coruña	12.4 (13:10)	6.4 (07:40)	9,4	31 (20:30)	14 (19:40)	0	0	0	0	0
Monte Iroite	A Coruña	10.1 (00:10)	6.3 (09:10)	8,2	64 (22:50)	44 (22:20)	0,2	0	0	0	0,2
Boiro	A Coruña	12.6 (22:10)	4.6 (06:50)	8,6			0	0	0	0	0
Padrón	A Coruña	13.4 (14:00)	2.9 (08:40)	8,1	49 (14:30)	20 (14:30)	0	0	0	0	0
Santiago de Compostela	A Coruña										
Rois, Casas do Porto	A Coruña	11.5 (13:40)	3.9 (10:30)	7,7			0	0	0	0	0
Ossa de Montiel	Albacete	17.8 (13:40)	2.0 (00:00)	9,9	24 (03:00)	10 (03:50)	0	0	0	0	0
Villarrobledo	Albacete				31 (12:50)	17 (12:20)	0	0	0	0	0
Munera	Albacete	14.0 (14:40)	-1.6 (00:00)	6,2	20 (12:20)	9 (12:00)	0	0	0	0	0
Yeste, Embalse Fuensanta	Albacete							0	0	0	
Yeste	Albacete	12.0 (15:20)	1.9 (08:20)	6,9			0	0	0	0	0
Hellín	Albacete	13.4 (16:10)	2.6 (08:30)	8	20 (14:00)	11 (15:00)	0	0	0	0	0
Tobarra	Albacete	13.2 (14:10)	1.0 (08:40)	7,1			0	0	0	0	0
Chinchilla	Albacete	11.9 (14:10)	1.9 (08:40)	6,9		27 (09:50)	0	0	0	0	0
Albacete	Albacete	14.8 (15:00)	0.0 (09:00)	7,4	27 (22:40)	10 (13:30)	0	0	0	0	0
Alcalá del Júcar	Albacete	14.9 (15:50)	1.5 (06:30)	8,2	18 (15:20)	10 (15:20)	0	0	0	0	0
Almansa	Albacete	13.7 (14:20)	-1.6 (06:40)	6	27 (15:20)	11 (14:50)	0	0	0	0	0
Orihuela	Alacant/Alicante	16.2 (16:10)	3.7 (06:10)	10	21 (16:20)	13 (16:30)	0	0	0	0	0
Pinoso	Alacant/Alicante									0	0
Rojales	Alacant/Alicante	16.5 (14:10)	5.4 (06:20)	11	26 (15:50)	15 (15:40)	0	0	0	0	0
Villena	Alacant/Alicante	14.9 (15:20)	-3.2 (08:30)	5,8	34 (16:50)	25 (17:00)	0	0	0	0	0
Novelda	Alacant/Alicante	18.2 (14:20)	4.0 (06:30)	11,1			0	0	0	0	0
Elche/Elx	Alacant/Alicante	18.0 (13:50)	5.7 (07:50)	11,8			0	0	0	0	0
Alicante/Alacant Aeropuerto	Alacant/Alicante	17.5 (14:00)	6.2 (08:00)	11,8	22 (10:20)	15 (15:00)	0	0	0	0	0
Alicante/Alacant	Alacant/Alicante	18.3 (14:40)	5.3 (06:10)	11,8	19 (11:50)	10 (11:40)	0	0	0	0	0
Benidorm	Alacant/Alicante	18.7 (14:00)	10.7 (00:00)	14,7			0	0	0	0	0
