España											
Actualizado: jueves, 16 enero 2014 a las 09:00 hora oficial											
Fecha: miércoles, 15 enero 2014											
											
Estación	Provincia	Temperatura máxima (ºC)	Temperatura mínima (ºC)	Temperatura media (ºC)	Racha (km/h)	Velocidad máxima (km/h)	Precipitación 00-24h (mm)	Precipitación 00-06h (mm)	Precipitación 06-12h (mm)	Precipitación 12-18h (mm)	Precipitación 18-24h (mm)
Estaca de Bares	A Coruña	15.1 (14:30)	9.5 (23:59)	12,3	100 (15:20)	71 (15:50)	5,6	0,4	0	2,8	2,4
As Pontes	A Coruña	11.9 (14:10)	7.4 (23:59)	9,6							
A Coruña	A Coruña	14.9 (13:50)	10.1 (23:40)	12,5	66 (16:40)	33 (17:50)	9,4	0	0,2	8,6	0,6
A Coruña Aeropuerto	A Coruña										
Carballo, Depuradora	A Coruña	14.6 (13:20)	8.0 (23:59)	11,3			11,4	0	0	7	4,4
Cabo Vilan	A Coruña	11.9 (13:50)	8.2 (23:20)	10	79 (16:30)	62 (16:30)	16,7	0,9	7,3	7,4	1,1
Vimianzo	A Coruña	11.3 (13:30)	7.0 (23:59)	9,2							
Fisterra	A Coruña	11.8 (14:00)	8.4 (23:50)	10,1	95 (23:40)	71 (16:40)	7,4	0,2	2,8	3,8	0,6
Mazaricos	A Coruña	11.0 (13:20)	8.0 (20:30)	9,5			1,6	0	0	0	1,6
Sobrado	A Coruña	9.5 (14:00)	6.0 (23:59)	7,8			21,8	0,2	3,8	4,6	13,2
Santiago de Compostela Aeropuerto	A Coruña							0,1	10	7,2	
Noia	A Coruña	13.8 (14:00)	8.6 (23:50)	11,2	63 (16:00)	22 (16:10)	14,4	0,2	2,2	9,4	2,6
Boiro	A Coruña	13.0 (11:30)	10.7 (20:00)	11,8			19,2	0,2	2,8	11,8	4,4
Padrón	A Coruña										
Santiago de Compostela	A Coruña	11.9 (13:20)	8.3 (23:40)	10,1	54 (15:50)	12 (14:20)	25,9	0,1	5,5	17,5	2,8
Rois, Casas do Porto	A Coruña	11.4 (13:00)	8.7 (23:59)	10			26,4	0	0,6	21,2	4,6
Ossa de Montiel	Albacete	8.7 (16:40)	6.1 (08:50)	7,4	30 (11:40)	17 (10:50)	0,2	0	0	0,2	0
Villarrobledo	Albacete				30 (03:00)	15 (03:10)	0,2	0	0	0	0,2
Munera	Albacete	8.6 (17:00)	5.3 (06:20)	7	35 (23:00)	14 (11:10)			0	0	0
Yeste, Embalse Fuensanta	Albacete							0	0	0	
Yeste	Albacete	15.7 (14:30)	5.1 (07:30)	10,4			0	0	0	0	0
Hellín	Albacete										
Tobarra	Albacete	17.0 (16:10)	8.3 (09:00)	12,7			0	0	0	0	0
