España											
Actualizado: lunes, 01 febrero 2016 a las 10:00 hora oficial											
Fecha: domingo, 31 enero 2016											
											
Estación	Provincia	Temperatura máxima (ºC)	Temperatura mínima (ºC)	Temperatura media (ºC)	Racha (km/h)	Velocidad máxima (km/h)	Precipitación 00-24h (mm)	Precipitación 00-06h (mm)	Precipitación 06-12h (mm)	Precipitación 12-18h (mm)	Precipitación 18-24h (mm)
Huercal Overa	Almería	22.9 (13:10)	4.5 (07:50)	13,7	19 (14:00)	11 (14:20)	0	0	0	0	0
Alborán	Almería										
Aramaio	Araba/Álava	10.4 (16:50)	6.2 (05:10)	8,3			1,8	1,2	0,6	0	0
Amurrio	Araba/Álava	15.2 (17:10)	7.9 (00:00)	11,5	21 (03:20)	11 (03:20)	0	0	0	0	0
Lalastra	Araba/Álava	11.6 (15:50)	4.7 (04:50)	8,2	50 (03:10)	26 (00:30)	0,4	0,2	0	0,2	0
Opakua	Araba/Álava	9.9 (17:20)	6.0 (06:20)	7,9	11 (02:50)	6 (06:20)	1	0,2	0,2	0,4	0,2
Vitoria Gasteiz Aeropuerto	Araba/Álava	13.6 (17:10)	5.1 (00:00)	9,4	33 (03:00)	24 (03:00)	0	0	0	0	0
Labastida	Araba/Álava	12.9 (16:30)	7.7 (02:40)	10,3	47 (05:30)	22 (02:20)	0	0	0	0	0
Leza	Araba/Álava	13.1 (16:10)	8.1 (03:00)	10,6			0	0	0	0	0
Campezo/Kanpezu	Araba/Álava							0		0	0
Cabrales	Asturias	19.0 (15:50)	8.3 (00:10)	13,7	58 (13:40)	40 (13:50)	0	0	0	0	0
Llanes	Asturias	19.6 (07:50)	12.2 (00:00)	15,9	50 (06:00)	28 (10:00)	0	0	0	0	0
Amieva, Panizales	Asturias	22.8 (14:00)	10.1 (00:00)	16,4	30 (04:20)	9 (04:20)	0	0	0	0	0
Piloña	Asturias	20.2 (13:40)	8.7 (00:10)	14,5	42 (14:50)	21 (13:00)	0	0	0	0	0
Colunga	Asturias	20.5 (12:30)	12.8 (23:50)	16,7	46 (10:50)	22 (11:00)	0	0	0	0	0
Gijón, Campus	Asturias	20.0 (13:00)	10.0 (23:59)	15	35 (11:30)	18 (11:30)	0	0	0	0	0
Cabo Peñas	Asturias	15.8 (11:10)	13.5 (22:00)	14,7	58 (16:30)	33 (16:20)	0	0	0	0	0
Asturias Aeropuerto	Asturias	19.3 (12:00)	13.0 (23:59)	16,1	65 (03:10)	32 (15:50)	0	0	0	0	0
Puerto de Pajares	Asturias	10.8 (14:00)	4.0 (23:00)	7,4	45 (04:00)	23 (04:00)	0	0	0	0	0
Pola de Lena	Asturias	20.1 (14:20)	8.5 (00:10)	14,3	28 (15:10)	16 (14:40)	0	0	0	0	0
Aller	Asturias	17.0 (14:10)	8.6 (00:20)	12,8	19 (14:50)	10 (14:50)	0	0	0	0	0
Mieres	Asturias	22.1 (13:40)	9.7 (00:00)	15,9	27 (14:30)	13 (14:10)	0	0	0	0	0
Oviedo	Asturias	18.7 (15:10)	10.8 (23:40)	14,8	51 (12:10)	28 (12:10)	0	0	0	0	0
Tineo, Soto de la Barca	Asturias	17.8 (15:00)	8.0 (23:59)	12,9	29 (14:30)	12 (14:30)	0	0	0	0	0
Pola de Somiedo	Asturias	18.5 (14:40)	4.4 (23:59)	11,5	49 (02:50)	18 (11:30)	0	0	0	0	0
Salas	Asturias	18.9 (14:30)	9.4 (23:50)	14,1	52 (05:50)	27 (05:00)	0	0	0	0	0
Cabo Busto	Asturias	18.4 (13:30)	13.3 (23:50)	15,8	88 (00:10)	57 (00:20)	0,8	0,6	0,2	0	0
Degaña	Asturias	8.8 (16:40)	3.3 (23:59)	6,1	30 (01:30)	10 (06:40)	0	0	0	0	0
Ibias, San Antolin	Asturias	11.2 (17:10)	7.0 (00:00)	9,1	60 (02:30)	29 (02:30)	0	0	0	0	0
Villayón, Oneta	Asturias	15.2 (15:00)	11.0 (00:10)	13,1	73 (06:10)	33 (00:10)	0	0	0	0	0
Castropol	Asturias	16.9 (13:30)	13.0 (04:10)	14,9	61 (07:10)	30 (06:40)	0	0	0	0	0
Taramundi, Ouria	Asturias	14.0 (11:50)	10.6 (23:00)	12,3	69 (00:40)	42 (01:40)	0	0	0	0	0
Puerto de Leitariegos	Asturias	8.4 (16:10)	2.6 (23:10)	5,5	49 (04:40)	30 (04:40)	0,2	0,2	0	0	0
Muñotello	Ávila	15.1 (15:40)	2.3 (02:30)	8,7	56 (04:10)	39 (04:10)	0	0	0	0	0
Ávila	Ávila	14.9 (15:30)	2.5 (02:20)	8,7	38 (15:50)	24 (15:50)	0	0	0	0	0
Arevalo	Ávila	10.9 (17:20)	4.9 (03:20)	7,9	34 (12:30)	25 (14:30)	0	0	0	0	0
Navarredonda de Gredos	Ávila	17.0 (14:30)	0.4 (06:10)	8,7	31 (18:30)	13 (16:20)	0,1	0	0	0	0,1
Barco de Avila	Ávila	14.8 (15:30)	1.6 (00:10)	8,2	18 (00:50)	11 (01:00)	0	0	0	0	0
Puerto El Pico	Ávila	17.1 (16:00)	1.4 (00:30)	9,3	40 (03:40)	26 (03:50)	0	0	0	0	0
Cebreros	Ávila	17.5 (14:40)	5.3 (00:30)	11,4	49 (12:10)	22 (10:30)	0	0	0	0	0
Candeleda	Ávila	13.4 (15:30)	5.0 (02:20)	9,2	15 (05:50)	9 (05:20)	0	0	0	0	0
Herrera del Duque	Badajoz	15.0 (17:10)	5.7 (23:40)	10,3	22 (02:20)	12 (01:00)	0	0	0	0	0
Peraleda del Zaucejo	Badajoz	15.3 (16:00)	3.2 (09:00)	9,3	24 (02:20)	17 (02:20)	0	0	0	0	0
Castuera	Badajoz	13.8 (17:40)	4.3 (07:30)	9,1	16 (04:00)	11 (04:00)	0	0	0	0	0
Navalvillar de Pela	Badajoz	14.2 (17:10)	4.7 (07:10)	9,4	22 (03:00)	13 (02:40)	0	0	0	0	0
Don Benito	Badajoz	16.3 (17:50)	4.6 (07:50)	10,4	20 (01:50)	12 (01:10)	0	0	0	0	0
Llerena	Badajoz	13.4 (16:20)	3.6 (08:40)	8,5	30 (13:50)	15 (03:10)	0,2	0,2	0	0	0
Villafranca de los Barros	Badajoz	15.3 (17:10)	3.5 (08:00)	9,4	24 (13:20)	17 (13:10)	0	0	0	0	0
Mérida	Badajoz	17.3 (16:40)	2.7 (08:00)	10	14 (04:00)	8 (23:20)	0	0	0	0	0
Zafra	Badajoz	15.0 (16:50)	1.7 (08:00)	8,4	27 (14:20)	19 (14:20)	0	0	0	0	0
Almendralejo	Badajoz	15.2 (16:30)	4.3 (07:00)	9,8	22 (13:10)	14 (01:30)	0	0	0	0	0
Badajoz Aeropuerto	Badajoz	19.4 (16:20)	4.7 (08:00)	12	20 (18:10)	15 (18:00)	0	0	0	0	0
Alburquerque	Badajoz	18.3 (16:10)	1.9 (03:30)	10,1	21 (14:10)	12 (14:10)	0	0	0	0	0
Puebla de Obando	Badajoz	16.7 (16:40)	4.2 (02:20)	10,5	24 (12:20)	15 (12:50)	0	0	0	0	0
Badajoz	Badajoz	20.2 (16:30)	3.1 (05:00)	11,7	18 (15:30)	13 (17:40)	0	0	0	0	0
Olivenza	Badajoz	17.4 (17:10)	5.8 (08:30)	11,6	19 (13:30)	13 (13:30)	0	0	0	0	0
Alconchel	Badajoz	17.1 (17:10)	3.8 (06:50)	10,5	19 (13:40)	14 (22:30)	0	0	0	0	0
Barcarrota	Badajoz	15.8 (16:00)	2.0 (07:30)	8,9	19 (13:20)	10 (12:30)	0,2	0	0,2	0	0
Villanueva del Fresno	Badajoz	16.9 (17:40)	4.0 (07:40)	10,4	25 (15:30)	17 (17:10)	0	0	0	0	0
Monesterio	Badajoz	13.4 (16:50)	3.7 (08:10)	8,5	26 (04:50)	14 (04:10)	0	0	0	0	0
Fuente de Cantos	Badajoz	14.5 (16:50)	3.2 (04:50)	8,9	25 (13:20)	18 (13:50)	0	0	0	0	0
Jerez de los Caballeros	Badajoz	18.3 (17:20)	1.5 (08:50)	9,9			0	0	0	0	0
Fregenal de la Sierra	Badajoz	15.4 (16:40)	2.4 (08:20)	8,9	23 (14:30)	14 (14:30)	0	0	0	0	0
Azuaga	Badajoz	14.4 (17:20)	2.7 (04:20)	8,5	28 (06:50)	21 (06:50)	0	0	0	0	0
Pontons	Barcelona	13.8 (16:40)	6.7 (05:50)	10,3	65 (08:50)	40 (08:50)	0	0	0	0	0
Vilafranca del Penedès	Barcelona							0	0		
Barcelona Aeropuerto	Barcelona	16.8 (13:20)	7.2 (05:10)	12	33 (10:00)	22 (10:50)	0	0	0	0	0
Berga	Barcelona	5.6 (15:10)	2.8 (08:20)	4,2	21 (22:50)	10 (23:59)	0	0	0	0	0
Balsareny	Barcelona	10.4 (14:30)	0.7 (04:40)	5,5	17 (17:00)	12 (17:00)	0	0	0	0	0
Prat de Lluçanès	Barcelona										
Moià	Barcelona	8.4 (22:10)	3.3 (07:20)	5,8	21 (14:00)	12 (12:50)	0	0	0	0	0
