España											
Actualizado: miércoles, 15 enero 2014 a las 09:00 hora oficial											
Fecha: martes, 14 enero 2014											
											
Estación	Provincia	Temperatura máxima (ºC)	Temperatura mínima (ºC)	Temperatura media (ºC)	Racha (km/h)	Velocidad máxima (km/h)	Precipitación 00-24h (mm)	Precipitación 00-06h (mm)	Precipitación 06-12h (mm)	Precipitación 12-18h (mm)	Precipitación 18-24h (mm)
Estaca de Bares	A Coruña	13.1 (12:30)	11.1 (00:00)	12,1	100 (05:30)	82 (05:10)	2,8	1,6	0,4	0,4	0,4
As Pontes	A Coruña	10.9 (16:20)	8.0 (00:00)	9,4							
A Coruña	A Coruña	13.7 (13:50)	10.8 (00:00)	12,3	64 (05:20)	32 (05:20)	6	3,8	1,4	0,2	0,6
A Coruña Aeropuerto	A Coruña	13.8 (14:00)	11.1 (00:00)	12,5	55 (05:20)	35 (06:50)	1,1	0,8	0,1	0,1	0,1
Carballo, Depuradora	A Coruña	13.0 (13:10)	10.4 (00:00)	11,7			7,8	4,6	1	1,6	0,6
Cabo Vilan	A Coruña	12.9 (13:40)	10.9 (22:50)	11,9	64 (00:20)	46 (01:40)	1,8	1,5	0,2	0,1	0
Vimianzo	A Coruña	11.4 (14:10)	9.6 (00:00)	10,5							
Fisterra	A Coruña	11.7 (04:30)	10.6 (23:20)	11,2	91 (04:00)	58 (00:30)	1,2	1,2	0	0	0
Mazaricos	A Coruña	11.4 (14:10)	9.3 (00:00)	10,3			10,6	8,4	0,6	0,4	1,2
Sobrado	A Coruña	10.1 (16:00)	6.9 (00:00)	8,5			10,8	6	2,4	0,6	1,8
Santiago de Compostela Aeropuerto	A Coruña								1,3	0	0,3
Noia	A Coruña	12.8 (14:30)	10.3 (00:00)	11,6	39 (04:50)	10 (03:50)	10,2	8,6	0,8	0,4	0,4
Boiro	A Coruña	13.6 (14:50)	11.8 (00:00)	12,7			11,6	10,8	0,8	0	0
Padrón	A Coruña										
Santiago de Compostela	A Coruña	12.9 (14:20)	9.3 (00:00)	11,1	18 (05:30)	5 (05:10)	8,3	6,4	0,9	0,6	0,4
Rois, Casas do Porto	A Coruña	13.1 (14:40)	10.2 (00:00)	11,7			9,8	8,2	1,2	0,2	0,2
Ossa de Montiel	Albacete	7.9 (21:10)	1.0 (02:00)	4,5	41 (13:50)	23 (13:20)	3	0,6	1	1,4	0
Villarrobledo	Albacete				47 (10:50)	24 (11:00)	2,6	0	0	2,2	0,4
Munera	Albacete	7.8 (18:50)	1.4 (02:10)	4,6	42 (14:20)	17 (14:20)	1,2	0,2	0,6	0,4	0
Yeste, Embalse Fuensanta	Albacete	11.5 (15:00)	6.3 (01:00)	8,9			0	0	0	0	0
Yeste	Albacete	9.0 (14:40)	3.9 (01:30)	6,5			1	0	0,6	0	0,4
Hellín	Albacete							0			
Tobarra	Albacete	13.0 (16:30)	3.5 (03:50)	8,3			0	0	0	0	0
Chinchilla	Albacete	6.6 (23:50)	0.8 (02:20)	3,7	56 (07:50)	39 (16:20)	0,2	0	0	0,1	0,1
Albacete	Albacete	9.2 (16:10)	3.2 (01:10)	6,2	66 (07:40)	24 (12:50)	0	0	0	0	0
