España											
Actualizado: jueves, 28 enero 2016 a las 09:30 hora oficial											
Fecha: miércoles, 27 enero 2016											
											
Estación	Provincia	Temperatura máxima (ºC)	Temperatura mínima (ºC)	Temperatura media (ºC)	Racha (km/h)	Velocidad máxima (km/h)	Precipitación 00-24h (mm)	Precipitación 00-06h (mm)	Precipitación 06-12h (mm)	Precipitación 12-18h (mm)	Precipitación 18-24h (mm)
Estaca de Bares	A Coruña	14.9 (14:20)	11.9 (23:59)	13,4	84 (22:10)	64 (11:10)	0,8	0	0	0	0,8
As Pontes	A Coruña	13.6 (13:30)	8.1 (05:20)	10,9			0	0	0	0	0
A Coruña	A Coruña	14.7 (17:40)	11.4 (23:59)	13	54 (21:30)	26 (21:30)	8	0	0	0	8
A Coruña Aeropuerto	A Coruña	14.4 (12:00)	10.8 (23:59)	12,6	59 (20:20)	37 (20:50)					
Carballo, Depuradora	A Coruña	13.9 (14:00)	11.1 (23:59)	12,5			11	0	0	0	11
Cabo Vilan	A Coruña	13.3 (15:40)	10.5 (22:50)	11,9	74 (19:00)	53 (10:40)	16,8	0	0,4	1,3	15,1
Vimianzo	A Coruña	12.2 (11:40)	9.9 (23:59)	11			18,8	0	0	1,4	17,4
Fisterra	A Coruña	12.7 (14:50)	10.5 (23:20)	11,6	100 (15:00)	67 (12:30)	8,2	0	0	0,2	8
Mazaricos	A Coruña	11.6 (23:00)	9.7 (23:59)	10,7			28,4	0	0,2	3,6	24,6
Sobrado	A Coruña	11.1 (12:20)	7.2 (04:10)	9,2			0	0	0	0	0
Santiago de Compostela Aeropuerto	A Coruña	11.9 (11:40)	8.6 (08:10)	10,3	50 (10:40)	30 (11:40)	2,1	0	0	0	2,1
Noia	A Coruña								0	0,8	6
Monte Iroite	A Coruña	9.9 (23:00)	7.7 (00:10)	8,8			14,7	0	0	2,3	12,4
Boiro	A Coruña	13.7 (12:20)	12.4 (04:30)	13			0,8	0	0	0	0,8
Padrón	A Coruña	14.5 (13:10)	10.3 (06:40)	12,4	42 (09:30)	21 (09:10)	2,4	0	0	0	2,4
Santiago de Compostela	A Coruña	12.5 (17:20)	10.4 (08:00)	11,4	36 (12:10)	9 (12:20)	0,7	0,2	0,2	0,1	0,2
Rois, Casas do Porto	A Coruña	12.5 (14:30)	10.4 (08:50)	11,4			5,6	0	0	0	5,6
Ossa de Montiel	Albacete	14.4 (12:00)	2.0 (23:59)	8,2	17 (12:30)	10 (12:20)	0	0	0	0	0
Villarrobledo	Albacete	10.1 (16:30)	2.4 (23:50)	6,3	14 (10:00)	10 (10:00)	0,2	0	0,2	0	0
Munera	Albacete	11.0 (12:10)	-0.5 (23:20)	5,3	17 (12:20)	10 (12:30)	0	0	0	0	0
Yeste, Embalse Fuensanta	Albacete									0	0
Yeste	Albacete	12.7 (15:00)	4.5 (08:10)	8,6			0	0	0	0	0
