España											
Actualizado: sábado, 09 enero 2016 a las 09:45 hora oficial											
Fecha: viernes, 08 enero 2016											
											
Estación	Provincia	Temperatura máxima (ºC)	Temperatura mínima (ºC)	Temperatura media (ºC)	Racha (km/h)	Velocidad máxima (km/h)	Precipitación 00-24h (mm)	Precipitación 00-06h (mm)	Precipitación 06-12h (mm)	Precipitación 12-18h (mm)	Precipitación 18-24h (mm)
Estaca de Bares	A Coruña							17,8			
As Pontes	A Coruña							32	16	2,8	
A Coruña	A Coruña	16.2 (02:20)	9.7 (23:10)	13	65 (02:30)	35 (02:30)	50,2	35,6	13	1,6	0
A Coruña Aeropuerto	A Coruña	15.9 (01:10)	7.9 (23:50)	11,9	74 (02:10)	47 (02:20)	24,3	12,3	11,6	0,4	0
Carballo, Depuradora	A Coruña	14.6 (00:50)	8.0 (22:20)	11,3					10,6	1,2	0
Cabo Vilan	A Coruña	14.3 (01:10)	9.9 (18:40)	12,1	96 (01:40)	74 (01:40)	23,1	16,1	6,9	0,1	0
Vimianzo	A Coruña	13.7 (00:50)	7.4 (21:10)	10,5			46	25	20,2	0,8	0
Fisterra	A Coruña	13.7 (00:10)	9.8 (13:30)	11,8	120 (01:40)	93 (02:30)	16,2	7,8	8,4	0	0
Mazaricos	A Coruña	13.2 (02:00)	7.3 (21:30)	10,3			47,2	28,6	18,4	0,2	0
Sobrado	A Coruña	12.1 (01:30)	5.4 (23:40)	8,8			48,8	2,4	39,6	6,6	0,2
Santiago de Compostela Aeropuerto	A Coruña	13.0 (00:50)	6.0 (23:10)	9,5	78 (02:20)	42 (02:20)	47,9	14,4	30,2	3,3	0
Noia	A Coruña								21,4	1,2	0
Monte Iroite	A Coruña	11.6 (04:00)	5.3 (19:00)	8,5			54,7	22,8	25,4	6,5	0
Boiro	A Coruña	15.2 (02:40)	6.9 (23:59)	11			39,2	7,6	29,6	2	0
Padrón	A Coruña	15.2 (05:20)	7.6 (23:10)	11,4	81 (01:00)	42 (03:40)	42,3	6,7	33,8	1,8	0
Santiago de Compostela	A Coruña	14.0 (01:10)	7.0 (23:10)	10,5	62 (00:50)	17 (03:00)	51,6	22,8	26,7	2,1	0
Rois, Casas do Porto	A Coruña	13.8 (00:20)	8.6 (22:30)	11,2							
Ossa de Montiel	Albacete	12.6 (15:20)	8.4 (09:20)	10,5	54 (14:40)	31 (14:50)	0	0	0	0	0
Villarrobledo	Albacete	13.0 (13:00)	9.7 (21:50)	11,3	45 (12:10)	31 (02:40)	0,4	0	0	0	0,4
Munera	Albacete	12.2 (13:50)	8.3 (08:10)	10,3	46 (12:20)	22 (12:10)			0	0	0
Yeste, Embalse Fuensanta	Albacete	17.7 (15:00)	7.6 (09:20)	12,7			0	0	0	0	0
Yeste	Albacete	17.6 (13:30)	6.8 (08:20)	12,2			0	0	0	0	0
Hellín	Albacete	19.8 (14:10)	8.2 (07:20)	14	60 (18:30)	37 (18:30)	0	0	0	0	0
Tobarra	Albacete	19.3 (14:50)	6.5 (07:30)	12,9			0	0	0	0	0
Chinchilla	Albacete	13.5 (12:30)	7.1 (08:30)	10,3	50 (03:50)	35 (03:30)	0	0	0	0	0
Albacete	Albacete	15.4 (14:00)	9.4 (07:50)	12,4	47 (16:20)	22 (16:20)	0	0	0	0	0
Alcalá del Júcar	Albacete	14.7 (15:10)	9.7 (03:20)	12,2	46 (15:40)	23 (15:30)	0	0	0	0	0
Almansa	Albacete	18.3 (14:00)	4.1 (07:10)	11,2	40 (14:40)	21 (14:30)	0	0	0	0	0
Orihuela	Alacant/Alicante	21.7 (15:40)	8.1 (06:20)	14,9	17 (13:00)	10 (12:50)	0	0	0	0	0
Pinoso	Alacant/Alicante	19.9 (15:20)	6.4 (07:50)	13,1	4 (13:20)	1 (01:20)	0	0	0	0	0
Rojales	Alacant/Alicante	21.7 (14:00)	12.5 (09:10)	17,1	27 (18:50)	17 (18:50)	0	0	0	0	0
Villena	Alacant/Alicante	21.7 (14:20)	0.0 (07:50)	10,9	36 (17:10)	22 (14:30)	0	0	0	0	0
Novelda	Alacant/Alicante	24.1 (14:00)	10.9 (06:00)	17,5			0	0	0	0	0
Elche/Elx	Alacant/Alicante										
Alicante/Alacant Aeropuerto	Alacant/Alicante	21.8 (13:40)	9.1 (08:30)	15,4	26 (01:40)	18 (14:50)	0	0	0	0	0
Alicante/Alacant	Alacant/Alicante	21.5 (13:20)	11.1 (08:40)	16,3	27 (00:40)	14 (00:30)	0	0	0	0	0
Benidorm	Alacant/Alicante	19.5 (13:10)	11.3 (07:30)	15,4			0	0	0	0	0
Jávea/ Xàbia	Alacant/Alicante	20.3 (12:50)	7.5 (08:00)	13,9	22 (17:00)	12 (17:30)	0	0	0	0	0
Pego	Alacant/Alicante	20.6 (15:30)	14.2 (08:50)	17,4	55 (01:00)	32 (00:50)	0	0	0	0	0
Alcoy/Alcoi	Alacant/Alicante	22.1 (14:10)	10.5 (03:30)	16,3	49 (00:10)	26 (00:10)	0	0	0	0	0
Vélez Blanco	Almería						0	0	0	0	0
Adra	Almería	18.2 (10:40)	11.9 (08:20)	15,1	51 (16:10)	30 (16:20)	0	0	0	0	0
El Ejido	Almería	20.6 (12:20)	10.0 (07:20)	15,3			0	0	0	0	0
Roquetas de Mar	Almería									0	0
Abla	Almería	22.0 (14:40)	9.1 (09:20)	15,6	32 (16:00)	13 (00:20)	0	0	0	0	0
Láujar de Andarax	Almería										
Almería Aeropuerto	Almería	17.7 (13:40)	8.5 (06:20)	13,1	61 (16:30)	47 (16:30)	0	0	0	0	0
Cabo de Gata	Almería	17.5 (12:00)	13.8 (08:30)	15,7	45 (23:40)	28 (23:30)	0	0	0	0	0
Carboneras	Almería	20.7 (14:40)	12.0 (07:40)	16,4			0	0	0	0	0
Garrucha, Puerto	Almería	22.4 (14:20)	13.1 (08:40)	17,8	36 (19:40)	27 (19:40)	0	0	0	0	0
Albox	Almería								0	0	0
Huercal Overa	Almería	25.2 (16:10)	8.9 (08:50)	17,1	45 (18:20)	26 (18:10)	0	0	0	0	0
Alborán	Almería										
Aramaio	Araba/Álava	13.1 (11:00)	8.6 (19:30)	10,9			9	0	0	6,6	2,4
Amurrio	Araba/Álava	17.7 (05:40)	9.8 (20:00)	13,8	83 (02:20)	27 (03:30)	7,8	0	0,6	5,4	1,8
Lalastra	Araba/Álava	11.1 (03:20)	7.7 (23:00)	9,4	54 (03:30)	22 (03:10)	14	0	1,4	6,4	6,2
Opakua	Araba/Álava	15.7 (14:10)	9.2 (23:59)	12,4	69 (03:30)	32 (05:10)	1,4	0	0	0,6	0,8
Vitoria Gasteiz Aeropuerto	Araba/Álava	16.0 (15:40)	10.2 (19:00)	13,1	80 (05:50)	52 (07:40)	2,5	0	0	1,2	1,3
Labastida	Araba/Álava	17.2 (13:50)	10.2 (21:00)	13,7	53 (00:10)	23 (13:10)	0,8	0	0	0	0,8
Leza	Araba/Álava	16.9 (16:40)	9.1 (23:59)	13			2	0	0	0	2
Campezo/Kanpezu	Araba/Álava	15.4 (03:20)	8.5 (23:59)	11,9			2	0	0	0,4	1,6
Cabrales	Asturias									5,2	0
Llanes	Asturias	13.1 (07:40)	10.8 (06:10)	12	51 (08:30)	31 (08:20)	7,4	0	4,2	3	0,2
Amieva, Panizales	Asturias	17.2 (03:20)	8.3 (23:40)	12,8	63 (03:30)	35 (05:10)	7,8	0	5,4	2,4	0
Piloña	Asturias	16.1 (06:10)	7.8 (03:40)	12	39 (06:30)	15 (06:30)	10,4	0	7,6	1,8	1
Colunga	Asturias	13.1 (07:00)	9.4 (05:20)	11,3	48 (07:10)	23 (07:20)	18	0	13,8	2,4	1,8
Gijón, Campus	Asturias	13.1 (06:30)	7.9 (04:30)	10,5	40 (07:20)	24 (07:20)	13,4	0	7,6	3,2	2,6
Cabo Peñas	Asturias				60 (05:40)	32 (05:40)	13,1	0,5	4,1	4,6	3,9
Asturias Aeropuerto	Asturias	18.5 (05:00)	10.0 (10:00)	14,3	82 (05:20)	48 (05:30)	24,4	1,1	16,6	5,7	1
