España											
Actualizado: miércoles, 28 enero 2015 a las 09:15 hora oficial											
Fecha: martes, 27 enero 2015											
											
Estación	Provincia	Temperatura máxima (ºC)	Temperatura mínima (ºC)	Temperatura media (ºC)	Racha (km/h)	Velocidad máxima (km/h)	Precipitación 00-24h (mm)	Precipitación 00-06h (mm)	Precipitación 06-12h (mm)	Precipitación 12-18h (mm)	Precipitación 18-24h (mm)
Estaca de Bares	A Coruña	11.4 (15:00)	9.4 (00:10)	10,4	45 (11:40)	26 (12:50)	1,6	0	1,6	0	0
As Pontes	A Coruña	10.9 (17:30)	4.5 (07:40)	7,7			0,2	0	0	0,2	0
A Coruña	A Coruña	12.2 (13:00)	8.7 (05:20)	10,4	28 (19:00)	21 (19:00)	0,2	0	0,2	0	0
A Coruña Aeropuerto	A Coruña	12.4 (16:30)	6.1 (06:10)	9,2	33 (19:50)	18 (21:10)	0	0	0	0	0
Carballo, Depuradora	A Coruña	11.6 (14:20)	5.9 (06:40)	8,8			0,8	0	0,2	0,6	0
Cabo Vilan	A Coruña									0,2	0
Vimianzo	A Coruña	11.3 (14:40)	5.9 (05:10)	8,6			0	0	0	0	0
Fisterra	A Coruña	11.0 (16:50)	8.3 (23:59)	9,7	48 (22:50)	34 (23:00)	0	0	0	0	0
Mazaricos	A Coruña	10.9 (15:20)	5.7 (08:40)	8,3							
Sobrado	A Coruña	11.9 (17:00)	5.2 (09:10)	8,5			0	0	0	0	0
Santiago de Compostela Aeropuerto	A Coruña	13.9 (14:00)	5.1 (06:00)	9,5	28 (23:30)	16 (23:30)	0	0	0	0	0
Noia	A Coruña	13.3 (15:00)	7.2 (05:30)	10,3	21 (23:40)	6 (23:40)	0	0	0	0	0
Monte Iroite	A Coruña	9.0 (16:30)	4.7 (08:00)	6,8	49 (04:50)	35 (05:30)	0	0	0	0	0
Boiro	A Coruña	15.3 (17:10)	7.0 (09:30)	11,2			0	0	0	0	0
Padrón	A Coruña	15.9 (16:30)	6.5 (06:40)	11,2	28 (14:40)	21 (14:40)	0	0	0	0	0
Santiago de Compostela	A Coruña	13.8 (14:40)	6.1 (07:50)	10	21 (17:10)	8 (23:00)	0	0	0	0	0
Rois, Casas do Porto	A Coruña	13.2 (15:10)	6.2 (07:30)	9,7			0	0	0	0	0
Ossa de Montiel	Albacete	10.7 (15:40)	-0.6 (03:20)	5	33 (16:10)	19 (16:10)	0	0	0	0	0
Villarrobledo	Albacete				29 (15:00)	15 (15:00)	0	0	0	0	0
Munera	Albacete	10.2 (15:30)	-3.7 (08:20)	3,2	35 (17:00)	17 (15:00)	0	0	0	0	0
Yeste, Embalse Fuensanta	Albacete	16.1 (15:00)	-0.1 (08:30)	8			0	0	0	0	0
Yeste	Albacete	13.1 (14:30)	4.7 (08:50)	8,9			0	0	0	0	0
Hellín	Albacete	13.9 (15:10)	4.9 (08:50)	9,4	54 (22:40)	31 (23:20)	0	0	0	0	0
Tobarra	Albacete	14.7 (15:20)	4.5 (07:20)	9,6			0	0	0	0	0
Chinchilla	Albacete	10.0 (15:50)	-1.4 (07:30)	4,3		30 (18:50)	0	0	0	0	0
Albacete	Albacete	13.8 (15:30)	-0.4 (08:20)	6,7	35 (16:40)	16 (17:40)	0	0	0	0	0
Alcalá del Júcar	Albacete	14.3 (16:10)	-0.3 (07:00)	7	38 (18:00)	20 (18:20)	0	0	0	0	0
Almansa	Albacete	13.0 (15:10)	-2.9 (08:10)	5	36 (22:00)	14 (21:00)	0	0	0	0	0
Orihuela	Alacant/Alicante	18.2 (16:50)	2.0 (08:40)	10,1	42 (21:40)	24 (21:20)	0	0	0	0	0
Pinoso	Alacant/Alicante	13.8 (15:10)	-2.5 (08:10)	5,7	45 (22:10)	24 (22:30)	0	0	0	0	0
Rojales	Alacant/Alicante	17.9 (17:10)	4.2 (08:10)	11	27 (22:20)	18 (22:00)	0	0	0	0	0
Villena	Alacant/Alicante	14.8 (15:40)	-3.2 (08:10)	5,8	39 (16:30)	25 (20:30)	0	0	0	0	0
Novelda	Alacant/Alicante	17.0 (15:20)	3.5 (06:50)	10,3			0	0	0	0	0
Elche/Elx	Alacant/Alicante	19.4 (15:50)	3.8 (07:10)	11,6			0	0	0	0	0
Alicante/Alacant Aeropuerto	Alacant/Alicante	18.9 (16:20)	4.4 (07:00)	11,6	33 (16:20)	23 (16:30)	0	0	0	0	0
Alicante/Alacant	Alacant/Alicante	18.9 (16:10)	3.8 (07:00)	11,3	21 (15:10)	13 (17:50)	0	0	0	0	0
Benidorm	Alacant/Alicante	15.7 (16:10)	6.5 (07:00)	11,1			0,6	0	0,6	0	0
Jávea/ Xàbia	Alacant/Alicante	17.9 (13:40)	3.4 (04:50)	10,6	39 (22:10)	20 (22:00)	0	0	0	0	0
Pego	Alacant/Alicante	18.6 (15:30)	6.2 (08:00)	12,4	23 (23:20)	12 (13:20)	0	0	0	0	0
