España											
Actualizado: sábado, 28 enero 2017 a las 14:00 hora oficial											
Fecha: viernes, 27 enero 2017											
											
Estación	Provincia	Temperatura máxima (ºC)	Temperatura mínima (ºC)	Temperatura media (ºC)	Racha (km/h)	Velocidad máxima (km/h)	Precipitación 00-24h (mm)	Precipitación 00-06h (mm)	Precipitación 06-12h (mm)	Precipitación 12-18h (mm)	Precipitación 18-24h (mm)
Aramaio	Araba/Álava	7.2 (17:10)	4.2 (00:20)	5,7			1	0	0,2	0,2	0,6
Amurrio	Araba/Álava	10.9 (16:10)	7.0 (22:20)	8,9	55 (04:00)	30 (02:40)	0	0	0	0	0
Lalastra	Araba/Álava	5.2 (14:10)	-0.1 (00:40)	2,5	30 (17:10)	15 (15:20)	0	0	0	0	0
Opakua	Araba/Álava	6.9 (16:10)	2.9 (06:50)	4,9	87 (01:50)	59 (01:50)	12,4	1	10,2	0,6	0,6
Vitoria Gasteiz Aeropuerto	Araba/Álava	10.9 (16:30)	3.3 (00:20)	7,1	58 (03:10)	32 (03:40)	0,9	0	0,9	0	0
Labastida	Araba/Álava	8.8 (15:50)	4.0 (00:30)	6,4	58 (04:20)	29 (03:20)	0,6	0	0,4	0	0,2
Leza	Araba/Álava	7.9 (16:00)	3.3 (00:10)	5,6			0,2	0	0,2	0	0
Campezo/Kanpezu	Araba/Álava	7.2 (16:10)	3.3 (05:40)	5,2			6,2	0,2	4	1,4	0,6
Cabrales	Asturias	11.2 (16:00)	5.1 (22:00)	8,1	69 (19:20)	45 (19:30)	4,2	0	0	0	4,2
Llanes	Asturias	14.0 (13:10)	8.7 (08:40)	11,3	64 (19:20)	27 (19:20)	1,2	0	0	0	1,2
Amieva, Panizales	Asturias	11.9 (14:40)	4.8 (23:50)	8,3	61 (04:30)	28 (04:30)	2,6	0	0	0,8	1,8
Piloña	Asturias	11.3 (15:40)	4.6 (23:59)	8	44 (18:20)	18 (18:30)	2,2	0	0	0,4	1,8
Colunga	Asturias	14.0 (13:10)	6.2 (08:40)	10,1	40 (18:40)	22 (18:40)	1,6	0	0	0	1,6
Gijón, Campus	Asturias	13.7 (13:50)	4.8 (09:00)	9,3	51 (18:00)	28 (18:00)	0,8	0	0	0	0,8
Cabo Peñas	Asturias	12.6 (16:30)	8.5 (21:20)	10,6	77 (17:30)	46 (17:20)	1,1	0	0	0,6	0,5
Asturias Aeropuerto	Asturias	13.8 (16:10)	6.7 (08:30)	10,3	72 (17:10)	45 (17:10)	3,9	0	0	3,9	0
Puerto de Pajares	Asturias	1.0 (14:20)	-4.0 (23:20)	-1,5	73 (03:00)	40 (01:50)	3,9	1,3	1,1	0,8	0,7
Pola de Lena	Asturias	13.4 (12:50)	2.1 (23:59)	7,7	45 (03:30)	19 (03:50)	0,4	0	0	0	0,4
Aller	Asturias	9.9 (13:00)	1.5 (23:40)	5,7	45 (04:20)	14 (10:20)	3,4	1	0	0,2	2,2
Mieres	Asturias	14.4 (14:10)	3.7 (23:40)	9	41 (05:20)	19 (05:20)	0,6	0	0	0	0,6
Oviedo	Asturias	11.6 (13:30)	5.6 (20:40)	8,6	62 (17:50)	33 (17:50)	0,4	0	0	0	0,4
Tineo, Soto de la Barca	Asturias	11.9 (14:20)	2.1 (07:50)	7	33 (17:40)	12 (13:30)	1,2	0	0	1	0,2
Pola de Somiedo	Asturias	10.9 (13:10)	2.3 (21:00)	6,6	40 (01:40)	17 (01:40)	1,6	0,2	0	0,4	1
Salas	Asturias	13.8 (13:30)	3.8 (08:40)	8,8	46 (17:20)	21 (13:40)	5,8	0	0	2,2	3,6
