España											
Actualizado: jueves, 26 enero 2017 a las 14:00 hora oficial											
Fecha: miércoles, 25 enero 2017											
											
Estación	Provincia	Temperatura máxima (ºC)	Temperatura mínima (ºC)	Temperatura media (ºC)	Racha (km/h)	Velocidad máxima (km/h)	Precipitación 00-24h (mm)	Precipitación 00-06h (mm)	Precipitación 06-12h (mm)	Precipitación 12-18h (mm)	Precipitación 18-24h (mm)
Estaca de Bares	A Coruña	12.6 (15:00)	7.3 (08:20)	10	35 (19:10)	27 (22:20)	0	0	0	0	0
As Pontes	A Coruña	13.2 (15:10)	-2.2 (07:00)	5,5			0	0	0	0	0
A Coruña	A Coruña	14.4 (15:40)	4.2 (05:40)	9,3	28 (16:30)	14 (10:30)	0,6	0	0	0	0,6
A Coruña Aeropuerto	A Coruña	14.4 (16:00)	-0.9 (06:50)	6,7	33 (21:30)	22 (21:30)	0,5	0	0	0	0,5
Carballo, Depuradora	A Coruña										
Cabo Vilan	A Coruña	12.8 (14:50)	6.4 (00:10)	9,6	53 (22:20)	37 (22:20)	0	0	0	0	0
Vimianzo	A Coruña	12.4 (14:40)	0.4 (05:30)	6,4			0,4	0	0	0	0,4
Fisterra	A Coruña	12.5 (15:30)	7.7 (07:20)	10,1	81 (20:50)	42 (23:59)	3,4	0	0	0	3,4
Mazaricos	A Coruña	10.6 (15:20)	-1.9 (07:00)	4,4							
Sobrado	A Coruña	12.9 (15:30)	-5.6 (08:10)	3,6			0,2	0	0	0	0,2
Santiago de Compostela Aeropuerto	A Coruña	12.0 (16:00)	-0.1 (08:30)	5,9	28 (14:10)	15 (14:10)	0	0	0	0	0
Noia	A Coruña	12.5 (14:00)	2.6 (06:40)	7,5	31 (20:50)	12 (15:00)	1,6	0	0	0	1,6
Boiro	A Coruña	13.2 (16:10)	-0.7 (08:10)	6,2			1,6	0	0	0	1,6
Padrón	A Coruña	14.0 (15:50)	-3.5 (09:00)	5,3	26 (07:00)	22 (06:40)	0,4	0	0	0	0,4
Santiago de Compostela	A Coruña	13.5 (15:50)	-1.2 (08:40)	6,1	18 (16:20)	6 (15:50)	0	0	0	0	0
Rois, Casas do Porto	A Coruña	12.9 (15:40)	-0.1 (09:20)	6,4			0,6	0	0	0	0,6
Ossa de Montiel	Albacete	11.4 (14:30)	-4.5 (08:20)	3,4	29 (14:50)	14 (12:40)	0	0	0	0	0
