España											
Actualizado: lunes, 20 enero 2014 a las 09:00 hora oficial											
Fecha: domingo, 19 enero 2014											
											
Estación	Provincia	Temperatura máxima (ºC)	Temperatura mínima (ºC)	Temperatura media (ºC)	Racha (km/h)	Velocidad máxima (km/h)	Precipitación 00-24h (mm)	Precipitación 00-06h (mm)	Precipitación 06-12h (mm)	Precipitación 12-18h (mm)	Precipitación 18-24h (mm)
Estaca de Bares	A Coruña	10.0 (16:40)	6.0 (00:40)	8	97 (17:00)	76 (17:00)	4	1	0,2	2	0,8
As Pontes	A Coruña	7.1 (14:30)	1.7 (00:30)	4,4							
A Coruña	A Coruña	11.1 (13:50)	6.0 (00:20)	8,6	61 (16:10)	33 (16:30)	5,8	3,8	0,6	0,6	0,8
A Coruña Aeropuerto	A Coruña	11.0 (13:50)	5.6 (01:30)	8,3	54 (04:50)	30 (04:50)	6	3	0,3	0,9	1,8
Carballo, Depuradora	A Coruña	9.0 (13:30)	3.7 (09:00)	6,4			15,4	6	2,6	5,6	1,2
Cabo Vilan	A Coruña	10.0 (16:10)	6.5 (00:50)	8,3	66 (04:10)	47 (04:20)	4,2	0,9	0,8	0,9	1,6
Vimianzo	A Coruña	8.1 (12:50)	3.6 (05:40)	5,9			11,2	3,8	2,4	1,8	3,2
Fisterra	A Coruña	9.3 (14:10)	6.3 (05:10)	7,8	82 (04:40)	55 (04:50)	0,2	0,2	0	0	0
Mazaricos	A Coruña	7.7 (13:10)	3.5 (08:40)	5,6			6,6	3	0,6	0,8	2,2
Sobrado	A Coruña	5.8 (14:20)	0.0 (09:10)	2,9			12,4	2,6	2,6	4,4	2,8
Santiago de Compostela Aeropuerto	A Coruña	10.0 (14:10)	1.8 (08:50)	5,9	52 (16:20)	28 (16:30)	5,3	1,4	1,2	1,7	1
Noia	A Coruña	9.7 (15:00)	3.3 (09:10)	6,5	20 (02:30)	7 (17:20)	3,4	0,8	0,4	1,4	0,8
Boiro	A Coruña	12.0 (17:00)	4.0 (09:30)	8			2,2	0,4	0	0,6	1,2
Padrón	A Coruña										
Santiago de Compostela	A Coruña	9.6 (14:50)	3.2 (09:30)	6,4	20 (16:10)	6 (14:50)	7,8	3,5	2,1	1	1,2
Rois, Casas do Porto	A Coruña	9.6 (15:10)	3.4 (08:30)	6,5			6	1,2	0,8	2,4	1,6
Ossa de Montiel	Albacete	5.7 (11:50)	1.0 (23:59)	3,3	34 (18:20)	14 (00:10)	1,8	0	0	1,8	0
Villarrobledo	Albacete				33 (14:30)	16 (15:10)	0,2	0	0	0,2	0
Munera	Albacete	5.4 (12:30)	1.5 (05:10)	3,5	32 (19:50)	15 (15:10)	0,6	0	0	0,6	0
Yeste, Embalse Fuensanta	Albacete							0,8	3		0
Yeste	Albacete	6.7 (15:10)	0.7 (09:50)	3,7			8,8	2,8	3,6	1,4	1
Hellín	Albacete	8.7 (14:00)	2.8 (05:40)	5,7	55 (15:00)	28 (16:50)	1,3	0	1,3	0	0
Tobarra	Albacete	8.6 (14:50)	2.2 (06:00)	5,4			0,8	0	0,8	0	0
Chinchilla	Albacete	4.7 (14:10)	0.8 (07:30)	2,7	60 (16:30)	32 (17:50)	1,1	0	0	1,1	0
Albacete	Albacete	8.5 (13:40)	3.7 (23:59)	6,1	39 (17:30)	19 (17:30)	0,8	0	0	0,8	0
Alcalá del Júcar	Albacete	8.6 (15:10)	1.5 (08:00)	5,1	32 (16:50)	20 (17:00)	0	0	0	0	0
Orihuela	Alacant/Alicante	14.0 (16:20)	5.7 (06:50)	9,8	53 (22:20)	29 (22:30)	1,2	0	1	0,2	0
Pinoso	Alacant/Alicante	9.5 (14:50)	1.0 (06:40)	5,3	44 (23:59)	20 (15:00)	0,1	0	0,1	0	0
Rojales	Alacant/Alicante	12.5 (17:20)	6.9 (07:00)	9,7	43 (20:20)	30 (20:20)	3,6	0	1,8	1,8	0
Villena	Alacant/Alicante	10.4 (14:50)	0.6 (07:40)	5,5	48 (20:00)	33 (20:00)	0	0	0	0	0
Novelda	Alacant/Alicante	12.6 (15:40)	5.8 (06:10)	9,2			0	0	0	0	0
Elche/Elx	Alacant/Alicante	12.6 (16:40)	4.1 (06:40)	8,4			0,8	0	0,2	0,6	0
Alicante/Alacant Aeropuerto	Alacant/Alicante	12.7 (17:40)	5.0 (06:10)	8,8	52 (21:30)	39 (21:30)	0,7	0	0,4	0,3	0
Alicante/Alacant	Alacant/Alicante	12.3 (14:40)	6.0 (06:20)	9,2	40 (20:50)	19 (23:59)	0	0	0	0	0
Jávea/ Xàbia	Alacant/Alicante	12.2 (13:30)	4.0 (07:00)	8,1	43 (21:50)	21 (14:40)	0	0	0	0	0
Pego	Alacant/Alicante	13.4 (13:30)	6.7 (08:30)	10	42 (23:59)	22 (22:10)	0	0	0	0	0
Alcoy/Alcoi	Alacant/Alicante	9.1 (14:00)	3.4 (08:10)	6,3	60 (23:10)	34 (23:40)	0,2	0	0,2	0	0
Vélez Blanco	Almería	4.2 (15:20)	-0.2 (09:30)	2			6,4	0	0,8	5,6	0
Adra	Almería	17.0 (13:50)	7.4 (08:10)	12,2	69 (15:20)	44 (15:20)	0	0	0	0	0
El Ejido	Almería	18.3 (14:10)	8.1 (09:30)	13,2			18,8	3,2	15,6	0	0
Roquetas de Mar	Almería	15.5 (13:40)	8.8 (07:50)	12,2	88 (15:30)	52 (16:00)	18,8	2,8	16	0	0
Abla	Almería	8.3 (15:40)	2.8 (08:40)	5,6	41 (18:20)	21 (17:00)	1,7	0	1,6	0,1	0
Láujar de Andarax	Almería	4.3 (15:10)	-1.3 (07:10)	1,5	80 (19:10)	49 (11:40)	9	0	0	8,8	0,2
Almería Aeropuerto	Almería	15.6 (15:30)	9.5 (08:20)	12,6	71 (17:50)	43 (17:50)	6,5	0,3	6,2	0	0
Cabo de Gata	Almería	13.7 (01:10)	9.8 (10:40)	11,8	65 (00:30)	40 (22:30)	9,4	0,6	8,8	0	0
Garrucha, Puerto	Almería	14.0 (14:30)	8.8 (10:20)	11,4	55 (18:50)	33 (15:20)	2	0	1	0,8	0,2
Albox	Almería	10.8 (14:30)	5.0 (09:30)	7,9	75 (21:00)	51 (19:00)	4	0	3,8	0,2	0
Huercal Overa	Almería	11.6 (14:10)	5.8 (09:00)	8,7	60 (16:30)	30 (16:30)	6,4	0	6,4	0	0
Alborán	Almería										
Aramaio	Araba/Álava	4.5 (10:20)	0.9 (00:20)	2,7			4,4	0	0,2	2,6	1,6
Amurrio	Araba/Álava	7.3 (15:40)	0.3 (08:50)	3,8	26 (17:50)	14 (17:50)	1,4	0	0	1	0,4
Lalastra	Araba/Álava	3.8 (14:10)	-1.7 (09:00)	1	33 (23:00)	21 (22:40)	0	0	0	0	0
Opakua	Araba/Álava	3.8 (12:30)	-0.6 (08:40)	1,6	33 (17:10)	23 (17:10)	0,4	0	0	0,2	0,2
Vitoria Gasteiz Aeropuerto	Araba/Álava	6.6 (12:30)	-1.0 (09:00)	2,8	32 (18:10)	16 (14:00)	0,2	0	0	0,1	0,1
Labastida	Araba/Álava	6.0 (14:00)	0.9 (09:10)	3,4	31 (22:30)	17 (22:50)	0,4	0,2	0	0	0,2
Leza	Araba/Álava	5.6 (16:10)	-0.2 (06:20)	2,7			0,4	0	0	0,2	0,2
Campezo/Kanpezu	Araba/Álava	5.3 (13:50)	-0.8 (09:30)	2,3			0,2	0	0	0,2	0
Cabrales	Asturias	7.8 (15:00)	2.4 (09:40)	5,1	58 (19:20)	30 (15:50)	9,4	0	2,8	1,4	5,2
Llanes	Asturias	10.3 (14:10)	5.4 (01:30)	7,9	54 (14:30)	23 (13:30)	14,2	0	4,2	0,6	9,4
Amieva, Panizales	Asturias	8.1 (14:50)	2.8 (01:50)	5,5	21 (15:20)	10 (15:20)	14,2	0,6	4,8	2	6,8
Piloña	Asturias	8.7 (14:10)	2.8 (02:30)	5,7	36 (17:40)	17 (16:20)	21,8	2	3,2	2,6	14
Colunga	Asturias	10.3 (14:00)	4.9 (01:40)	7,6	44 (21:00)	20 (21:00)	14,6	0,6	4,6	5	4,4
Gijón, Campus	Asturias	10.5 (14:40)	4.9 (01:20)	7,7	38 (19:20)	18 (18:20)	13,2	2,2	3,6	1,8	5,6
Cabo Peñas	Asturias	8.7 (11:50)	4.4 (03:50)	6,5	71 (17:50)	40 (15:10)	13,8	2,7	3,4	4,9	2,8
Asturias Aeropuerto	Asturias	9.2 (14:30)	5.2 (08:30)	7,2	58 (22:20)	33 (22:20)	22,1	4	4,6	3,7	9,8
Puerto de Pajares	Asturias	-2.2 (02:20)	-3.4 (08:40)	-2,8	48 (09:40)	26 (00:10)	8,5	3,1	0,9	1	3,5
Pola de Lena	Asturias	8.2 (14:10)	3.8 (06:10)	6	24 (16:50)	10 (16:50)	6,6	2,2	0,8	1,4	2,2
Aller	Asturias	3.3 (02:40)	0.2 (08:10)	1,7	21 (11:40)	12 (11:40)	20,2	2,2	7,8	1,8	8,4
Mieres	Asturias	10.3 (14:50)	4.9 (00:20)	7,6	27 (16:00)	12 (16:10)	11,4	2	4,4	1,4	3,6
Oviedo	Asturias	7.6 (15:00)	3.1 (06:20)	5,3	42 (16:20)	27 (15:10)	13,2	1,8	3,4	2,2	5,8
Tineo, Soto de la Barca	Asturias	6.0 (00:00)	2.8 (07:50)	4,4	17 (15:10)	6 (10:30)	20	6,6	6,6	4	2,8
Pola de Somiedo	Asturias	4.7 (01:10)	1.0 (08:40)	2,8	32 (23:30)	12 (20:50)	11,4	1,8	3,8	4	1,8
Salas	Asturias	7.2 (12:40)	3.5 (08:10)	5,3	37 (20:50)	20 (20:50)	22,6	4	6	5,6	7
Cabo Busto	Asturias	9.8 (13:40)	6.2 (06:30)	8			16,6	8	2	4,6	2
Degaña	Asturias	-0.8 (12:50)	-2.4 (07:40)	-1,6	30 (13:00)	12 (10:10)	22,6	4,4	4,8	4,8	8,6
Ibias, San Antolin	Asturias	3.4 (12:30)	0.0 (08:30)	1,7	42 (19:40)	28 (19:40)	11,8	2,2	2,6	3,6	3,4
Villayón, Oneta	Asturias	5.5 (12:20)	1.6 (07:00)	3,6	44 (21:50)	22 (21:50)	22,4	8,2	9	2,6	2,6
Figueras de Castropol	Asturias	9.1 (17:00)	4.8 (03:30)	7	35 (13:00)	22 (12:40)	22,1	10,6	3,9	5,4	2,2
Taramundi, Ouria	Asturias	7.0 (15:10)	1.7 (04:10)	4,4	44 (15:30)	18 (15:10)	21,2	9	4,8	4,6	2,8
Puerto de Leitariegos	Asturias	-2.4 (16:30)	-4.1 (11:00)	-3,3	67 (11:50)	42 (11:50)	5,8	1,6	1,8	0,8	1,6
Muñotello	Ávila	1.3 (16:20)	-0.4 (07:20)	0,4	51 (20:50)	36 (23:00)					
Ávila	Ávila	1.1 (00:10)	-0.4 (11:20)	0,4	44 (23:00)	26 (23:00)	7,2	2,2	3,2	1,8	0
Gotarrendura	Ávila	4.2 (17:10)	0.1 (09:30)	2,1	40 (22:10)	31 (22:20)	5,6	0,4	1,8	3,4	0
Arevalo	Ávila	5.5 (17:10)	0.1 (06:40)	2,8	40 (22:30)	28 (23:50)	7,4	2,4	4,6	0,4	0
Rivilla de Barajas	Ávila	4.4 (16:40)	0.0 (08:20)	2,2	40 (20:40)	31 (20:50)	7,4	0,2	3,4	3,8	0
Navarredonda de Gredos	Ávila	0.1 (14:40)	-3.5 (02:10)	-1,7	44 (21:40)	13 (16:50)	2,7	0,5	1,2	1	0
