España											
Actualizado: lunes, 02 enero 2017 a las 14:00 hora oficial											
Fecha: domingo, 01 enero 2017											
											
Estación	Provincia	Temperatura máxima (ºC)	Temperatura mínima (ºC)	Temperatura media (ºC)	Racha (km/h)	Velocidad máxima (km/h)	Precipitación 00-24h (mm)	Precipitación 00-06h (mm)	Precipitación 06-12h (mm)	Precipitación 12-18h (mm)	Precipitación 18-24h (mm)
Estaca de Bares	A Coruña	11.1 (16:00)	7.5 (07:40)	9,3	43 (21:30)	32 (14:20)	0	0	0	0	0
As Pontes	A Coruña	4.9 (16:10)	-2.7 (06:30)	1,1			0	0	0	0	0
A Coruña	A Coruña	11.4 (14:30)	5.4 (05:10)	8,4	42 (21:50)	17 (21:50)	0	0	0	0	0
A Coruña Aeropuerto	A Coruña	10.5 (16:10)	2.1 (07:20)	6,3	39 (20:30)	24 (23:40)	0	0	0	0	0
Carballo, Depuradora	A Coruña										
Cabo Vilan	A Coruña	11.1 (13:10)	6.5 (03:00)	8,8	57 (15:00)	35 (21:20)	2,3	0	0	0	2,3
Vimianzo	A Coruña	10.8 (16:00)	0.4 (06:00)	5,6			0	0	0	0	0
Fisterra	A Coruña	10.9 (13:20)	8.6 (05:00)	9,8	82 (23:30)	40 (23:30)	3,6	0	0	0	3,6
Mazaricos	A Coruña	9.4 (16:00)	0.0 (05:20)	4,7			0	0	0	0	0
Sobrado	A Coruña	7.1 (17:00)	-3.9 (08:00)	1,6			0	0	0	0	0
Santiago de Compostela Aeropuerto	A Coruña	7.6 (16:20)	-2.0 (05:30)	2,8	22 (21:30)	13 (21:30)	0	0	0	0	0
Noia	A Coruña	10.7 (15:00)	3.7 (05:40)	7,2	24 (23:40)	12 (23:59)					
Boiro	A Coruña	10.4 (22:00)	0.2 (07:00)	5,3			0	0	0	0	0
Padrón	A Coruña	9.5 (23:00)	-1.4 (07:20)	4,1	27 (12:00)	22 (10:20)	0	0	0	0	0
Santiago de Compostela	A Coruña	9.5 (23:59)	0.1 (07:20)	4,8	17 (03:10)	7 (00:30)	0	0	0	0	0
Rois, Casas do Porto	A Coruña	9.1 (19:40)	1.9 (05:50)	5,5			0	0	0	0	0
Ossa de Montiel	Albacete	10.0 (13:40)	-5.6 (07:20)	2,2	18 (14:10)	8 (12:40)	0	0	0	0	0
Villarrobledo	Albacete	1.7 (14:50)	-4.5 (08:50)	-1,4	18 (15:50)	12 (15:40)	0,2	0	0,2	0	0
