España											
Actualizado: viernes, 15 enero 2016 a las 09:00 hora oficial											
Fecha: jueves, 14 enero 2016											
											
Estación	Provincia	Temperatura máxima (ºC)	Temperatura mínima (ºC)	Temperatura media (ºC)	Racha (km/h)	Velocidad máxima (km/h)	Precipitación 00-24h (mm)	Precipitación 00-06h (mm)	Precipitación 06-12h (mm)	Precipitación 12-18h (mm)	Precipitación 18-24h (mm)
Estaca de Bares	A Coruña										
As Pontes	A Coruña	12.2 (01:00)	3.2 (23:50)	7,7			23	21,8	0,4	0,2	0,6
A Coruña	A Coruña	14.9 (00:40)	8.4 (23:30)	11,6	55 (00:50)	30 (13:50)	9	9	0	0	0
A Coruña Aeropuerto	A Coruña	14.5 (00:30)	6.2 (22:30)	10,3	42 (01:40)	26 (01:40)					
Carballo, Depuradora	A Coruña							20,4	2,4		
Cabo Vilan	A Coruña	13.5 (00:10)	8.6 (19:20)	11,1	86 (00:10)	56 (00:10)	11,4	10,7	0,7	0	0
Vimianzo	A Coruña	13.1 (00:30)	4.7 (23:59)	8,9			23,8	22,8	1	0	0
Fisterra	A Coruña	13.5 (00:30)	7.4 (22:40)	10,5	107 (00:10)	78 (00:10)	13,2	13,2	0	0	0
Mazaricos	A Coruña	12.9 (00:40)	5.7 (21:50)	9,3			28,4	28	0,2	0	0,2
Sobrado	A Coruña	11.4 (03:20)	1.8 (23:50)	6,6			39,6	38	1,6	0	0
Santiago de Compostela Aeropuerto	A Coruña							28,6		0	0
Noia	A Coruña	14.3 (01:30)	6.2 (23:40)	10,3	61 (00:40)	26 (01:10)		33,4	0	0	
Monte Iroite	A Coruña	15.2 (09:50)	3.1 (23:40)	9,1			44,4	44,4	0	0	0
Boiro	A Coruña	14.2 (02:20)	8.2 (23:40)	11,2			30	30	0	0	0
Padrón	A Coruña	14.3 (02:00)	6.3 (23:59)	10,3	72 (01:50)	33 (02:10)	32,6	32,3	0,3	0	0
Santiago de Compostela	A Coruña	13.4 (02:40)	5.7 (23:59)	9,5	45 (01:40)	13 (00:20)	34,3	34,3	0	0	0
Rois, Casas do Porto	A Coruña	13.2 (02:30)	6.1 (23:50)	9,6							
Ossa de Montiel	Albacete	9.5 (16:00)	0.8 (04:40)	5,2	22 (13:40)	12 (13:40)	0	0	0	0	0
Villarrobledo	Albacete	9.1 (13:30)	0.3 (03:20)	4,7	31 (19:50)	19 (19:50)	7,2	0	0	1	6,2
Munera	Albacete										
Yeste, Embalse Fuensanta	Albacete	16.8 (15:20)	0.2 (06:40)	8,5			0	0	0	0	0
Yeste	Albacete	16.5 (13:50)	2.7 (01:00)	9,6			0	0	0	0	0
Hellín	Albacete	15.1 (16:00)	2.9 (07:40)	9	27 (23:30)	14 (23:30)	0	0	0	0	0
Tobarra	Albacete	14.1 (16:20)	1.2 (06:10)	7,7				0	0	0	
Chinchilla	Albacete	11.0 (13:40)	2.6 (01:50)	6,8	45 (15:40)	34 (15:40)	1	0	0	0	1
Albacete	Albacete	14.3 (14:30)	0.5 (08:00)	7,4	30 (14:50)	16 (14:50)	1,4	0	0	0	1,4
Alcalá del Júcar	Albacete	12.9 (14:30)	0.0 (07:10)	6,4	47 (14:40)	24 (14:40)	0,8	0	0	0	0,8
Almansa	Albacete	13.9 (13:30)	-0.1 (07:50)	6,9	47 (13:20)	27 (13:20)	0	0	0	0	0
Orihuela	Alacant/Alicante	15.6 (13:40)	3.9 (07:20)	9,8	21 (14:00)	12 (11:50)	0	0	0	0	0
Pinoso	Alacant/Alicante	14.0 (13:20)	-2.8 (07:00)	5,6	6 (13:10)	1 (13:20)	0	0	0	0	0
Rojales	Alacant/Alicante	18.1 (13:50)	6.8 (04:20)	12,5	23 (12:50)	12 (12:50)	0	0	0	0	0
Villena	Alacant/Alicante	15.4 (16:00)	-2.8 (07:40)	6,3	31 (17:30)	22 (17:30)	0	0	0	0	0
Novelda	Alacant/Alicante	20.4 (14:00)	6.6 (08:10)	13,5			0	0	0	0	0
Elche/Elx	Alacant/Alicante										
Alicante/Alacant Aeropuerto	Alacant/Alicante	17.9 (14:30)	4.4 (04:40)	11,1	33 (22:00)	24 (22:30)	0	0	0	0	0
Alicante/Alacant	Alacant/Alicante	19.7 (14:10)	6.2 (07:30)	13	32 (23:00)	15 (23:00)	0	0	0	0	0
Benidorm	Alacant/Alicante	15.5 (22:30)	9.1 (08:20)	12,3			0	0	0	0	0
Jávea/ Xàbia	Alacant/Alicante	17.9 (10:50)	5.2 (05:20)	11,5	35 (23:40)	17 (23:40)	0	0	0	0	0
