España											
Actualizado: domingo, 08 enero 2017 a las 14:00 hora oficial											
Fecha: sábado, 07 enero 2017											
											
Estación	Provincia	Temperatura máxima (ºC)	Temperatura mínima (ºC)	Temperatura media (ºC)	Racha (km/h)	Velocidad máxima (km/h)	Precipitación 00-24h (mm)	Precipitación 00-06h (mm)	Precipitación 06-12h (mm)	Precipitación 12-18h (mm)	Precipitación 18-24h (mm)
Estaca de Bares	A Coruña	11.1 (15:10)	7.6 (09:10)	9,4	56 (00:10)	44 (01:30)	0	0	0	0	0
As Pontes	A Coruña	12.4 (14:50)	-1.6 (08:40)	5,4			0	0	0	0	0
A Coruña	A Coruña	13.4 (15:20)	4.1 (08:50)	8,7	14 (02:20)	9 (13:00)	0	0	0	0	0
A Coruña Aeropuerto	A Coruña	13.3 (14:30)	-1.3 (08:20)	6	18 (10:10)	13 (05:40)	0	0	0	0	0
Carballo, Depuradora	A Coruña										
Cabo Vilan	A Coruña	12.4 (15:00)	5.0 (09:30)	8,7	27 (04:50)	20 (04:40)	0	0	0	0	0
Vimianzo	A Coruña	14.3 (14:50)	3.8 (07:00)	9,1			0	0	0	0	0
Fisterra	A Coruña	14.5 (14:20)	9.6 (09:10)	12,1	19 (09:40)	13 (09:10)	0	0	0	0	0
Mazaricos	A Coruña	12.0 (16:50)	0.5 (09:30)	6,3			0	0	0	0	0
Sobrado	A Coruña	15.4 (16:50)	-2.0 (23:59)	6,7			0	0	0	0	0
Santiago de Compostela Aeropuerto	A Coruña	14.5 (15:20)	-0.3 (05:30)	7,1	15 (22:20)	8 (22:20)	0	0	0	0	0
Noia	A Coruña	13.9 (13:50)	4.6 (09:40)	9,2	16 (01:30)	7 (00:30)					
Boiro	A Coruña	15.3 (17:10)	0.5 (09:20)	7,9			0	0	0	0	0
Padrón	A Coruña	13.1 (16:10)	-1.5 (09:20)	5,8	30 (08:00)	24 (08:10)	0	0	0	0	0
Santiago de Compostela	A Coruña	15.2 (16:50)	2.4 (09:10)	8,8	22 (01:50)	10 (01:50)	0	0	0	0	0
Rois, Casas do Porto	A Coruña	13.4 (17:20)	2.8 (08:50)	8,1			0	0	0	0	0
