España											
Actualizado: viernes, 06 enero 2017 a las 14:00 hora oficial											
Fecha: jueves, 05 enero 2017											
											
Estación	Provincia	Temperatura máxima (ºC)	Temperatura mínima (ºC)	Temperatura media (ºC)	Racha (km/h)	Velocidad máxima (km/h)	Precipitación 00-24h (mm)	Precipitación 00-06h (mm)	Precipitación 06-12h (mm)	Precipitación 12-18h (mm)	Precipitación 18-24h (mm)
Estaca de Bares	A Coruña	15.5 (14:20)	10.9 (23:59)	13,2	52 (21:40)	42 (23:40)	0	0	0	0	0
As Pontes	A Coruña	16.5 (14:50)	1.9 (23:59)	9,2			0	0	0	0	0
A Coruña	A Coruña	17.5 (15:30)	9.8 (23:59)	13,7	18 (18:20)	12 (18:30)	0	0	0	0	0
A Coruña Aeropuerto	A Coruña	17.3 (16:40)	7.0 (23:50)	12,1	22 (22:10)	8 (10:30)	0	0	0	0	0
Carballo, Depuradora	A Coruña										
Cabo Vilan	A Coruña	15.5 (14:40)	10.7 (23:59)	13,1	26 (01:00)	17 (23:59)	0	0	0	0	0
Vimianzo	A Coruña	17.3 (14:10)	7.1 (23:59)	12,2			0	0	0	0	0
Fisterra	A Coruña	15.5 (17:20)	11.8 (23:59)	13,7	37 (01:10)	22 (21:40)	0	0	0	0	0
Mazaricos	A Coruña	15.0 (16:20)	8.5 (23:40)	11,8			0	0	0	0	0
Sobrado	A Coruña	14.4 (15:50)	1.6 (23:59)	8			0	0	0	0	0
Santiago de Compostela Aeropuerto	A Coruña	16.5 (15:10)	7.5 (23:50)	12	13 (14:50)	6 (05:50)	0	0	0	0	0
Noia	A Coruña	17.6 (15:10)	10.1 (23:00)	13,9	14 (15:40)	7 (15:10)					
Boiro	A Coruña	18.7 (16:00)	8.1 (23:59)	13,4			0	0	0	0	0
Padrón	A Coruña	17.2 (15:10)	6.8 (23:50)	12	22 (09:00)	16 (09:00)	0	0	0	0	0
Santiago de Compostela	A Coruña	17.5 (15:40)	7.6 (23:59)	12,5	15 (09:10)	8 (09:10)	0	0	0	0	0
Rois, Casas do Porto	A Coruña	16.5 (15:20)	9.2 (23:50)	12,8			0	0	0	0	0
Ossa de Montiel	Albacete	11.6 (15:40)	-0.1 (23:59)	5,8	24 (11:50)	12 (12:50)	0	0	0	0	0
Villarrobledo	Albacete	13.6 (15:20)	1.3 (23:59)	7,5	30 (16:20)	21 (16:20)	0	0	0	0	0
Yeste, Embalse Fuensanta	Albacete	19.6 (15:30)	2.9 (23:59)	11,3			0	0	0	0	0
Yeste	Albacete	16.7 (15:40)	3.3 (23:59)	10			0	0	0	0	0
Hellín	Albacete	14.9 (15:00)	5.5 (23:00)	10,2	43 (11:00)	27 (11:00)	0	0	0	0	0
Tobarra	Albacete	15.1 (15:50)	4.3 (23:59)	9,7			0	0	0	0	0
Chinchilla	Albacete	9.4 (15:50)	2.1 (08:30)	5,7	48 (06:00)	32 (09:10)	0	0	0	0	0
Albacete	Albacete	13.9 (16:20)	3.4 (09:10)	8,6	26 (03:20)	12 (03:00)	0	0	0	0	0
Almansa	Albacete	13.8 (15:10)	-0.4 (23:59)	6,7	26 (03:50)	13 (03:50)	0	0	0	0	0
Orihuela	Alacant/Alicante	18.1 (13:20)	7.2 (23:40)	12,7	29 (09:30)	14 (10:00)	0	0	0	0	0
Pinoso	Alacant/Alicante	14.9 (17:10)	0.3 (23:50)	7,6	23 (07:30)	10 (11:10)	0	0	0	0	0
Rojales	Alacant/Alicante	18.6 (14:40)	9.4 (08:40)	14	29 (02:40)	18 (01:40)	0	0	0	0	0
Villena	Alacant/Alicante	15.8 (16:50)	1.7 (23:50)	8,8	32 (02:30)	19 (02:30)	0	0	0	0	0
Novelda	Alacant/Alicante	18.2 (16:00)	7.9 (22:40)	13,1			0	0	0	0	0
Elche/Elx	Alacant/Alicante	19.2 (15:00)	7.3 (23:59)	13,3			0	0	0	0	0
Alicante/Alacant Aeropuerto	Alacant/Alicante	21.2 (13:20)	9.7 (23:59)	15,5	48 (04:30)	35 (04:30)	0	0	0	0	0
Alicante/Alacant	Alacant/Alicante	18.8 (12:50)	6.9 (08:30)	12,8	25 (03:40)	13 (03:40)	0	0	0	0	0
Benidorm	Alacant/Alicante										
Jávea/ Xàbia	Alacant/Alicante	17.0 (13:10)	5.1 (23:50)	11	30 (12:30)	19 (12:20)	0	0	0	0	0
Pego	Alacant/Alicante	18.4 (13:40)	8.9 (22:10)	13,6	31 (03:00)	19 (03:00)	0	0	0	0	0
Alcoy/Alcoi	Alacant/Alicante	14.9 (15:00)	4.8 (23:50)	9,8	26 (00:10)	17 (00:10)	0	0	0	0	0
Vélez Blanco - Topares	Almería	11.1 (16:30)	1.2 (23:50)	6,2			0,2	0	0,2	0	0
Adra	Almería	19.5 (13:30)	12.6 (07:10)	16,1	17 (01:40)	8 (01:50)					
El Ejido	Almería	22.6 (12:40)	9.8 (07:30)	16,2			0	0	0	0	0
Roquetas de Mar	Almería	20.5 (13:40)	6.9 (07:50)	13,7	31 (23:50)	19 (23:59)	0,2	0	0,2	0	0
Abla	Almería	16.8 (16:10)	6.6 (23:30)	11,7	27 (10:50)	12 (11:20)	0	0	0	0	0
Láujar de Andarax	Almería	13.2 (15:30)	4.7 (23:50)	8,9	31 (10:10)	17 (05:30)	0	0	0	0	0
Almería Aeropuerto	Almería	20.0 (14:30)	10.4 (07:10)	15,2	30 (03:00)	22 (03:00)	0	0	0	0	0
Cabo de Gata	Almería	20.1 (12:10)	13.3 (02:30)	16,7	35 (23:50)	28 (23:50)	0	0	0	0	0
Carboneras	Almería	19.0 (14:10)	11.6 (06:40)	15,3	30 (23:59)	23 (23:50)	0	0	0	0	0
Garrucha, Puerto	Almería				26 (16:30)	23 (17:00)	0	0	0	0	0
Albox	Almería	19.8 (15:40)	7.1 (23:59)	13,4	45 (00:20)	36 (01:50)	0	0	0	0	0
Huercal Overa	Almería	22.5 (14:00)	7.1 (23:59)	14,8	31 (02:30)	20 (02:20)	0	0	0	0	0
Aramaio	Araba/Álava	4.4 (15:30)	-1.9 (07:00)	1,3			0	0	0	0	0
Amurrio	Araba/Álava	7.8 (15:20)	-2.3 (23:50)	2,8	17 (16:00)	11 (16:00)	0	0	0	0	0
Lalastra	Araba/Álava	7.1 (15:10)	-3.6 (23:59)	1,8	23 (12:10)	10 (12:00)	0	0	0	0	0
Opakua	Araba/Álava	6.1 (14:50)	-4.3 (09:00)	0,9	25 (12:40)	14 (12:40)	0	0	0	0	0
Vitoria Gasteiz Aeropuerto	Araba/Álava	7.1 (14:50)	-6.5 (07:20)	0,3	32 (12:40)	23 (12:50)		0			0
Labastida	Araba/Álava	9.2 (15:00)	-0.4 (23:10)	4,4	34 (16:50)	15 (14:10)	0	0	0	0	0
Leza	Araba/Álava	10.5 (12:40)	-2.7 (23:50)	3,9			0	0	0	0	0
Campezo/Kanpezu	Araba/Álava	8.1 (15:20)	-0.3 (23:59)	3,9			0	0	0	0	0
Cabrales	Asturias	12.1 (13:30)	2.7 (23:40)	7,4	18 (21:50)	13 (01:40)	0	0	0	0	0
Llanes	Asturias	11.5 (14:50)	6.5 (23:59)	9	39 (14:10)	24 (13:20)	0	0	0	0	0
Amieva, Panizales	Asturias	15.4 (14:50)	2.2 (23:00)	8,8	18 (14:50)	11 (14:50)	0	0	0	0	0
Piloña	Asturias	14.4 (14:20)	4.3 (22:20)	9,3	16 (13:10)	10 (18:10)	0	0	0	0	0
