España											
Actualizado: miércoles, 21 enero 2015 a las 09:00 hora oficial											
Fecha: martes, 20 enero 2015											
											
Estación	Provincia	Temperatura máxima (ºC)	Temperatura mínima (ºC)	Temperatura media (ºC)	Racha (km/h)	Velocidad máxima (km/h)	Precipitación 00-24h (mm)	Precipitación 00-06h (mm)	Precipitación 06-12h (mm)	Precipitación 12-18h (mm)	Precipitación 18-24h (mm)
Huercal Overa	Almería	12.7 (16:10)	3.0 (08:00)	7,8	32 (14:00)	17 (10:10)	0	0	0	0	0
Aramaio	Araba/Álava	2.8 (16:20)	-0.5 (02:30)	1,1			0,2	0	0	0	0,2
Amurrio	Araba/Álava	7.2 (15:10)	1.2 (00:00)	4,2	11 (11:50)	6 (13:00)	1,4	0	0	0	1,4
Lalastra	Araba/Álava	1.5 (15:10)	-3.5 (00:00)	-1	22 (02:20)	12 (21:10)	3	0	0,8	1,6	0,6
Opakua	Araba/Álava	1.5 (14:40)	-1.2 (07:30)	0,1	8 (06:50)	6 (06:20)	1,4	0	0,4	0,6	0,4
Vitoria Gasteiz Aeropuerto	Araba/Álava	4.4 (14:10)	-0.3 (01:00)	2,1	21 (13:00)	15 (13:10)	0,5	0	0	0	0,5
Labastida	Araba/Álava	2.8 (15:30)	-0.3 (00:00)	1,2	25 (16:20)	11 (11:00)	0,6	0	0	0,2	0,4
Leza	Araba/Álava							0	0	0	
Campezo/Kanpezu	Araba/Álava	3.2 (15:20)	-0.8 (04:50)	1,2			0,8	0	0,4	0,4	0
Cabrales	Asturias	5.2 (14:00)	1.5 (08:40)	3,3	44 (14:20)	28 (14:10)	18,8	0	1,8	7,6	9,4
Llanes	Asturias	9.9 (13:40)	5.8 (06:40)	7,8	46 (14:40)	18 (14:10)	18,8	0	1,6	8	9,2
Amieva, Panizales	Asturias	5.1 (13:40)	2.3 (00:00)	3,7	29 (08:10)	15 (05:50)	16,8	0,4	0,8	6,4	9,2
Piloña	Asturias	5.3 (11:40)	2.6 (00:30)	4	36 (12:40)	17 (13:00)	13	0,6	0,8	8,8	2,8
Colunga	Asturias	8.8 (12:40)	5.3 (07:30)	7,1	37 (12:30)	22 (12:30)	26,2	0,2	0,6	14,6	10,8
Gijón, Campus	Asturias	9.2 (16:10)	5.2 (07:50)	7,2	35 (10:20)	19 (10:20)	7,8	0,2	0,2	5,8	1,6
Cabo Peñas	Asturias										
Asturias Aeropuerto	Asturias	10.5 (15:00)	4.7 (03:30)	7,6	48 (16:30)	30 (11:30)		0,2	13,3		0,1
Puerto de Pajares	Asturias	-1.9 (11:30)	-5.1 (00:00)	-3,5	10 (16:40)	5 (03:50)	12,4	0	1,6	9,3	1,5
Pola de Lena	Asturias	6.9 (14:40)	2.1 (05:50)	4,5	18 (09:00)	11 (08:50)	9,6	0,6	3,4	2	3,6
Aller	Asturias	1.4 (15:30)	-0.2 (02:00)	0,6	17 (17:00)	9 (17:00)	24,6	1,2	4,6	10,8	8
Mieres	Asturias	7.6 (16:00)	4.3 (01:50)	6	25 (15:10)	10 (05:20)	20,4	0,4	5,8	9,2	5
Oviedo	Asturias	5.8 (15:40)	3.0 (02:10)	4,4	34 (10:40)	22 (10:40)	19,4	0,6	6,2	8,2	4,4
Tineo, Soto de la Barca	Asturias	5.1 (15:20)	2.6 (03:00)	3,8	14 (08:20)	6 (08:20)	8,2	0,4	1,8	2,6	3,4
Pola de Somiedo	Asturias	3.7 (15:20)	0.3 (00:40)	2	17 (16:00)	9 (16:00)	6,2	0,6	1,6	1,8	2,2
Salas	Asturias	6.9 (13:40)	2.7 (03:10)	4,8	31 (13:00)	17 (13:00)	23,6	0,2	11	7,8	4,6
Cabo Busto	Asturias							0,2	15,2		
Degaña	Asturias	-0.4 (15:50)	-3.3 (02:50)	-1,8	19 (22:00)	8 (20:40)	2,8	0	0	2,8	0
Ibias, San Antolin	Asturias	2.4 (12:50)	0.1 (05:00)	1,3	28 (01:30)	15 (23:50)	5,6	0,2	2,2	1,4	1,8
Villayón, Oneta	Asturias	6.2 (15:40)	2.7 (09:30)	4,4	34 (06:40)	18 (00:40)	10,4	0	0	2,2	8,2
Taramundi, Ouria	Asturias	6.8 (16:10)	3.0 (09:10)	4,9	51 (03:30)	34 (03:40)	15,2	0,6	6,2	4,6	3,8
Puerto de Leitariegos	Asturias	-2.4 (12:10)	-4.9 (00:10)	-3,7	55 (20:30)	40 (23:59)					
Ávila	Ávila	1.5 (12:50)	-4.0 (09:00)	-1,3	24 (23:59)	15 (23:59)	0,2	0	0	0,2	0
Gotarrendura	Ávila	1.7 (12:00)	-2.1 (09:10)	-0,2	21 (23:40)	15 (23:40)	0	0	0	0	0
Arevalo	Ávila	1.7 (16:50)	-1.2 (09:00)	0,3	17 (23:10)	12 (04:10)	2,4	0	0,2	2	0,2
Navarredonda de Gredos	Ávila	0.6 (14:00)	-5.8 (05:20)	-2,6	19 (06:20)	8 (14:20)	0,9	0	0,6	0,3	0
Barco de Avila	Ávila	1.1 (14:30)	-3.4 (04:50)	-1,2	17 (16:00)	10 (09:00)	1,8	0	0,6	0,6	0,6
Puerto El Pico	Ávila	2.8 (13:40)	-4.6 (00:10)	-0,9	33 (21:00)	23 (21:00)	0,4	0	0	0,4	0
Cebreros	Ávila	4.6 (15:30)	-1.3 (09:00)	1,6	39 (23:10)	17 (21:20)	0,2	0	0	0	0,2
Sotillo de la Adrada	Ávila	6.6 (16:30)	-0.3 (09:00)	3,1	15 (13:00)	7 (13:10)	0	0	0	0	0
Candeleda	Ávila	7.2 (13:20)	0.3 (08:50)	3,7	16 (13:30)	10 (14:50)	0	0	0	0	0
Herrera del Duque	Badajoz				17 (01:00)	11 (01:00)	3,4	0	1	2,4	0
