España											
Actualizado: lunes, 30 enero 2017 a las 14:00 hora oficial											
Fecha: domingo, 29 enero 2017											
											
Estación	Provincia	Temperatura máxima (ºC)	Temperatura mínima (ºC)	Temperatura media (ºC)	Racha (km/h)	Velocidad máxima (km/h)	Precipitación 00-24h (mm)	Precipitación 00-06h (mm)	Precipitación 06-12h (mm)	Precipitación 12-18h (mm)	Precipitación 18-24h (mm)
Estaca de Bares	A Coruña	16.2 (13:30)	12.0 (00:50)	14,1	78 (09:20)	60 (09:20)	0	0	0	0	0
As Pontes	A Coruña	14.1 (14:50)	8.3 (02:20)	11,2			2,2	0,2	1,2	0,6	0,2
A Coruña	A Coruña	16.6 (13:00)	12.2 (00:00)	14,4	62 (04:20)	27 (04:40)	0,6	0	0	0,6	0
A Coruña Aeropuerto	A Coruña	16.3 (13:10)	11.5 (06:30)	13,9	46 (04:10)	30 (03:30)	0	0	0	0	0
Carballo, Depuradora	A Coruña										
Cabo Vilan	A Coruña	13.4 (13:20)	11.2 (02:20)	12,3	73 (03:20)	51 (03:20)	6,9	5,2	1,3	0,4	0
Vimianzo	A Coruña	13.3 (07:40)	10.7 (02:00)	12			12,6	7,8	3,6	1,2	0
Fisterra	A Coruña							8,2	4,2	0,2	
Mazaricos	A Coruña	12.5 (08:00)	10.1 (02:00)	11,3							
Sobrado	A Coruña	11.9 (13:10)	7.5 (00:00)	9,7			3,4	0	2,6	0,2	0,6
Santiago de Compostela Aeropuerto	A Coruña	12.9 (12:40)	9.4 (02:50)	11,1	41 (04:30)	26 (04:30)	5,5	0,1	4,7	0,6	0,1
Noia	A Coruña	14.5 (12:50)	10.6 (04:00)	12,6	40 (05:10)	15 (04:20)	14,4	7,4	3,8	3	0,2
Boiro	A Coruña	14.5 (11:40)	11.4 (04:10)	12,9			28,6	18,2	8,2	1,2	1
Padrón	A Coruña	14.0 (13:00)	10.1 (01:50)	12,1	43 (14:40)	16 (13:40)	11,2	4,7	6,2	0,3	0
Santiago de Compostela	A Coruña	13.5 (13:40)	10.5 (04:10)	12	27 (15:10)	8 (04:30)	6	0,6	4,2	1,1	0,1
Rois, Casas do Porto	A Coruña	13.5 (11:20)	10.1 (03:10)	11,8			41	18,6	18,6	3,2	0,6
Ossa de Montiel	Albacete	10.0 (16:10)	0.9 (02:10)	5,4	22 (16:20)	10 (16:20)	0	0	0	0	0
Villarrobledo	Albacete	10.7 (15:30)	1.3 (06:50)	6	24 (22:40)	15 (15:20)	0	0	0	0	0
Yeste, Embalse Fuensanta	Albacete	14.5 (16:50)	2.9 (08:20)	8,7			0	0	0	0	0
Yeste	Albacete	11.2 (14:50)	3.6 (06:00)	7,4			0	0	0	0	0
Hellín	Albacete	12.5 (14:30)	4.3 (01:40)	8,4	19 (08:40)	14 (08:40)	0	0	0	0	0
Tobarra	Albacete	13.2 (14:20)	4.6 (01:50)	8,9			0	0	0	0	0
Chinchilla	Albacete	8.4 (16:10)	1.7 (05:00)	5	32 (03:20)	21 (03:20)	0	0	0	0	0
Albacete	Albacete	11.3 (15:20)	1.9 (05:30)	6,6	17 (14:50)	6 (16:00)	0	0	0	0	0
Almansa	Albacete	11.3 (14:30)	3.5 (00:00)	7,4	23 (14:30)	12 (03:30)	0	0	0	0	0
Orihuela	Alacant/Alicante	16.3 (17:30)	5.1 (08:30)	10,7	21 (13:00)	12 (13:30)	0	0	0	0	0
Pinoso	Alacant/Alicante	12.9 (14:40)	3.0 (07:30)	7,9	25 (13:00)	7 (13:00)	0	0	0	0	0
Rojales	Alacant/Alicante	16.1 (16:50)	6.7 (08:50)	11,4	23 (18:40)	14 (18:40)	0	0	0	0	0
Villena	Alacant/Alicante	12.9 (16:00)	1.3 (01:20)	7,1	26 (13:00)	18 (02:30)	0	0	0	0	0
Novelda	Alacant/Alicante	16.6 (16:20)	8.2 (08:20)	12,4			0	0	0	0	0
Elche/Elx	Alacant/Alicante	17.0 (16:30)	8.4 (22:30)	12,7			0	0	0	0	0
Alicante/Alacant Aeropuerto	Alacant/Alicante	18.0 (16:30)	9.3 (00:30)	13,7	35 (02:00)	28 (07:50)	0	0	0	0	0
Alicante/Alacant	Alacant/Alicante	17.3 (15:20)	7.3 (02:50)	12,3	20 (13:10)	12 (16:40)	0	0	0	0	0
Benidorm	Alacant/Alicante							0			
