España											
Actualizado: domingo, 31 enero 2016 a las 09:00 hora oficial											
Fecha: sábado, 30 enero 2016											
											
Estación	Provincia	Temperatura máxima (ºC)	Temperatura mínima (ºC)	Temperatura media (ºC)	Racha (km/h)	Velocidad máxima (km/h)	Precipitación 00-24h (mm)	Precipitación 00-06h (mm)	Precipitación 06-12h (mm)	Precipitación 12-18h (mm)	Precipitación 18-24h (mm)
Estaca de Bares	A Coruña	13.7 (15:20)	10.4 (03:20)	12	91 (19:50)	75 (21:00)	0	0	0	0	0
As Pontes	A Coruña	10.8 (15:50)	3.2 (00:30)	7							
A Coruña	A Coruña	14.3 (14:30)	10.0 (09:00)	12,2	50 (16:50)	28 (19:20)	1,4	0	0	0,6	0,8
A Coruña Aeropuerto	A Coruña	15.0 (14:50)	7.1 (00:00)	11	45 (16:20)	28 (17:00)					
Carballo, Depuradora	A Coruña	13.7 (14:30)	7.1 (00:00)	10,4			2	0	0	0,2	1,8
Cabo Vilan	A Coruña	12.6 (12:30)	9.8 (07:20)	11,2	63 (19:20)	49 (14:10)	5,3	0,1	0,1	0,5	4,6
Vimianzo	A Coruña	11.0 (23:40)	8.4 (03:40)	9,7			8,6	0	1,6	0,6	6,4
Fisterra	A Coruña	11.8 (12:50)	9.4 (09:50)	10,6	72 (16:20)	47 (18:50)	3,6	0	0,4	0,6	2,6
Mazaricos	A Coruña	10.6 (23:40)	7.9 (00:00)	9,3			8,8	0	0,6	3	5,2
Sobrado	A Coruña	8.8 (23:59)	0.5 (00:00)	4,7			9,4	0	0,2	0,8	8,4
Santiago de Compostela Aeropuerto	A Coruña	11.0 (15:30)	3.6 (02:30)	7,3	45 (13:10)	23 (13:30)	3	0	0,1	0,2	2,7
Noia	A Coruña	12.5 (14:30)	6.8 (00:30)	9,7	41 (21:20)	14 (16:10)	5,8	0	1	1,6	3,2
Monte Iroite	A Coruña	8.8 (23:00)	5.4 (00:10)	7,1			12,2	0	1	2	9,2
Boiro	A Coruña	13.4 (15:10)	5.7 (01:10)	9,5			4,4	0	0	0,4	4
Padrón	A Coruña	14.3 (15:00)	4.5 (02:00)	9,4	49 (23:20)	22 (23:20)	2	0	0,4	0,3	1,3
Santiago de Compostela	A Coruña	11.9 (15:20)	5.3 (02:30)	8,6	39 (17:40)	12 (22:20)	0,7	0,2	0,2	0,1	0,2
Rois, Casas do Porto	A Coruña	11.1 (15:10)	6.6 (00:20)	8,9			0	0	0	0	0
Ossa de Montiel	Albacete	12.4 (13:00)	2.1 (23:59)	7,2	23 (15:00)	12 (15:00)	0	0	0	0	0
Villarrobledo	Albacete	11.5 (15:10)	3.2 (06:50)	7,4	25 (17:10)	17 (17:10)	0	0	0	0	0
Munera	Albacete	10.1 (16:20)	2.5 (23:40)	6,3	21 (13:10)	11 (13:40)	0	0	0	0	0
Yeste, Embalse Fuensanta	Albacete									0	0
Yeste	Albacete	14.9 (15:30)	4.3 (08:40)	9,6			4,8	4,8	0	0	0
Hellín	Albacete	14.8 (15:10)	5.9 (07:50)	10,4	31 (17:20)	20 (17:40)	0	0	0	0	0
Tobarra	Albacete	15.4 (14:40)	5.6 (07:30)	10,5			0	0	0	0	0
Chinchilla	Albacete	9.6 (17:10)	2.8 (05:20)	6,2	34 (23:50)	21 (23:59)	0	0	0	0	0
Albacete	Albacete	13.7 (16:20)	2.5 (07:40)	8,1	22 (15:00)	10 (17:00)	0	0	0	0	0
Alcalá del Júcar	Albacete	14.1 (16:20)	4.0 (07:50)	9,1	28 (16:40)	15 (16:40)	0	0	0	0	0
Almansa	Albacete	14.7 (15:50)	4.6 (08:30)	9,6	30 (23:59)	12 (20:10)	0	0	0	0	0
Orihuela	Alacant/Alicante	19.4 (16:40)	9.1 (23:50)	14,3	26 (14:40)	14 (09:10)	0	0	0	0	0
Pinoso	Alacant/Alicante	17.3 (15:50)	3.7 (06:10)	10,5	22 (14:00)	11 (03:10)	0	0	0	0	0
Rojales	Alacant/Alicante	19.3 (16:00)	10.5 (08:10)	14,9	29 (19:00)	17 (17:40)	0	0	0	0	0
Villena	Alacant/Alicante	17.0 (16:30)	6.8 (07:30)	11,9	29 (17:30)	18 (17:30)	0	0	0	0	0
Novelda	Alacant/Alicante	19.6 (16:30)	9.3 (08:30)	14,5			0	0	0	0	0
Elche/Elx	Alacant/Alicante										
Alicante/Alacant Aeropuerto	Alacant/Alicante	19.9 (16:00)	7.9 (08:00)	13,9	28 (16:50)	18 (16:50)	0	0	0	0	0
Alicante/Alacant	Alacant/Alicante	20.0 (13:40)	8.1 (08:30)	14,1	22 (16:10)	12 (14:00)	0	0	0	0	0
Benidorm	Alacant/Alicante	18.0 (12:20)	10.1 (08:20)	14,1			0	0	0	0	0
Jávea/ Xàbia	Alacant/Alicante	18.6 (16:00)	9.7 (23:59)	14,2	35 (13:20)	21 (13:20)	0	0	0	0	0
Pego	Alacant/Alicante	19.1 (14:20)	12.4 (05:50)	15,8	31 (23:30)	19 (22:40)	0	0	0	0	0
Alcoy/Alcoi	Alacant/Alicante	17.2 (16:40)	8.3 (08:10)	12,8	22 (23:40)	14 (23:59)	0	0	0	0	0
Vélez Blanco	Almería	12.9 (16:40)	4.0 (09:10)	8,4			0	0	0	0	0
Adra	Almería	19.4 (10:40)	12.5 (08:30)	15,9	27 (18:30)	17 (18:30)	0	0	0	0	0
El Ejido	Almería	19.9 (12:20)	10.9 (03:40)	15,4			2	0	2	0	0
Roquetas de Mar	Almería	18.6 (13:40)	11.3 (01:50)	15	33 (03:00)	23 (03:00)	0	0	0	0	0
Abla	Almería	17.1 (14:10)	5.5 (06:50)	11,3	24 (17:30)	12 (22:40)	0,1	0	0,1	0	0
Almería Aeropuerto	Almería	20.5 (13:30)	10.4 (23:00)	15,4	33 (13:30)	24 (14:20)	0,1	0,1	0	0	0
Cabo de Gata	Almería	17.7 (12:00)	13.8 (07:30)	15,8	36 (14:20)	28 (12:30)	8,8	8,8	0	0	0
Carboneras	Almería	19.5 (14:50)	12.8 (23:10)	16,2			0	0	0	0	0
Garrucha, Puerto	Almería	18.6 (13:30)	14.2 (23:40)	16,4	33 (18:40)	27 (18:00)	24,6	24,6	0	0	0
Albox	Almería	19.1 (16:00)	8.9 (06:50)	14	38 (23:50)	26 (23:59)	0,8	0,6	0,2	0	0
Huercal Overa	Almería	18.8 (14:00)	8.9 (07:50)	13,8	22 (17:20)	14 (18:00)	5,1	5,1	0	0	0
Alborán	Almería										
Aramaio	Araba/Álava	9.4 (14:10)	2.8 (08:10)	6,1			0	0	0	0	0
Amurrio	Araba/Álava	12.3 (14:00)	1.0 (06:00)	6,7	15 (14:10)	8 (14:20)	0	0	0	0	0
Lalastra	Araba/Álava	6.2 (14:20)	-0.7 (03:30)	2,7	58 (12:30)	33 (12:10)	0	0	0	0	0
Opakua	Araba/Álava	10.2 (14:10)	1.4 (01:50)	5,8	28 (15:10)	17 (15:10)	0	0	0	0	0
Vitoria Gasteiz Aeropuerto	Araba/Álava	11.8 (14:50)	-1.8 (07:00)	5	35 (13:00)	25 (13:20)	0	0	0	0	0
Labastida	Araba/Álava	10.1 (15:00)	1.7 (03:00)	5,9	49 (18:00)	24 (14:40)	0	0	0	0	0
Leza	Araba/Álava	10.6 (15:10)	-0.5 (07:10)	5,1			0,2	0	0	0	0,2
Campezo/Kanpezu	Araba/Álava	11.1 (15:30)	-1.7 (04:10)	4,7			0	0	0	0	0
Cabrales	Asturias	11.8 (16:50)	2.8 (08:30)	7,3	17 (07:00)	13 (06:10)	0,2	0	0,2	0	0
Llanes	Asturias	14.4 (15:00)	6.3 (01:10)	10,3	19 (07:40)	13 (08:30)	0	0	0	0	0
Amieva, Panizales	Asturias	13.1 (16:20)	3.7 (04:40)	8,4	19 (06:40)	10 (06:40)	0	0	0	0	0
Piloña	Asturias	13.2 (16:40)	0.7 (05:10)	6,9	21 (17:00)	9 (17:00)	0	0	0	0	0
Colunga	Asturias	14.8 (16:00)	4.8 (07:00)	9,8	20 (17:10)	12 (08:30)	0	0	0	0	0
Gijón, Campus	Asturias	14.9 (23:50)	3.1 (04:10)	9	31 (17:10)	15 (18:10)	0	0	0	0	0
Cabo Peñas	Asturias	14.3 (23:30)	7.1 (06:20)	10,7	70 (13:00)	39 (15:40)	0	0	0	0	0
Asturias Aeropuerto	Asturias	15.0 (23:50)	4.4 (07:10)	9,7	50 (16:30)	28 (23:00)	0	0	0	0	0
Puerto de Pajares	Asturias	8.1 (10:20)	2.1 (04:40)	5,1	44 (17:20)	24 (17:20)	0	0	0	0	0
Pola de Lena	Asturias	11.5 (16:20)	1.5 (04:50)	6,5	19 (14:40)	8 (15:50)	0	0	0	0	0
Aller	Asturias	12.3 (12:20)	0.7 (07:00)	6,5	22 (12:00)	12 (12:30)	0	0	0	0	0
Mieres	Asturias	14.9 (17:10)	3.2 (04:30)	9	14 (05:20)	6 (09:30)	0	0	0	0	0
Oviedo	Asturias	12.6 (17:20)	3.6 (07:20)	8,1	21 (23:10)	13 (23:10)	0	0	0	0	0
Tineo, Soto de la Barca	Asturias	13.1 (22:20)	1.9 (08:20)	7,5	40 (20:00)	15 (13:40)	0	0	0	0	0
Pola de Somiedo	Asturias	15.8 (15:20)	0.5 (01:40)	8,2	40 (21:40)	17 (21:40)	0	0	0	0	0
Salas	Asturias	13.2 (16:40)	1.6 (07:10)	7,4	57 (13:40)	27 (22:50)	0	0	0	0	0
Cabo Busto	Asturias	15.0 (23:59)	6.6 (05:00)	10,8	91 (18:20)	65 (17:40)	2,4	0	0	1,2	1,2
Degaña	Asturias	7.4 (13:30)	-0.8 (04:40)	3,3	22 (23:40)	9 (13:30)	0	0	0	0	0
Ibias, San Antolin	Asturias	7.6 (17:50)	2.4 (06:40)	5	63 (22:00)	40 (14:20)	0	0	0	0	0
Villayón, Oneta	Asturias	11.1 (23:59)	5.5 (00:00)	8,3	73 (23:20)	29 (10:30)	0	0	0	0	0
Castropol	Asturias	13.7 (23:20)	6.1 (00:10)	9,9	59 (21:10)	30 (23:59)	0	0	0	0	0
Taramundi, Ouria	Asturias	11.3 (23:59)	4.8 (00:00)	8,1	77 (11:00)	49 (20:30)	0	0	0	0	0
Puerto de Leitariegos	Asturias	4.7 (14:30)	-0.7 (08:00)	2	51 (22:50)	26 (22:40)	0,4	0	0	0,4	0
Muñotello	Ávila	11.3 (16:00)	-0.4 (05:30)	5,5	39 (17:00)	22 (23:30)	0	0	0	0	0
Ávila	Ávila	10.9 (16:10)	-0.6 (08:10)	5,1	28 (23:30)	18 (16:20)	0	0	0	0	0
Arevalo	Ávila	11.2 (16:00)	-0.8 (07:30)	5,2	31 (23:50)	22 (23:50)	0	0	0	0	0
Navarredonda de Gredos	Ávila	9.6 (15:10)	-3.3 (07:00)	3,2	22 (23:40)	11 (23:40)	0	0	0	0	0
Barco de Avila	Ávila	12.1 (15:10)	-1.5 (07:50)	5,3	21 (01:10)	15 (08:00)	0	0	0	0	0
Puerto El Pico	Ávila	13.2 (15:50)	-3.6 (08:10)	4,8	18 (14:10)	12 (14:10)	0	0	0	0	0
Cebreros	Ávila	12.9 (12:10)	1.8 (06:00)	7,3	30 (00:20)	17 (04:30)	0	0	0	0	0
Candeleda	Ávila	13.7 (15:50)	2.4 (08:00)	8	17 (15:30)	10 (15:30)	0	0	0	0	0
Herrera del Duque	Badajoz	16.3 (14:50)	2.3 (08:00)	9,3	22 (19:20)	11 (19:30)	0	0	0	0	0
Peraleda del Zaucejo	Badajoz	14.4 (16:50)	1.3 (06:40)	7,8	17 (23:59)	12 (23:59)	0,2	0	0	0,2	0
Castuera	Badajoz	14.3 (16:20)	4.4 (08:40)	9,4	17 (05:50)	9 (05:20)	0	0	0	0	0
Navalvillar de Pela	Badajoz	14.6 (17:00)	2.9 (06:20)	8,8	21 (20:40)	14 (16:00)	0	0	0	0	0
Don Benito	Badajoz	16.1 (17:10)	3.0 (08:20)	9,6	19 (17:30)	9 (17:30)	0	0	0	0	0
Llerena	Badajoz	13.0 (15:50)	3.6 (08:30)	8,3	28 (17:40)	15 (23:40)	0,2	0,2	0	0	0
Villafranca de los Barros	Badajoz	14.8 (16:30)	0.9 (07:30)	7,9	22 (22:40)	14 (22:40)	0	0	0	0	0
Mérida	Badajoz	16.7 (16:20)	2.2 (07:40)	9,5	17 (23:10)	10 (23:30)	0	0	0	0	0
Zafra	Badajoz	14.9 (16:40)	0.9 (07:50)	7,9	15 (14:50)	10 (17:30)	0	0	0	0	0
Almendralejo	Badajoz	15.0 (15:50)	2.9 (08:10)	9	21 (22:50)	15 (23:00)	0	0	0	0	0
Badajoz Aeropuerto	Badajoz	16.2 (16:40)	3.8 (08:50)	10	24 (20:20)	18 (20:30)	0	0	0	0	0
Alburquerque	Badajoz	15.9 (15:40)	3.9 (08:40)	9,9	19 (15:50)	12 (15:50)	0	0	0	0	0
Puebla de Obando	Badajoz	14.5 (15:00)	4.1 (04:50)	9,3	19 (16:10)	14 (00:10)	0	0	0	0	0
Badajoz	Badajoz	17.7 (16:30)	2.0 (08:40)	9,9	26 (20:30)	17 (20:30)	0	0	0	0	0
Olivenza	Badajoz	15.6 (16:40)	5.1 (06:20)	10,4	18 (20:30)	14 (00:50)	0	0	0	0	0
Alconchel	Badajoz	16.3 (17:00)	4.5 (08:30)	10,4	20 (18:00)	15 (18:00)	0	0	0	0	0
Barcarrota	Badajoz	15.0 (15:30)	3.1 (08:50)	9	15 (16:20)	8 (16:20)	0	0	0	0	0
Villanueva del Fresno	Badajoz	15.7 (15:40)	3.6 (08:30)	9,6	22 (00:50)	16 (03:30)	0	0	0	0	0
Monesterio	Badajoz	12.8 (17:00)	3.9 (02:50)	8,4	20 (23:40)	13 (23:00)	0,2	0	0,2	0	0
Fuente de Cantos	Badajoz	13.9 (16:40)	3.5 (08:10)	8,7	18 (16:40)	14 (21:10)	0	0	0	0	0
Jerez de los Caballeros	Badajoz	16.3 (16:10)	1.4 (08:00)	8,8			0	0	0	0	0
