España											
Actualizado: miércoles, 07 enero 2015 a las 09:00 hora oficial											
Fecha: martes, 06 enero 2015											
											
Estación	Provincia	Temperatura máxima (ºC)	Temperatura mínima (ºC)	Temperatura media (ºC)	Racha (km/h)	Velocidad máxima (km/h)	Precipitación 00-24h (mm)	Precipitación 00-06h (mm)	Precipitación 06-12h (mm)	Precipitación 12-18h (mm)	Precipitación 18-24h (mm)
Estaca de Bares	A Coruña	16.1 (14:20)	8.8 (05:40)	12,5	44 (02:00)	33 (00:50)	2,2	0	0	0	2,2
As Pontes	A Coruña	13.7 (14:10)	2.4 (08:40)	8							
A Coruña	A Coruña	14.3 (15:10)	8.8 (06:40)	11,6	22 (10:00)	17 (10:00)	0	0	0	0	0
A Coruña Aeropuerto	A Coruña	15.5 (13:30)	6.9 (07:50)	11,2	28 (13:40)	18 (11:10)	0	0	0	0	0
Carballo, Depuradora	A Coruña	14.5 (15:20)	4.4 (05:10)	9,5			0	0	0	0	0
Cabo Vilan	A Coruña	12.6 (15:00)	9.4 (04:30)	11	43 (10:30)	31 (10:40)	0	0	0	0	0
Vimianzo	A Coruña	11.7 (14:40)	5.5 (06:40)	8,6							
Fisterra	A Coruña	11.1 (14:40)	9.5 (20:10)	10,3	54 (09:50)	33 (01:40)	0	0	0	0	0
Mazaricos	A Coruña	10.9 (14:20)	6.2 (05:30)	8,5							
Sobrado	A Coruña	12.5 (15:10)	-1.2 (09:20)	5,6			0	0	0	0	0
Santiago de Compostela Aeropuerto	A Coruña	13.6 (16:10)	4.5 (09:20)	9,1	21 (15:00)	13 (14:40)	0	0	0	0	0
Noia	A Coruña	13.5 (14:10)	7.0 (23:50)	10,3	23 (12:10)	10 (12:00)	0	0	0	0	0
Monte Iroite	A Coruña	10.1 (16:20)	5.2 (04:10)	7,7	31 (11:10)	23 (09:00)	0	0	0	0	0
Boiro	A Coruña	14.2 (16:40)	5.4 (07:00)	9,8			0	0	0	0	0
Padrón	A Coruña	15.0 (15:40)	4.3 (08:20)	9,7	21 (11:20)	15 (11:20)	0	0	0	0	0
Santiago de Compostela	A Coruña										
Rois, Casas do Porto	A Coruña	13.0 (14:20)	6.9 (23:30)	10			0	0	0	0	0
Ossa de Montiel	Albacete	13.9 (14:20)	-3.6 (08:40)	5,1	14 (14:40)	6 (16:30)	0	0	0	0	0
Villarrobledo	Albacete				17 (15:30)	8 (15:40)	0	0	0	0	0
Munera	Albacete	10.7 (14:40)	-3.8 (23:50)	3,4	18 (16:00)	9 (02:00)	0	0	0	0	0
Yeste, Embalse Fuensanta	Albacete	17.4 (16:00)	-1.4 (08:30)	8			0	0	0	0	0
Yeste	Albacete	15.6 (15:20)	2.6 (05:30)	9,1			0	0	0	0	0
Hellín	Albacete	14.7 (15:30)	4.0 (01:40)	9,3	26 (12:00)	14 (16:20)	0	0	0	0	0
Tobarra	Albacete	15.2 (16:20)	1.7 (03:00)	8,4			0	0	0	0	0
Chinchilla	Albacete	9.3 (16:10)	0.7 (08:20)	5		19 (14:50)	0	0	0	0	0
Albacete	Albacete	14.4 (15:30)	-0.7 (06:50)	6,8	19 (14:00)	8 (15:50)	0	0	0	0	0
Alcalá del Júcar	Albacete	13.6 (15:50)	0.6 (08:30)	7,1	23 (14:40)	13 (14:40)	0	0	0	0	0
Almansa	Albacete	14.6 (15:30)	-1.8 (23:59)	6,4	18 (03:10)	7 (03:50)	0	0	0	0	0
