España											
Actualizado: miércoles, 11 enero 2017 a las 14:00 hora oficial											
Fecha: martes, 10 enero 2017											
											
Estación	Provincia	Temperatura máxima (ºC)	Temperatura mínima (ºC)	Temperatura media (ºC)	Racha (km/h)	Velocidad máxima (km/h)	Precipitación 00-24h (mm)	Precipitación 00-06h (mm)	Precipitación 06-12h (mm)	Precipitación 12-18h (mm)	Precipitación 18-24h (mm)
Estaca de Bares	A Coruña	12.1 (05:20)	10.6 (09:20)	11,4	59 (04:40)	39 (04:20)	1,2	0,8	0	0,2	0,2
As Pontes	A Coruña	9.6 (13:10)	6.8 (00:00)	8,2			4,6	0,8	0,6	2,2	1
A Coruña	A Coruña	12.3 (05:50)	10.7 (10:10)	11,5	41 (15:30)	27 (15:30)	2,8	1,4	0,4	0,8	0,2
A Coruña Aeropuerto	A Coruña	11.8 (05:40)	8.2 (02:10)	10	41 (16:10)	24 (16:10)	2,1	0,3	0	0,2	1,6
Carballo, Depuradora	A Coruña										
Cabo Vilan	A Coruña	12.2 (04:00)	10.4 (11:00)	11,3	46 (16:50)	34 (17:40)	1	0,1	0,3	0	0,6
Vimianzo	A Coruña							1	1,4		1,6
Fisterra	A Coruña	11.8 (04:20)	9.8 (12:20)	10,8	81 (15:00)	43 (15:00)	0,6	0,4	0	0	0,2
Mazaricos	A Coruña							0,2	0,2		0
Sobrado	A Coruña	8.7 (14:00)	4.4 (00:00)	6,5			3,8	1,4	0,6	1,4	0,4
Santiago de Compostela Aeropuerto	A Coruña	10.4 (13:20)	6.9 (05:40)	8,6	37 (17:30)	24 (17:30)	0,4	0,2	0	0	0,2
Noia	A Coruña	12.7 (13:40)	9.3 (02:50)	11	23 (14:10)	5 (13:10)	0,2	0,2	0	0	0
Boiro	A Coruña	14.2 (13:20)	4.7 (00:30)	9,4			0	0	0	0	0
Padrón	A Coruña	13.7 (13:00)	5.7 (02:50)	9,7	25 (16:00)	14 (01:00)	0,1	0,1	0	0	0
Santiago de Compostela	A Coruña	12.3 (13:50)	7.4 (00:10)	9,9	23 (14:30)	8 (13:30)	0,4	0,3	0	0	0,1
Rois, Casas do Porto	A Coruña							0			
Ossa de Montiel	Albacete	11.1 (14:50)	-3.7 (03:10)	3,7	33 (15:50)	15 (15:50)	0	0	0	0	0
Villarrobledo	Albacete	10.8 (15:10)	-0.9 (01:30)	5	41 (14:00)	26 (14:10)	0	0	0	0	0
Yeste, Embalse Fuensanta	Albacete	13.4 (15:30)	-1.3 (03:50)	6			0	0	0	0	0
Yeste	Albacete	10.0 (15:30)	1.9 (00:00)	5,9			0	0	0	0	0
Hellín	Albacete								0	0	0
Tobarra	Albacete	11.9 (15:20)	2.0 (00:40)	6,9			0,4	0	0,4	0	0
Chinchilla	Albacete	6.9 (15:10)	0.6 (09:20)	3,8	68 (22:30)	42 (23:30)	1,9	0	1,8	0,1	0
Albacete	Albacete	10.3 (15:40)	1.1 (01:10)	5,7	40 (15:50)	15 (15:50)	0	0	0	0	0
Almansa	Albacete	9.5 (15:20)	1.5 (01:10)	5,5	45 (14:20)	17 (15:00)	0	0	0	0	0
Orihuela	Alacant/Alicante	17.1 (16:50)	4.5 (04:30)	10,8	54 (11:20)	23 (14:00)	0	0	0	0	0
Pinoso	Alacant/Alicante	11.1 (14:00)	-1.2 (00:40)	5	46 (15:30)	22 (15:50)	0	0	0	0	0
Rojales	Alacant/Alicante	16.1 (17:40)	6.6 (01:10)	11,4	38 (13:10)	25 (13:10)	0	0	0	0	0
Villena	Alacant/Alicante	13.2 (13:20)	-1.9 (01:40)	5,6	48 (12:10)	31 (12:10)	0	0	0	0	0
Novelda	Alacant/Alicante	15.3 (13:50)	6.0 (02:20)	10,7			0	0	0	0	0
Elche/Elx	Alacant/Alicante	15.9 (14:30)	5.3 (00:20)	10,6			0	0	0	0	0
Alicante/Alacant Aeropuerto	Alacant/Alicante	16.6 (14:10)	5.3 (01:50)	11	52 (16:50)	38 (16:50)	0	0	0	0	0
Alicante/Alacant	Alacant/Alicante	16.0 (14:50)	5.3 (02:50)	10,7	42 (19:20)	19 (22:40)	0	0	0	0	0
Benidorm	Alacant/Alicante										
Jávea/ Xàbia	Alacant/Alicante	15.9 (13:40)	2.5 (05:10)	9,2	44 (23:50)	24 (16:30)	0	0	0	0	0
Pego	Alacant/Alicante	16.4 (13:30)	8.5 (06:20)	12,4	44 (14:20)	22 (14:10)	0	0	0	0	0
Alcoy/Alcoi	Alacant/Alicante	12.8 (13:20)	5.5 (04:40)	9,2	41 (21:10)	21 (03:10)	0	0	0	0	0
Vélez Blanco - Topares	Almería	9.8 (15:10)	-0.3 (04:30)	4,8			0	0	0	0	0
Adra	Almería	17.5 (22:20)	10.1 (03:50)	13,8	32 (21:50)	19 (21:50)					
El Ejido	Almería	15.9 (16:10)	9.4 (04:20)	12,6			0	0	0	0	0
Roquetas de Mar	Almería	15.6 (16:40)	5.1 (03:00)	10,4	26 (22:00)	17 (22:00)	0	0	0	0	0
Abla	Almería	13.4 (16:40)	4.7 (03:20)	9	37 (18:50)	18 (17:00)	0	0	0	0	0
Láujar de Andarax	Almería	10.0 (16:30)	1.0 (00:30)	5,5	91 (22:00)	63 (19:50)	0	0	0	0	0
Almería Aeropuerto	Almería	17.6 (23:10)	7.3 (04:10)	12,5	45 (23:40)	34 (23:50)	0	0	0	0	0
Cabo de Gata	Almería	17.7 (23:50)	11.4 (00:00)	14,6	55 (23:10)	31 (09:40)	0	0	0	0	0
Carboneras	Almería										
Garrucha, Puerto	Almería				44 (22:50)	26 (21:40)	0	0	0	0	0
Albox	Almería	15.4 (15:50)	3.5 (01:30)	9,4	68 (20:00)	47 (19:50)	0	0	0	0	0
Huercal Overa	Almería	15.9 (15:30)	2.0 (06:50)	8,9	36 (22:50)	22 (23:10)	0	0	0	0	0
Aramaio	Araba/Álava	7.3 (22:30)	4.2 (00:30)	5,8			77,8	2,6	18,6	18,8	37,8
Amurrio	Araba/Álava	9.4 (21:10)	3.2 (00:00)	6,3	37 (10:00)	18 (10:00)	36,6	3,2	7,6	6,6	19,2
Lalastra	Araba/Álava	5.9 (13:10)	2.6 (00:00)	4,3	41 (08:10)	22 (05:00)	17	1	3,4	0,6	12
Opakua	Araba/Álava	6.7 (23:10)	1.6 (00:00)	4,1	49 (13:30)	26 (13:30)	20,8	2	6	2	10,8
Vitoria Gasteiz Aeropuerto	Araba/Álava	8.1 (11:30)	0.4 (01:20)	4,3	50 (09:10)	31 (11:50)	24,9	2,2	5,9	2,2	14,6
Labastida	Araba/Álava	8.2 (13:50)	4.0 (01:00)	6,1	56 (12:00)	30 (12:00)	11,4	0,6	2,2	0,6	8
Leza	Araba/Álava	8.5 (12:40)	3.5 (00:50)	6			28,2	1,2	4,2	2,6	20,2
Campezo/Kanpezu	Araba/Álava	8.2 (12:50)	3.1 (00:10)	5,6			21	1,4	4,6	3,4	11,6
Cabrales	Asturias	9.6 (00:30)	7.3 (06:00)	8,5	55 (12:50)	40 (12:40)	0	0	0	0	0
Llanes	Asturias	13.1 (04:40)	10.3 (10:30)	11,7	56 (04:50)	28 (04:40)	15,8	0	8,4	4,8	2,6
Amieva, Panizales	Asturias	9.3 (05:50)	7.9 (02:10)	8,6	19 (09:20)	8 (06:10)	16,2	0	9,6	4	2,6
Piloña	Asturias	10.0 (04:40)	8.0 (00:10)	9	40 (04:40)	18 (04:50)	14,4	0	5,6	5,8	3
Colunga	Asturias	12.6 (04:20)	10.2 (07:10)	11,4	34 (07:40)	17 (05:00)	10,6	0	4,6	4,8	1,2
Gijón, Campus	Asturias	12.1 (03:10)	10.2 (07:10)	11,2	41 (08:50)	17 (08:50)	6,4	0	2	3,6	0,8
Cabo Peñas	Asturias	12.4 (01:40)	10.0 (08:50)	11,2	64 (06:40)	40 (05:50)	2	0	1,2	0,8	0
Asturias Aeropuerto	Asturias	11.9 (03:40)	10.0 (09:10)	10,9			3,1	0	0,7	2	0,4
Puerto de Pajares	Asturias	3.8 (00:10)	1.6 (14:00)	2,7	72 (13:20)	33 (12:50)	16,1	0	3,4	6,5	6,2
Pola de Lena	Asturias	9.1 (15:40)	5.3 (03:30)	7,2	16 (13:30)	7 (13:30)	3,4	0	1	1	1,4
