España											
Actualizado: lunes, 27 enero 2014 a las 09:00 hora oficial											
Fecha: domingo, 26 enero 2014											
											
Estación	Provincia	Temperatura máxima (ºC)	Temperatura mínima (ºC)	Temperatura media (ºC)	Racha (km/h)	Velocidad máxima (km/h)	Precipitación 00-24h (mm)	Precipitación 00-06h (mm)	Precipitación 06-12h (mm)	Precipitación 12-18h (mm)	Precipitación 18-24h (mm)
Estaca de Bares	A Coruña	13.1 (11:40)	10.0 (23:30)	11,6	99 (18:20)	81 (18:30)	1,8	0,2	0	1	0,6
As Pontes	A Coruña	11.5 (19:00)	7.5 (23:59)	9,5			13,2	0,2	0	7,8	5,2
A Coruña	A Coruña	14.8 (15:10)	10.7 (22:50)	12,8	58 (19:00)	35 (19:00)	2,8	0	0	2,6	0,2
A Coruña Aeropuerto	A Coruña	15.4 (14:50)	10.1 (23:00)	12,8	58 (19:10)	30 (19:10)	2,7	0	0	2,2	0,5
Carballo, Depuradora	A Coruña	14.1 (14:50)	9.3 (23:59)	11,7			0	0	0	0	0
Cabo Vilan	A Coruña	11.5 (00:00)	7.9 (21:10)	9,7	56 (17:10)	41 (16:50)	1,5	0,1	0,3	0,9	0,2
Vimianzo	A Coruña	11.6 (18:30)	7.4 (23:59)	9,5			0	0	0	0	0
Fisterra	A Coruña	12.0 (14:20)	7.8 (23:00)	9,9	73 (19:10)	54 (16:50)	2,6	0,6	0,8	0,8	0,4
Mazaricos	A Coruña	11.5 (16:20)	7.6 (23:50)	9,5							
Sobrado	A Coruña	10.3 (20:10)	6.7 (23:59)	8,5			7,4	0,2	0	1,8	5,4
Santiago de Compostela Aeropuerto	A Coruña	11.5 (15:50)	7.9 (23:59)	9,7	52 (12:20)	30 (20:30)	5,6	0	0	2,8	2,8
Noia	A Coruña	12.4 (15:20)	8.9 (23:59)	10,6	41 (16:50)	12 (13:30)	17,6	1,4	3	9,8	3,4
Boiro	A Coruña	13.4 (19:50)	10.7 (23:59)	12			12	0	0,4	6,2	5,4
Padrón	A Coruña	13.0 (20:40)	10.0 (23:59)	11,5	40 (14:40)	18 (12:20)	6	0,3	0,5	2,7	2,5
Santiago de Compostela	A Coruña	12.2 (20:00)	9.6 (23:50)	10,9	30 (14:40)	9 (14:30)	3,1	0,3	0	1,1	1,7
Rois, Casas do Porto	A Coruña	12.6 (20:00)	9.2 (23:59)	10,9			0	0	0	0	0
Ossa de Montiel	Albacete										
Villarrobledo	Albacete				41 (15:30)	22 (16:10)	0	0	0	0	0
