España											
Actualizado: viernes, 29 enero 2016 a las 10:00 hora oficial											
Fecha: jueves, 28 enero 2016											
											
Estación	Provincia	Temperatura máxima (ºC)	Temperatura mínima (ºC)	Temperatura media (ºC)	Racha (km/h)	Velocidad máxima (km/h)	Precipitación 00-24h (mm)	Precipitación 00-06h (mm)	Precipitación 06-12h (mm)	Precipitación 12-18h (mm)	Precipitación 18-24h (mm)
Estaca de Bares	A Coruña	12.0 (00:00)	9.7 (23:50)	10,8	62 (11:10)	46 (03:30)	18	10,4	7,2	0,4	0
As Pontes	A Coruña	11.3 (00:00)	3.6 (23:59)	7,5							
A Coruña	A Coruña	11.5 (01:20)	10.0 (08:10)	10,8	64 (11:10)	45 (09:30)	21,4	11,4	9,8	0,2	0
A Coruña Aeropuerto	A Coruña	11.7 (16:50)	8.4 (23:59)	10	59 (11:20)	30 (09:10)					
Carballo, Depuradora	A Coruña	11.1 (00:00)	5.6 (23:59)	8,4			26	9,6	14,2	2,2	0
Cabo Vilan	A Coruña	10.9 (00:20)	8.8 (20:50)	9,8	62 (08:30)	52 (07:50)	12,5	9,7	2,8	0	0
Vimianzo	A Coruña	9.9 (00:00)	3.3 (23:59)	6,6			20,4	10,4	7,6	2,4	0
Fisterra	A Coruña	10.8 (00:10)	7.8 (23:40)	9,3	93 (08:40)	54 (06:50)	7,2	6,8	0,4	0	0
Mazaricos	A Coruña	9.7 (00:00)	5.4 (23:59)	7,5			16	11,4	3,8	0,8	0
Sobrado	A Coruña	9.9 (00:00)	0.8 (23:59)	5,3			20	14,8	3,4	1,8	0
Santiago de Compostela Aeropuerto	A Coruña	10.3 (00:40)	3.6 (22:40)	7	46 (12:50)	28 (14:00)	21,4	17,1	3,8	0,5	0
Noia	A Coruña	12.5 (00:00)	4.7 (23:59)	8,6	25 (14:20)	9 (05:10)	16,4	14	2,4	0	0
Monte Iroite	A Coruña	8.0 (00:00)	4.0 (22:40)	6			26,5	25,3	1,2	0	0
Boiro	A Coruña	13.6 (00:00)	6.4 (23:59)	10			14,4	13,4	1	0	0
Padrón	A Coruña	13.2 (14:40)	5.9 (23:59)	9,5	32 (14:10)	19 (14:50)	32,2	27,2	4,8	0,2	0
Santiago de Compostela	A Coruña	11.7 (00:40)	5.6 (23:40)	8,6	32 (13:00)	9 (14:00)	1,2	0,3	0,4	0,3	0,2
Rois, Casas do Porto	A Coruña	12.0 (00:10)	6.1 (23:10)	9			27,6	23	4,6	0	0
Ossa de Montiel	Albacete	13.7 (13:20)	0.0 (05:30)	6,8	19 (15:00)	10 (14:20)	0	0	0	0	0
Villarrobledo	Albacete	13.8 (13:20)	-0.1 (04:40)	6,9	25 (16:00)	15 (16:00)	0	0	0	0	0
Munera	Albacete	12.1 (14:10)	-0.8 (04:20)	5,7	20 (15:50)	10 (16:00)	0	0	0	0	0
Yeste, Embalse Fuensanta	Albacete									0	0
Yeste	Albacete	14.5 (15:20)	2.7 (06:30)	8,6			0,2	0	0	0	0,2
Hellín	Albacete	15.6 (15:00)	3.1 (07:10)	9,4	23 (20:40)	15 (20:40)	0	0	0	0	0
Tobarra	Albacete	15.5 (14:00)	1.9 (08:40)	8,7			0	0	0	0	0
Chinchilla	Albacete	11.5 (15:20)	1.8 (04:50)	6,6	33 (12:30)	15 (12:40)	0,2	0,1	0,1	0	0
Albacete	Albacete	15.2 (14:50)	0.6 (09:00)	7,9	17 (17:30)	7 (15:20)	0	0	0	0	0
Alcalá del Júcar	Albacete	14.3 (16:00)	2.4 (08:20)	8,4	22 (16:00)	11 (16:00)	0	0	0	0	0
Almansa	Albacete	15.3 (14:20)	0.2 (06:50)	7,8	19 (15:10)	9 (13:20)	0	0	0	0	0
Orihuela	Alacant/Alicante	18.2 (16:10)	6.7 (06:30)	12,5	19 (11:40)	11 (11:40)	0	0	0	0	0
