España											
Actualizado: miércoles, 06 enero 2016 a las 09:00 hora oficial											
Fecha: martes, 05 enero 2016											
											
Estación	Provincia	Temperatura máxima (ºC)	Temperatura mínima (ºC)	Temperatura media (ºC)	Racha (km/h)	Velocidad máxima (km/h)	Precipitación 00-24h (mm)	Precipitación 00-06h (mm)	Precipitación 06-12h (mm)	Precipitación 12-18h (mm)	Precipitación 18-24h (mm)
Estaca de Bares	A Coruña	10.8 (21:50)	6.9 (07:40)	8,9	121 (09:10)	91 (09:00)	8	1,6	1,2	3,8	1,4
As Pontes	A Coruña	7.1 (15:20)	3.9 (07:00)	5,5					12,4	4,2	5,6
A Coruña	A Coruña	11.2 (14:50)	7.8 (12:00)	9,5	77 (09:00)	43 (07:00)	9	2,4	3,4	0,8	2,4
A Coruña Aeropuerto	A Coruña	10.7 (14:50)	6.6 (12:10)	8,6	71 (08:20)	35 (08:20)	10,7	5,3	1,8	0,8	2,8
Carballo, Depuradora	A Coruña	9.5 (14:50)	4.8 (08:10)	7,2			18	4,2	6	2,4	5,4
Cabo Vilan	A Coruña	10.7 (16:00)	6.7 (11:50)	8,7	74 (03:40)	53 (03:40)	5,9	1	2,1	2,2	0,6
Vimianzo	A Coruña							6,2		2,2	2,8
Fisterra	A Coruña	9.5 (17:10)	6.6 (12:10)	8	114 (03:10)	42 (18:20)	0,8	0	0,4	0,2	0,2
Mazaricos	A Coruña	8.1 (15:00)	4.7 (02:50)	6,4			16,4	7,8	2	3	3,6
Sobrado	A Coruña									3,4	3,2
Santiago de Compostela Aeropuerto	A Coruña	8.7 (13:20)	3.4 (21:50)	6	52 (16:50)	31 (06:10)		3,3		2,4	1,8
Noia	A Coruña	8.8 (14:50)	5.5 (09:00)	7,2	32 (07:30)	7 (15:30)			1,6	0,2	3,2
Monte Iroite	A Coruña	5.7 (15:40)	1.7 (06:20)	3,7			11,3	2,8	4	1,3	3,2
Boiro	A Coruña	10.5 (15:40)	6.2 (23:50)	8,3					1,8	1,6	3,2
Padrón	A Coruña	11.4 (15:40)	5.6 (21:10)	8,5	47 (03:20)	14 (03:20)	8,6	2,8	2	2,5	1,3
Santiago de Compostela	A Coruña	9.7 (14:50)	4.6 (23:10)	7,1	26 (16:50)	6 (14:40)	8,2	3,3	2,1	2,4	0,4
Rois, Casas do Porto	A Coruña	9.9 (15:30)	5.4 (23:20)	7,6			0	0	0	0	0
Ossa de Montiel	Albacete									0	0
Villarrobledo	Albacete	8.9 (13:50)	3.2 (22:00)	6	58 (15:40)	38 (16:20)	7,8	3,4	0,2	4,2	0
Munera	Albacete								0,2	0	
Yeste, Embalse Fuensanta	Albacete	14.0 (00:00)	4.8 (21:20)	9,4					0	0,4	1,2
Yeste	Albacete							4,2		1,4	2,4
