España											
Actualizado: miércoles, 14 enero 2015 a las 09:00 hora oficial											
Fecha: martes, 13 enero 2015											
											
Estación	Provincia	Temperatura máxima (ºC)	Temperatura mínima (ºC)	Temperatura media (ºC)	Racha (km/h)	Velocidad máxima (km/h)	Precipitación 00-24h (mm)	Precipitación 00-06h (mm)	Precipitación 06-12h (mm)	Precipitación 12-18h (mm)	Precipitación 18-24h (mm)
Estaca de Bares	A Coruña	12.8 (04:40)	9.5 (23:10)	11,2	98 (05:20)	76 (05:20)	5,4	0	4	0,6	0,8
As Pontes	A Coruña	10.2 (04:20)	7.5 (22:10)	8,8							
A Coruña	A Coruña	13.3 (14:40)	10.1 (11:50)	11,7	57 (07:10)	27 (10:10)	14,6	0,2	14	0	0,4
A Coruña Aeropuerto	A Coruña	13.6 (16:30)	8.8 (22:00)	11,2	61 (07:30)	37 (07:10)	13,9	0,1	13,2	0,1	0,5
Carballo, Depuradora	A Coruña	14.0 (16:40)	8.1 (22:00)	11,1			15	0,2	14	0	0,8
Cabo Vilan	A Coruña	12.8 (15:30)	10.0 (10:50)	11,4	76 (02:40)	57 (02:10)	17,9	5,4	12,4	0	0,1
Vimianzo	A Coruña	11.7 (15:50)	7.9 (19:20)	9,8							
Fisterra	A Coruña	11.6 (15:00)	9.3 (21:10)	10,5	97 (08:40)	74 (09:00)	15	2,6	12,2	0,2	0
Mazaricos	A Coruña	10.5 (15:30)	7.4 (20:00)	9							
Sobrado	A Coruña	8.8 (04:20)	5.0 (21:20)	6,9			16,4	0	5,2	11	0,2
Santiago de Compostela Aeropuerto	A Coruña	11.7 (16:40)	6.3 (20:40)	9	52 (04:20)	31 (09:40)	23,1	0,1	11,7	10,4	0,9
Noia	A Coruña	12.2 (16:00)	8.6 (22:20)	10,4	41 (08:30)	18 (08:50)	30	0,8	21,2	7,2	0,8
Monte Iroite	A Coruña	8.8 (11:10)	5.5 (23:59)	7,2	99 (08:40)	65 (09:00)	32,4	1,2	18,1	12,5	0,6
Boiro	A Coruña	13.9 (17:10)	7.3 (22:40)	10,6			39,2	0,6	24,4	14,2	0
Padrón	A Coruña	13.4 (15:50)	8.0 (21:50)	10,7	49 (04:30)	21 (05:20)	22,5	0,1	10,9	10,5	1
Santiago de Compostela	A Coruña										
Rois, Casas do Porto	A Coruña	12.2 (16:40)	8.0 (21:30)	10,1			55,8	1,2	32	22,4	0,2
Ossa de Montiel	Albacete	16.6 (15:40)	-0.2 (08:20)	8,2	18 (16:00)	9 (15:50)	0	0	0	0	0
Villarrobledo	Albacete				19 (15:40)	9 (16:10)	0	0	0	0	0
Munera	Albacete	15.7 (15:10)	-0.6 (09:00)	7,5	19 (11:50)	11 (13:30)	0	0	0	0	0
Yeste, Embalse Fuensanta	Albacete							0	0	0	
Yeste	Albacete	18.3 (15:00)	3.6 (07:30)	10,9			0	0	0	0	0
Hellín	Albacete	18.8 (16:20)	5.0 (09:20)	11,9	22 (21:40)	15 (21:40)	0	0	0	0	0
Tobarra	Albacete	19.1 (16:10)	3.5 (09:10)	11,3			0	0	0	0	0
Chinchilla	Albacete	12.5 (16:30)	3.3 (08:20)	7,9		18 (13:40)	0	0	0	0	0
Albacete	Albacete	17.6 (15:40)	2.6 (09:00)	10,1	17 (01:40)	6 (13:00)	0	0	0	0	0
Alcalá del Júcar	Albacete	15.8 (16:00)	1.5 (08:20)	8,7	21 (15:10)	12 (15:20)	0	0	0	0	0
Almansa	Albacete	17.2 (15:10)	0.5 (08:00)	8,9	26 (14:50)	10 (11:20)	0	0	0	0	0
Orihuela	Alacant/Alicante	17.6 (16:20)	7.2 (04:00)	12,4	17 (12:00)	9 (15:40)	0	0	0	0	0
Pinoso	Alacant/Alicante	18.7 (16:20)	0.7 (09:10)	9,7	14 (15:20)	8 (21:30)	0	0	0	0	0
Rojales	Alacant/Alicante	18.4 (15:20)	8.4 (08:00)	13,4	17 (12:50)	12 (16:00)	0	0	0	0	0
Villena	Alacant/Alicante	18.9 (16:00)	-1.5 (08:30)	8,7	21 (15:50)	13 (16:20)	0	0	0	0	0
Novelda	Alacant/Alicante	20.6 (15:40)	5.9 (03:50)	13,3			0	0	0	0	0
Elche/Elx	Alacant/Alicante	19.6 (15:30)	6.5 (03:10)	13,1			0	0	0	0	0
Alicante/Alacant Aeropuerto	Alacant/Alicante	19.0 (14:50)	7.1 (03:40)	13	26 (14:30)	17 (15:50)	0	0	0	0	0
Alicante/Alacant	Alacant/Alicante	20.1 (15:30)	7.0 (04:20)	13,6	18 (12:20)	10 (13:20)	0	0	0	0	0
Benidorm	Alacant/Alicante	16.9 (14:10)	9.3 (05:20)	13,1			0	0	0	0	0
Jávea/ Xàbia	Alacant/Alicante	20.6 (15:20)	7.9 (01:50)	14,3	21 (17:50)	13 (18:40)	0	0	0	0	0
Pego	Alacant/Alicante	20.0 (14:20)	7.8 (01:40)	13,9	23 (20:00)	14 (20:00)	0	0	0	0	0
Alcoy/Alcoi	Alacant/Alicante	20.4 (14:30)	5.4 (09:00)	12,9	25 (23:30)	18 (23:30)	0	0	0	0	0
Vélez Blanco	Almería	15.3 (15:40)	3.4 (08:40)	9,4			0	0	0	0	0
