España											
Actualizado: jueves, 14 enero 2016 a las 09:00 hora oficial											
Fecha: miércoles, 13 enero 2016											
											
Estación	Provincia	Temperatura máxima (ºC)	Temperatura mínima (ºC)	Temperatura media (ºC)	Racha (km/h)	Velocidad máxima (km/h)	Precipitación 00-24h (mm)	Precipitación 00-06h (mm)	Precipitación 06-12h (mm)	Precipitación 12-18h (mm)	Precipitación 18-24h (mm)
Estaca de Bares	A Coruña										
As Pontes	A Coruña	12.0 (23:40)	1.5 (02:20)	6,8			16,8	0	0,8	3	13
A Coruña	A Coruña	14.8 (23:00)	6.7 (03:00)	10,8	60 (13:50)	31 (23:00)	18,4	0	0	1,6	16,8
A Coruña Aeropuerto	A Coruña	14.5 (23:20)	3.4 (02:50)	9	59 (12:40)	37 (12:40)					
Carballo, Depuradora	A Coruña	14.1 (22:50)	2.0 (00:20)	8,1			25,2	0	0,4	4,4	20,4
Cabo Vilan	A Coruña	13.5 (23:40)	6.9 (06:00)	10,2	92 (20:20)	67 (20:20)	43	0,4	3,2	8,2	31,2
Vimianzo	A Coruña	13.0 (23:59)	3.9 (00:00)	8,5			61,2	0,2	4,4	24,4	32,2
Fisterra	A Coruña	13.4 (23:40)	7.8 (02:00)	10,6	112 (19:50)	85 (20:10)	28	0,2	9	6,2	12,6
Mazaricos	A Coruña	12.8 (23:40)	3.8 (00:00)	8,3				0,2		25,2	27,8
Sobrado	A Coruña	10.8 (23:59)	-0.9 (00:20)	5			14	0	0,2	4,8	9
Santiago de Compostela Aeropuerto	A Coruña	12.0 (23:59)	3.2 (01:00)	7,6	65 (23:30)	33 (21:40)	21,1	0	0,9	6,8	13,4
Noia	A Coruña	14.1 (23:00)	5.3 (00:10)	9,7	61 (21:40)	26 (22:30)	19,4	0	5,2	4,8	9,4
Monte Iroite	A Coruña	11.1 (23:59)	4.1 (06:20)	7,6			43,5	0	5,2	20,6	17,7
Boiro	A Coruña	13.8 (22:40)	6.5 (00:10)	10,2			17,4	0	2,2	7,8	7,4
Padrón	A Coruña	14.1 (23:40)	4.6 (02:50)	9,4	77 (22:50)	35 (23:10)	17,4	0	2,1	10,6	4,7
Santiago de Compostela	A Coruña	13.1 (23:30)	4.1 (01:00)	8,6	55 (23:20)	14 (23:00)	29,1	0	2	8,9	18,2
Rois, Casas do Porto	A Coruña	12.7 (23:59)	4.9 (01:10)	8,8							
Ossa de Montiel	Albacete	13.9 (14:50)	-1.2 (07:40)	6,3	12 (12:50)	6 (12:40)	0	0	0	0	0
Villarrobledo	Albacete	11.5 (15:10)	-0.7 (07:40)	5,4	17 (14:10)	11 (14:00)	0	0	0	0	0
Munera	Albacete										
Yeste, Embalse Fuensanta	Albacete	15.1 (15:30)	0.0 (08:50)	7,6			0	0	0	0	0
Yeste	Albacete	12.8 (15:30)	0.5 (08:10)	6,7			0	0	0	0	0
Hellín	Albacete	13.6 (16:30)	2.2 (07:40)	7,9	17 (03:20)	12 (03:20)	0	0	0	0	0
Tobarra	Albacete	13.0 (15:40)	1.0 (08:40)	7			0	0	0	0	0
Chinchilla	Albacete	12.3 (15:10)	-0.2 (08:00)	6,1	16 (14:30)	9 (05:30)	0	0	0	0	0
Albacete	Albacete	12.6 (15:50)	0.0 (08:00)	6,3	13 (20:30)	4 (15:00)	0	0	0	0	0
Alcalá del Júcar	Albacete	11.9 (15:50)	-1.0 (08:20)	5,4	14 (15:50)	7 (00:30)	0	0	0	0	0
Almansa	Albacete							0		0	0
