España											
Actualizado: domingo, 01 febrero 2015 a las 09:00 hora oficial											
Fecha: sábado, 31 enero 2015											
											
Estación	Provincia	Temperatura máxima (ºC)	Temperatura mínima (ºC)	Temperatura media (ºC)	Racha (km/h)	Velocidad máxima (km/h)	Precipitación 00-24h (mm)	Precipitación 00-06h (mm)	Precipitación 06-12h (mm)	Precipitación 12-18h (mm)	Precipitación 18-24h (mm)
Albox	Almería	16.8 (10:50)	6.8 (22:30)	11,8	131 (05:40)	90 (05:20)	1	0,4	0,6	0	0
Huercal Overa	Almería	21.6 (05:00)	7.8 (23:40)	14,7	97 (04:20)	60 (04:20)	6,3	6,3	0	0	0
Aramaio	Araba/Álava	5.4 (00:00)	0.3 (20:10)	2,9			47,4	20,4	9,8	7,8	9,4
Amurrio	Araba/Álava							16,4	11,4	6,2	
Lalastra	Araba/Álava				67 (01:00)	35 (01:20)	36	11,8	10,4	9,6	4,2
Opakua	Araba/Álava	5.2 (00:40)	0.0 (23:30)	2,6	53 (00:30)	27 (02:10)	30,6	12	10,2	5	3,4
Vitoria Gasteiz Aeropuerto	Araba/Álava	6.8 (00:00)	0.4 (23:10)	3,6	59 (01:40)	37 (01:40)	35	13	11,8	5,1	5,1
Labastida	Araba/Álava	7.7 (00:00)	0.2 (19:20)	3,9	71 (01:40)	34 (01:40)	18	3,2	7,4	7	0,4
Leza	Araba/Álava	7.5 (00:30)	0.2 (19:50)	3,9			15,8	2,8	7	5,6	0,4
Campezo/Kanpezu	Araba/Álava	6.8 (00:10)	0.0 (23:30)	3,4			31,4	7,8	10,4	10,4	2,8
Cabrales	Asturias										
Llanes	Asturias	11.2 (00:20)	5.8 (14:10)	8,5	86 (23:20)	50 (23:20)	21,8	8,2	4	7,2	2,4
Amieva, Panizales	Asturias	8.4 (00:00)	2.4 (21:40)	5,4	39 (03:20)	13 (13:10)	38,6	16,6	11,6	3	7,4
Piloña	Asturias	8.4 (00:00)	2.8 (19:10)	5,6	49 (00:20)	21 (00:40)	35,2	15,4	8,6	1,8	9,4
Colunga	Asturias	11.0 (00:10)	4.9 (18:50)	8	51 (04:40)	23 (04:40)	33,4	7,8	5,8	6,6	13,2
Gijón, Campus	Asturias	11.5 (00:30)	5.3 (19:10)	8,4	64 (20:50)	37 (19:00)	11,2	4	2,8	0,4	4
Cabo Peñas	Asturias										
Asturias Aeropuerto	Asturias	10.8 (00:00)	5.6 (16:50)	8,2	78 (18:20)	50 (13:30)	22	11,6	1,8	3,3	5,3
Puerto de Pajares	Asturias	1.9 (00:10)	-5.1 (23:10)	-1,6	62 (00:10)	23 (05:30)	4,4	3	0,6	0,4	0,4
Pola de Lena	Asturias	11.3 (00:30)	2.8 (19:20)	7,1	50 (01:10)	19 (01:10)	20,6	10,2	2,4	4,6	3,4
Aller	Asturias	6.1 (00:00)	0.2 (20:30)	3,1	43 (01:20)	21 (14:50)	36,2	15,2	10	4,6	6,4
Mieres	Asturias	10.9 (00:00)	3.2 (23:59)	7	41 (14:10)	17 (14:10)	38,6	17,6	6,6	6,4	8
Oviedo	Asturias	8.3 (00:00)	2.7 (21:50)	5,5	61 (19:30)	34 (03:30)	32,8	11,2	8	6,4	7,2
Tineo, Soto de la Barca	Asturias	10.8 (00:10)	3.4 (07:40)	7,1	48 (12:10)	19 (03:20)					
