España											
Actualizado: jueves, 05 enero 2017 a las 14:00 hora oficial											
Fecha: miércoles, 04 enero 2017											
											
Estación	Provincia	Temperatura máxima (ºC)	Temperatura mínima (ºC)	Temperatura media (ºC)	Racha (km/h)	Velocidad máxima (km/h)	Precipitación 00-24h (mm)	Precipitación 00-06h (mm)	Precipitación 06-12h (mm)	Precipitación 12-18h (mm)	Precipitación 18-24h (mm)
Estaca de Bares	A Coruña	14.5 (11:50)	11.3 (02:40)	12,9	28 (08:00)	24 (19:30)	0	0	0	0	0
As Pontes	A Coruña	14.0 (15:20)	8.8 (23:59)	11,4			0	0	0	0	0
A Coruña	A Coruña	17.6 (13:10)	12.3 (04:50)	15	18 (08:30)	11 (08:30)	0,4	0,2	0,2	0	0
A Coruña Aeropuerto	A Coruña	16.5 (15:10)	11.1 (04:10)	13,8	26 (06:50)	10 (09:10)	0,3	0,2	0,1	0	0
Carballo, Depuradora	A Coruña										
Cabo Vilan	A Coruña	15.5 (14:10)	12.6 (00:40)	14,1	33 (14:50)	24 (14:50)	0	0	0	0	0
Vimianzo	A Coruña	15.2 (14:40)	10.6 (09:00)	12,9			0,4	0,2	0,2	0	0
Fisterra	A Coruña	13.6 (12:00)	12.6 (02:40)	13,1	47 (14:00)	29 (00:30)	0,6	0,6	0	0	0
Mazaricos	A Coruña	13.8 (14:00)	11.3 (01:30)	12,6			1,6	1,4	0	0,2	0
Sobrado	A Coruña	15.7 (15:10)	8.8 (05:00)	12,3			0,8	0	0,6	0,2	0
Santiago de Compostela Aeropuerto	A Coruña	15.2 (14:40)	9.9 (02:20)	12,5	26 (13:50)	12 (16:00)	0	0	0	0	0
Noia	A Coruña	14.8 (14:10)	11.9 (02:00)	13,3	16 (14:30)	8 (14:30)					
Boiro	A Coruña	15.0 (16:20)	12.4 (00:00)	13,7			1,4	0,6	0	0,8	0
Padrón	A Coruña	16.5 (14:10)	10.5 (08:30)	13,5	21 (07:50)	15 (07:50)	1	0,7	0,3	0	0
Santiago de Compostela	A Coruña	16.1 (14:10)	10.7 (02:10)	13,4	10 (12:40)	5 (15:00)	0,8	0,3	0,5	0	0
Rois, Casas do Porto	A Coruña	14.4 (16:20)	10.5 (04:10)	12,4			3,8	2,6	1,2	0	0
Ossa de Montiel	Albacete	12.3 (13:30)	6.2 (00:30)	9,3	23 (12:50)	11 (14:50)	0	0	0	0	0
Villarrobledo	Albacete	11.4 (15:40)	2.4 (06:10)	6,9	30 (14:30)	21 (14:10)	0	0	0	0	0
Yeste, Embalse Fuensanta	Albacete	15.2 (15:20)	7.2 (23:30)	11,2			0	0	0	0	0
Yeste	Albacete	13.3 (14:10)	8.6 (07:30)	11			0	0	0	0	0
Hellín	Albacete	15.1 (15:50)	7.4 (04:10)	11,3	39 (15:20)	22 (15:40)	0	0	0	0	0
Tobarra	Albacete	15.8 (15:30)	6.4 (03:40)	11,1			0	0	0	0	0
Chinchilla	Albacete	9.8 (16:40)	3.0 (08:30)	6,4	46 (09:40)	30 (09:40)	0	0	0	0	0
Albacete	Albacete	12.6 (15:40)	2.8 (08:50)	7,7	33 (15:20)	15 (16:00)	0	0	0	0	0
Almansa	Albacete	12.5 (14:30)	4.7 (02:00)	8,6	33 (13:40)	16 (11:10)	0	0	0	0	0
Orihuela	Alacant/Alicante	19.6 (15:50)	8.1 (01:20)	13,9	40 (14:10)	21 (20:00)	0	0	0	0	0
Pinoso	Alacant/Alicante	15.7 (15:50)	6.2 (03:50)	10,9	34 (05:00)	17 (05:00)	0	0	0	0	0
Rojales	Alacant/Alicante	19.3 (15:20)	9.5 (08:40)	14,4	35 (15:10)	24 (15:10)	0	0	0	0	0
Villena	Alacant/Alicante	14.4 (16:00)	5.0 (23:00)	9,7	42 (10:50)	27 (15:10)	0	0	0	0	0
Novelda	Alacant/Alicante	17.8 (14:20)	11.4 (05:00)	14,6			0	0	0	0	0
Elche/Elx	Alacant/Alicante	20.0 (15:00)	12.3 (07:00)	16,2			0	0	0	0	0
Alicante/Alacant Aeropuerto	Alacant/Alicante	19.5 (15:20)	13.3 (07:10)	16,4	58 (04:30)	40 (03:20)	0	0	0	0	0
Alicante/Alacant	Alacant/Alicante	20.3 (14:20)	9.6 (05:10)	14,9	28 (10:40)	14 (12:10)	0	0	0	0	0
Benidorm	Alacant/Alicante										
Jávea/ Xàbia	Alacant/Alicante	20.6 (13:40)	6.3 (23:40)	13,5	21 (14:00)	12 (02:30)	0	0	0	0	0
Pego	Alacant/Alicante	20.1 (15:30)	12.6 (08:50)	16,4	39 (03:30)	23 (03:30)	0	0	0	0	0
Alcoy/Alcoi	Alacant/Alicante	16.6 (15:10)	9.0 (05:00)	12,8	30 (22:00)	16 (13:00)	0	0	0	0	0
Vélez Blanco - Topares	Almería	10.9 (15:10)	3.3 (00:40)	7,1			0	0	0	0	0
Adra	Almería	19.9 (13:00)	11.9 (08:10)	15,9	16 (16:20)	9 (16:20)					
El Ejido	Almería	23.3 (14:10)	9.4 (07:40)	16,3			0	0	0	0	0
Roquetas de Mar	Almería	18.4 (15:50)	7.5 (07:20)	12,9	20 (17:20)	14 (17:30)	0	0	0	0	0
Abla	Almería	16.4 (15:20)	7.9 (05:40)	12,1	26 (20:50)	12 (16:10)	0	0	0	0	0
Láujar de Andarax	Almería	13.9 (14:10)	6.2 (04:20)	10	58 (20:30)	36 (20:30)	0	0	0	0	0
Almería Aeropuerto	Almería	18.9 (15:00)	9.1 (06:00)	14	21 (05:30)	15 (04:40)	0	0	0	0	0
Cabo de Gata	Almería	19.1 (13:40)	13.3 (07:30)	16,2	39 (23:50)	17 (23:40)	0	0	0	0	0
Carboneras	Almería	18.5 (16:20)	11.2 (06:00)	14,8	57 (14:20)	18 (20:50)	0	0	0	0	0
Garrucha, Puerto	Almería				32 (15:40)	28 (15:30)	0	0	0	0	0
Albox	Almería	19.0 (15:10)	10.5 (02:40)	14,8	48 (12:50)	36 (14:20)	0	0	0	0	0
Huercal Overa	Almería	19.8 (14:40)	6.4 (07:20)	13,1	37 (17:30)	23 (16:00)	0	0	0	0	0
