España											
Actualizado: martes, 06 enero 2015 a las 09:30 hora oficial											
Fecha: lunes, 05 enero 2015											
											
Estación	Provincia	Temperatura máxima (ºC)	Temperatura mínima (ºC)	Temperatura media (ºC)	Racha (km/h)	Velocidad máxima (km/h)	Precipitación 00-24h (mm)	Precipitación 00-06h (mm)	Precipitación 06-12h (mm)	Precipitación 12-18h (mm)	Precipitación 18-24h (mm)
Lalastra	Araba/Álava	12.7 (14:10)	-3.3 (07:30)	4,7	20 (14:30)	11 (13:00)	0	0	0	0	0
Opakua	Araba/Álava	11.0 (16:10)	-0.2 (23:59)	5,4	14 (04:40)	12 (04:40)	0	0	0	0	0
Vitoria Gasteiz Aeropuerto	Araba/Álava	8.3 (14:50)	-0.7 (02:30)	3,8	32 (15:30)	24 (15:40)	0	0	0	0	0
Labastida	Araba/Álava	4.2 (16:40)	-0.1 (08:40)	2	10 (11:50)	5 (11:50)	0	0	0	0	0
Leza	Araba/Álava	4.3 (14:30)	-0.6 (08:40)	1,9			0,2	0	0	0	0,2
Campezo/Kanpezu	Araba/Álava	10.0 (16:40)	-1.7 (23:59)	4,1			0	0	0	0	0
Cabrales	Asturias	16.2 (15:10)	5.4 (05:50)	10,8	42 (08:50)	19 (18:00)	0	0	0	0	0
Llanes	Asturias	12.5 (14:00)	6.6 (06:30)	9,5	20 (20:20)	13 (15:30)	0	0	0	0	0
Amieva, Panizales	Asturias	15.6 (15:10)	3.0 (07:50)	9,3	8 (14:10)	4 (14:50)	0	0	0	0	0
Piloña	Asturias	16.4 (15:20)	4.7 (23:40)	10,5	16 (16:20)	8 (17:40)	0	0	0	0	0
Colunga	Asturias	13.0 (16:50)	6.5 (08:50)	9,8	22 (00:50)	13 (00:40)	0	0	0	0	0
Gijón, Campus	Asturias	15.8 (14:50)	3.6 (07:20)	9,7	16 (17:00)	9 (16:10)	0	0	0	0	0
Cabo Peñas	Asturias				41 (23:20)	20 (00:10)					
Asturias Aeropuerto	Asturias	13.8 (13:30)	6.5 (08:40)	10,2	32 (16:40)	21 (16:40)	0	0	0	0	0
Puerto de Pajares	Asturias	11.6 (14:00)	0.8 (20:50)	6,2	34 (02:10)	25 (01:30)	0	0	0	0	0
Pola de Lena	Asturias	15.2 (15:30)	0.3 (07:20)	7,7	22 (16:20)	11 (16:20)	0	0	0	0	0
Aller	Asturias	12.1 (13:10)	1.9 (22:30)	7	15 (12:30)	10 (17:20)	0	0	0	0	0
Mieres	Asturias	15.9 (16:10)	2.7 (09:50)	9,3	14 (02:10)	8 (02:10)	0,2	0	0	0,2	0
Oviedo	Asturias	14.0 (16:10)	4.0 (09:40)	9	15 (17:00)	10 (10:40)	0	0	0	0	0
Tineo, Soto de la Barca	Asturias	12.0 (17:00)	1.1 (09:40)	6,6	18 (17:00)	11 (17:10)	0	0	0	0	0
Pola de Somiedo	Asturias	15.5 (14:40)	-0.6 (08:40)	7,4	13 (14:50)	6 (14:50)	0	0	0	0	0
Salas	Asturias	15.5 (16:30)	4.5 (10:00)	10	14 (17:00)	8 (17:10)	0	0	0	0	0
Cabo Busto	Asturias	13.6 (15:40)	5.6 (08:10)	9,6	32 (15:50)	20 (06:00)	0	0	0	0	0
Degaña	Asturias	13.6 (11:40)	-0.7 (23:59)	6,5	25 (04:20)	18 (04:10)	0	0	0	0	0
Ibias, San Antolin	Asturias	13.9 (15:40)	4.6 (20:10)	9,2	27 (19:00)	21 (19:10)	0	0	0	0	0
Villayón, Oneta	Asturias	12.3 (13:00)	5.9 (01:00)	9,1	16 (15:40)	13 (15:40)	0	0	0	0	0
Taramundi, Ouria	Asturias	13.3 (14:20)	6.1 (05:20)	9,7	41 (15:50)	29 (15:50)	0	0	0	0	0
Puerto de Leitariegos	Asturias	11.1 (14:30)	-0.1 (23:20)	5,5	19 (17:50)	14 (19:20)	0	0	0	0	0
Ávila	Ávila	16.1 (14:10)	-0.2 (04:50)	8	19 (14:10)	13 (15:00)	0	0	0	0	0
Gotarrendura	Ávila	14.3 (15:40)	-2.6 (06:00)	5,9	22 (14:30)	16 (14:20)	0	0	0	0	0
Arevalo	Ávila	13.9 (15:50)	-3.3 (09:00)	5,3	17 (13:30)	12 (14:10)	0	0	0	0	0
Rivilla de Barajas	Ávila										
Navarredonda de Gredos	Ávila	15.3 (13:20)	-1.5 (23:50)	6,9	18 (14:10)	8 (14:10)	0	0	0	0	0
Barco de Avila	Ávila	15.1 (14:00)	-3.0 (09:10)	6,1	37 (16:10)	23 (15:50)	0	0	0	0	0
Puerto El Pico	Ávila	12.1 (13:10)	-5.1 (08:30)	3,5	30 (15:40)	18 (15:40)	0	0	0	0	0
Cebreros	Ávila	15.5 (13:10)	3.6 (08:10)	9,5	12 (16:10)	7 (18:50)	0	0	0	0	0
Sotillo de la Adrada	Ávila	16.6 (14:20)	1.4 (07:40)	9	15 (15:50)	7 (14:30)	0	0	0	0	0
Candeleda	Ávila	14.3 (16:10)	-0.8 (08:40)	6,8	10 (06:00)	8 (06:10)	0	0	0	0	0
Herrera del Duque	Badajoz	16.1 (16:50)	-1.0 (08:40)	7,6	14 (16:10)	9 (16:10)	0	0	0	0	0
Peraleda del Zaucejo	Badajoz	16.3 (16:10)	-3.0 (08:20)	6,6	17 (15:10)	12 (14:50)	0	0	0	0	0
Castuera	Badajoz	17.7 (14:00)	7.0 (04:50)	12,4	14 (15:20)	11 (05:10)	0	0	0	0	0
Navalvillar de Pela	Badajoz	14.9 (16:10)	-1.0 (08:50)	6,9	15 (19:00)	10 (17:00)	0	0	0	0	0
Don Benito	Badajoz	15.4 (15:50)	-1.2 (09:00)	7,1	16 (16:10)	9 (20:10)	0	0	0	0	0
Llerena	Badajoz	15.7 (12:00)	6.7 (22:30)	11,2	21 (15:50)	16 (05:00)	0	0	0	0	0
Villafranca de los Barros	Badajoz	16.5 (14:50)	-1.2 (08:40)	7,6	17 (17:20)	12 (17:20)	0	0	0	0	0
Mérida	Badajoz	16.3 (15:50)	-0.7 (07:30)	7,8	17 (16:00)	12 (16:00)	0,1	0	0,1	0	0
Zafra	Badajoz	17.4 (15:10)	1.1 (09:00)	9,2	16 (04:10)	13 (09:00)	0	0	0	0	0
Almendralejo	Badajoz	15.3 (14:30)	0.4 (07:10)	7,9	20 (15:20)	13 (16:50)	0	0	0	0	0
Badajoz Aeropuerto	Badajoz	16.2 (16:30)	-2.5 (08:30)	6,9	18 (15:50)	11 (15:50)	0	0	0	0	0
Alburquerque	Badajoz	14.6 (16:00)	-2.7 (09:00)	6	12 (14:40)	7 (14:40)	0	0	0	0	0
Puebla de Obando	Badajoz	14.5 (14:40)	0.8 (07:50)	7,7	14 (15:40)	10 (15:00)	0	0	0	0	0
Badajoz	Badajoz	15.6 (16:30)	-3.9 (08:30)	5,9	16 (14:30)	9 (14:40)	0	0	0	0	0
Olivenza	Badajoz	13.6 (14:50)	1.2 (08:40)	7,4	25 (15:10)	17 (14:30)	0	0	0	0	0
Alconchel	Badajoz	13.0 (17:30)	-0.6 (09:00)	6,2	17 (13:30)	10 (13:30)	0	0	0	0	0
Barcarrota	Badajoz	13.8 (15:10)	0.7 (09:00)	7,3	21 (14:00)	12 (14:30)	0	0	0	0	0
Villanueva del Fresno	Badajoz	14.2 (17:00)	1.9 (08:10)	8	17 (13:50)	11 (14:00)	0	0	0	0	0
