España											
Actualizado: jueves, 08 enero 2015 a las 09:00 hora oficial											
Fecha: miércoles, 07 enero 2015											
											
Estación	Provincia	Temperatura máxima (ºC)	Temperatura mínima (ºC)	Temperatura media (ºC)	Racha (km/h)	Velocidad máxima (km/h)	Precipitación 00-24h (mm)	Precipitación 00-06h (mm)	Precipitación 06-12h (mm)	Precipitación 12-18h (mm)	Precipitación 18-24h (mm)
Estaca de Bares	A Coruña	15.1 (13:50)	9.7 (05:10)	12,4	35 (22:50)	26 (23:00)	0	0	0	0	0
As Pontes	A Coruña	12.5 (14:00)	2.0 (08:40)	7,3							
A Coruña	A Coruña	15.1 (13:40)	8.2 (09:40)	11,7	15 (16:50)	12 (06:50)	0	0	0	0	0
A Coruña Aeropuerto	A Coruña	16.0 (13:50)	4.3 (08:00)	10,2	26 (16:00)	14 (08:00)	0	0	0	0	0
Carballo, Depuradora	A Coruña	15.4 (14:10)	0.6 (09:20)	8			0	0	0	0	0
Cabo Vilan	A Coruña	13.7 (13:20)	8.9 (09:30)	11,3	44 (10:20)	23 (13:50)	0	0	0	0	0
Vimianzo	A Coruña	13.2 (14:00)	3.0 (09:30)	8,1							
Fisterra	A Coruña	12.8 (13:40)	9.1 (09:00)	11	31 (07:50)	22 (08:10)	0	0	0	0	0
Mazaricos	A Coruña	12.2 (15:10)	0.5 (09:40)	6,3							
Sobrado	A Coruña	14.1 (14:40)	-2.2 (09:00)	6			0	0	0	0	0
Santiago de Compostela Aeropuerto	A Coruña	14.9 (15:30)	-0.7 (09:00)	7,1	17 (22:30)	10 (22:20)	0	0	0	0	0
Noia	A Coruña	13.4 (13:50)	5.2 (08:50)	9,3	14 (09:20)	7 (10:00)	0	0	0	0	0
Monte Iroite	A Coruña	13.8 (12:30)	6.5 (03:30)	10,2	14 (08:30)	12 (08:30)	0	0	0	0	0
Boiro	A Coruña	11.7 (16:20)	2.3 (09:30)	7			0	0	0	0	0
Padrón	A Coruña	13.4 (16:20)	2.2 (09:20)	7,8	30 (06:40)	24 (10:40)	0	0	0	0	0
Santiago de Compostela	A Coruña										
Rois, Casas do Porto	A Coruña	12.5 (16:20)	3.8 (09:10)	8,1			0	0	0	0	0
Ossa de Montiel	Albacete	14.5 (13:20)	-4.1 (07:40)	5,2	15 (15:20)	8 (15:20)	0	0	0	0	0
Villarrobledo	Albacete				19 (13:30)	10 (13:40)	0	0	0	0	0
Munera	Albacete	11.4 (16:10)	-6.0 (08:50)	2,7	12 (11:30)	6 (01:50)	0	0	0	0	0
Yeste, Embalse Fuensanta	Albacete	14.4 (16:10)	-2.3 (09:00)	6			0	0	0	0	0
Yeste	Albacete	11.6 (15:40)	0.1 (07:50)	5,9			0	0	0	0	0
Hellín	Albacete	12.6 (15:40)	1.1 (08:00)	6,9	18 (03:40)	11 (01:20)	0	0	0	0	0
Tobarra	Albacete	12.9 (16:10)	-0.8 (08:40)	6			0	0	0	0	0
Chinchilla	Albacete	10.8 (15:10)	-1.6 (08:10)	4,6		23 (08:40)	0	0	0	0	0
Albacete	Albacete	12.8 (14:50)	-2.6 (07:40)	5,1	14 (13:10)	6 (13:10)	0	0	0	0	0
Alcalá del Júcar	Albacete	11.7 (15:50)	-2.6 (09:00)	4,5	12 (14:30)	5 (01:00)	0	0	0	0	0
Almansa	Albacete	11.9 (16:10)	-3.3 (04:20)	4,3	11 (14:50)	6 (14:50)	0	0	0	0	0
Orihuela	Alacant/Alicante	14.8 (16:20)	3.9 (03:50)	9,4	15 (12:10)	10 (11:30)	0	0	0	0	0
Pinoso	Alacant/Alicante	13.1 (16:20)	-2.4 (04:20)	5,4	14 (15:50)	8 (15:50)	0	0	0	0	0
Rojales	Alacant/Alicante	15.9 (15:20)	5.3 (08:00)	10,6	20 (15:30)	12 (15:40)	0	0	0	0	0
Villena	Alacant/Alicante	13.2 (15:10)	-3.6 (05:30)	4,8	14 (20:30)	12 (20:30)	0	0	0	0	0
