España											
Actualizado: viernes, 20 enero 2017 a las 14:00 hora oficial											
Fecha: jueves, 19 enero 2017											
											
Estación	Provincia	Temperatura máxima (ºC)	Temperatura mínima (ºC)	Temperatura media (ºC)	Racha (km/h)	Velocidad máxima (km/h)	Precipitación 00-24h (mm)	Precipitación 00-06h (mm)	Precipitación 06-12h (mm)	Precipitación 12-18h (mm)	Precipitación 18-24h (mm)
Estaca de Bares	A Coruña	8.3 (21:30)	6.6 (17:40)	7,5	65 (04:40)	52 (04:40)	0	0	0	0	0
As Pontes	A Coruña	4.7 (12:30)	1.1 (23:59)	2,9			0	0	0	0	0
A Coruña	A Coruña	8.1 (14:10)	4.3 (23:59)	6,2	41 (03:40)	24 (03:00)	0	0	0	0	0
A Coruña Aeropuerto	A Coruña	7.2 (13:10)	-0.9 (23:50)	3,1	28 (15:30)	19 (17:30)	0	0	0	0	0
Carballo, Depuradora	A Coruña										
Cabo Vilan	A Coruña	7.6 (14:40)	3.0 (23:20)	5,3	54 (16:20)	33 (16:10)	0	0	0	0	0
Vimianzo	A Coruña	6.4 (12:50)	0.3 (23:59)	3,4			0	0	0	0	0
Fisterra	A Coruña	7.4 (12:00)	3.0 (04:30)	5,2	64 (00:40)	36 (01:10)	0	0	0	0	0
Mazaricos	A Coruña	5.8 (15:20)	-0.3 (08:20)	2,8			0	0	0	0	0
Sobrado	A Coruña	4.6 (16:20)	-2.6 (23:59)	1			0	0	0	0	0
Santiago de Compostela Aeropuerto	A Coruña	6.1 (15:10)	-1.0 (06:30)	2,5	30 (15:00)	10 (17:50)	0	0	0	0	0
Noia	A Coruña	8.3 (12:50)	0.6 (09:10)	4,5	25 (14:20)	8 (12:40)	0	0	0	0	0
Boiro	A Coruña	9.6 (16:00)	0.8 (23:59)	5,2			0	0	0	0	0
Padrón	A Coruña	8.8 (15:20)	-2.6 (07:20)	3,1	36 (13:30)	26 (13:30)	0	0	0	0	0
Santiago de Compostela	A Coruña				28 (16:50)	9 (16:20)	0	0	0	0	0
Rois, Casas do Porto	A Coruña	6.9 (16:00)	-0.2 (07:30)	3,4			0	0	0	0	0
Ossa de Montiel	Albacete	3.5 (14:30)	-3.8 (06:20)	-0,1	48 (14:30)	25 (14:30)	0,2	0	0	0	0,2
Villarrobledo	Albacete	6.3 (14:10)	-3.1 (00:30)	1,6	56 (17:20)	32 (18:40)	2,6	0	0	0	2,6
Yeste, Embalse Fuensanta	Albacete	0.6 (16:10)	-1.3 (00:10)	-0,3			2	0	0	0	2
Yeste	Albacete	0.1 (15:40)	-3.4 (00:00)	-1,7			1	0	0	0,8	0,2
Hellín	Albacete	3.4 (09:40)	0.3 (15:40)	1,9	46 (15:10)	24 (15:10)	8,5	0	0,5	6,4	1,6
Tobarra	Albacete	3.5 (09:50)	1.1 (12:30)	2,3			11,6	0	0,4	8	3,2
Chinchilla	Albacete	0.6 (11:20)	-3.3 (08:20)	-1,3	58 (17:20)	27 (14:00)	5	0	0	4,7	0,3
Albacete	Albacete	3.3 (12:30)	-1.2 (02:50)	1	37 (15:30)	11 (12:40)	18,7	0	0	6,6	12,1
Almansa	Albacete	1.3 (05:10)	-1.0 (09:30)	0,1	39 (08:50)	15 (08:50)	0,6	0	0	0,4	0,2
Orihuela	Alacant/Alicante	7.2 (15:10)	2.0 (00:00)	4,6	57 (10:20)	29 (10:30)	75,4	1,8	38,4	27,8	7,4
Pinoso	Alacant/Alicante	1.6 (04:50)	-0.9 (14:20)	0,4	49 (10:50)	29 (07:30)	33,4	0,2	1,2	17,4	14,6
Rojales	Alacant/Alicante	10.2 (22:30)	3.6 (00:00)	6,9	48 (10:20)	29 (10:20)	47,6	5,2	23,2	15,6	3,6
Villena	Alacant/Alicante	2.5 (00:00)	0.0 (09:00)	1,3	41 (22:30)	26 (22:30)	31	0	1	21	9
Novelda	Alacant/Alicante	7.0 (23:50)	2.6 (09:20)	4,8			48,2	2,4	16,4	21,6	7,8
Elche/Elx	Alacant/Alicante	8.3 (23:50)	4.1 (10:10)	6,2			70,6	7,6	38,6	16,8	7,6
Alicante/Alacant Aeropuerto	Alacant/Alicante	10.3 (23:59)	5.0 (08:20)	7,7	74 (09:20)	41 (09:20)	93,7	12,3	40,5	26,3	14,6
Alicante/Alacant	Alacant/Alicante	10.4 (15:10)	4.8 (08:30)	7,6	47 (12:10)	23 (12:10)	66	8,6	34,2	16,6	6,6
Benidorm	Alacant/Alicante	9.4 (14:40)	4.4 (17:00)	6,9	54 (09:00)	24 (08:10)	96,8	7,6	24,8	42,6	21,8
Jávea/ Xàbia	Alacant/Alicante	12.3 (17:40)	6.5 (05:20)	9,4	72 (08:20)	42 (07:20)	58,4	11,8	10,6	20	16
Pego	Alacant/Alicante	9.4 (14:40)	5.4 (15:50)	7,4	63 (10:00)	27 (10:10)	82,6	6	27,8	37,8	11
Alcoy/Alcoi	Alacant/Alicante	3.7 (13:00)	-0.1 (06:30)	1,8	40 (12:30)	22 (08:50)	69,8	7,2	29,6	25,8	7,2
Vélez Blanco - Topares	Almería	-1.1 (15:40)	-4.0 (00:00)	-2,6			1	0	0	1	0
Adra	Almería	13.2 (16:10)	9.2 (00:30)	11,2	36 (13:30)	21 (13:00)					
El Ejido	Almería	13.4 (14:50)	8.7 (23:20)	11			0	0	0	0	0
Roquetas de Mar	Almería	13.0 (15:30)	8.5 (00:00)	10,8	65 (05:30)	36 (05:40)	0,2	0	0	0,2	0
Abla	Almería	4.1 (15:10)	-0.2 (04:50)	1,9	26 (15:30)	14 (15:30)	0,9	0	0,7	0,2	0
Láujar de Andarax	Almería	1.2 (15:40)	-3.5 (05:20)	-1,1	54 (13:10)	27 (19:10)	2,4	0	0	2,4	0
Almería Aeropuerto	Almería	13.2 (16:40)	7.2 (01:00)	10,2	61 (03:20)	33 (02:10)	0	0	0	0	0
Cabo de Gata	Almería	10.4 (12:50)	5.1 (03:50)	7,7	76 (11:10)	40 (10:50)	1,2	0	1,2	0	0
Carboneras	Almería										
Garrucha, Puerto	Almería				66 (10:40)	35 (11:50)	8,6	6,4	0	2,2	0
Albox	Almería	5.1 (12:30)	0.3 (00:30)	2,7	52 (14:10)	33 (06:30)	2	0,8	0,2	0,4	0,6
Huercal Overa	Almería	5.3 (16:20)	1.8 (00:40)	3,6	54 (10:30)	21 (13:10)	2,8	0,3	0	0,7	1,8
Aramaio	Araba/Álava	-0.2 (16:10)	-3.7 (23:59)	-2			0	0	0	0	0
Amurrio	Araba/Álava	3.9 (15:10)	-2.7 (23:40)	0,6	8 (15:10)	4 (15:20)	0	0	0	0	0
Lalastra	Araba/Álava	1.4 (16:00)	-5.9 (23:50)	-2,3	15 (05:00)	9 (00:10)	0	0	0	0	0
Opakua	Araba/Álava	1.5 (16:30)	-5.4 (23:59)	-2	10 (21:50)	8 (23:10)	0	0	0	0	0
Vitoria Gasteiz Aeropuerto	Araba/Álava	3.3 (16:30)	-5.1 (23:40)	-0,9	15 (16:00)	9 (20:10)	0	0	0	0	0
Labastida	Araba/Álava	4.6 (16:40)	-2.0 (23:50)	1,3	21 (02:20)	10 (13:40)	0	0	0	0	0
Leza	Araba/Álava	4.4 (16:40)	-3.4 (23:59)	0,5			0	0	0	0	0
Campezo/Kanpezu	Araba/Álava	5.2 (16:00)	-4.5 (23:59)	0,3			0	0	0	0	0
Cabrales	Asturias	4.1 (16:20)	-0.8 (22:40)	1,6	20 (18:00)	14 (19:20)	0	0	0	0	0
Llanes	Asturias	7.3 (14:40)	3.6 (23:59)	5,5	27 (21:20)	17 (22:00)	0	0	0	0	0
Amieva, Panizales	Asturias	7.3 (16:20)	-1.9 (23:59)	2,7	20 (16:20)	10 (16:20)	0	0	0	0	0
Piloña	Asturias	5.1 (15:10)	-0.7 (23:59)	2,2	17 (14:50)	10 (16:00)	0	0	0	0	0
Colunga	Asturias	8.8 (15:40)	3.9 (09:20)	6,4	27 (22:20)	15 (22:20)	0	0	0	0	0
Gijón, Campus	Asturias	8.2 (16:50)	1.7 (23:59)	4,9	24 (16:50)	12 (16:20)	0	0	0	0	0
Cabo Peñas	Asturias	6.8 (16:20)	4.6 (00:00)	5,7	42 (17:00)	29 (22:00)	0	0	0	0	0
Asturias Aeropuerto	Asturias	6.9 (16:40)	0.0 (23:30)	3,5			0	0	0	0	0
Puerto de Pajares	Asturias	-0.9 (15:40)	-8.3 (08:50)	-4,6	36 (23:00)	22 (23:00)	0	0	0	0	0
Pola de Lena	Asturias	6.1 (15:40)	-2.3 (23:50)	1,9	15 (15:40)	8 (15:40)	0	0	0	0	0
Aller	Asturias	2.5 (13:30)	-3.4 (23:59)	-0,5	13 (09:30)	7 (09:30)	0	0	0	0	0
Mieres	Asturias	8.1 (15:50)	-0.8 (23:50)	3,7	16 (16:00)	9 (16:10)	0	0	0	0	0
Oviedo	Asturias	7.8 (17:30)	-0.1 (23:59)	3,9	24 (15:20)	12 (15:20)	0	0	0	0	0
Tineo, Soto de la Barca	Asturias	6.5 (14:20)	-1.4 (23:50)	2,6	22 (15:40)	12 (13:50)	0	0	0	0	0
Pola de Somiedo	Asturias	4.1 (15:00)	-6.3 (08:40)	-1,1	12 (15:30)	6 (12:30)	0	0	0	0	0
Salas	Asturias	6.0 (15:30)	-1.4 (23:40)	2,3	18 (15:40)	9 (15:50)	0	0	0	0	0
Cabo Busto	Asturias	7.1 (17:00)	2.6 (22:00)	4,8	51 (17:10)	24 (17:20)	0	0	0	0	0
Degaña	Asturias	2.2 (15:30)	-10.3 (06:50)	-4,1	30 (23:59)	20 (21:00)	0	0	0	0	0
Ibias, San Antolin	Asturias	5.0 (15:50)	-3.4 (07:30)	0,8	31 (03:00)	22 (03:00)	0	0	0	0	0
Villayón, Oneta	Asturias	4.5 (16:20)	1.8 (20:30)	3,1	37 (20:10)	24 (21:30)	0	0	0	0	0
Castropol	Asturias	6.9 (17:00)	-0.5 (23:50)	3,2	31 (16:50)	16 (16:40)	0	0	0	0	0
Taramundi, Ouria	Asturias	5.5 (15:10)	-0.9 (23:40)	2,3	39 (16:10)	27 (15:40)	0	0	0	0	0
Puerto de Leitariegos	Asturias	0.3 (14:50)	-10.6 (06:30)	-5,2	45 (19:40)	32 (23:10)	0	0	0	0	0
Muñotello	Ávila	3.7 (15:10)	-9.5 (06:50)	-2,9	21 (16:00)	12 (16:10)	0	0	0	0	0
Ávila	Ávila	3.0 (13:50)	-9.9 (06:10)	-3,4	24 (14:00)	18 (14:00)	0	0	0	0	0
Gotarrendura	Ávila	3.0 (16:30)	-11.7 (08:10)	-4,3	15 (14:30)	11 (16:40)	0	0	0	0	0
Arevalo	Ávila	4.6 (17:30)	-11.5 (08:50)	-3,5	21 (23:20)	13 (23:20)	0	0	0	0	0
Rivilla de Barajas	Ávila	2.2 (16:30)	-10.0 (09:00)	-3,9	16 (16:00)	12 (16:00)	0	0	0	0	0
Navarredonda de Gredos	Ávila	2.1 (15:10)	-12.7 (03:10)	-5,3	34 (22:30)	16 (23:20)	0	0	0	0	0
Barco de Avila	Ávila	4.5 (16:20)	-11.9 (06:40)	-3,7	27 (16:50)	17 (17:10)	0	0	0	0	0
Puerto El Pico	Ávila	3.5 (15:00)	-15.9 (07:40)	-6,2	29 (16:30)	15 (16:20)	0	0	0	0	0
Candeleda	Ávila	8.6 (16:50)	-5.2 (09:10)	1,7	17 (14:30)	9 (16:30)	0	0	0	0	0
Herrera del Duque	Badajoz	9.6 (16:00)	-1.5 (08:30)	4,1			0	0	0	0	0
Peraleda del Zaucejo	Badajoz	8.0 (16:30)	0.1 (08:20)	4,1	46 (13:00)	26 (13:00)	0	0	0	0	0
Castuera	Badajoz	8.5 (16:20)	0.2 (07:30)	4,4	39 (04:50)	18 (04:40)	0	0	0	0	0
Navalvillar de Pela	Badajoz	10.2 (15:20)	-1.1 (00:50)	4,5	32 (13:20)	24 (12:50)	0	0	0	0	0
Don Benito	Badajoz	11.2 (17:00)	-2.1 (01:50)	4,5	21 (17:20)	9 (06:00)	0	0	0	0	0
Llerena	Badajoz	6.8 (16:50)	-1.9 (01:20)	2,5	51 (14:20)	31 (14:20)	0	0	0	0	0
Villafranca de los Barros	Badajoz	8.5 (16:40)	-7.3 (02:20)	0,6	30 (16:20)	19 (16:30)	0	0	0	0	0
