España											
Actualizado: viernes, 23 enero 2015 a las 09:00 hora oficial											
Fecha: jueves, 22 enero 2015											
											
Estación	Provincia	Temperatura máxima (ºC)	Temperatura mínima (ºC)	Temperatura media (ºC)	Racha (km/h)	Velocidad máxima (km/h)	Precipitación 00-24h (mm)	Precipitación 00-06h (mm)	Precipitación 06-12h (mm)	Precipitación 12-18h (mm)	Precipitación 18-24h (mm)
Estaca de Bares	A Coruña	10.9 (15:50)	7.3 (01:40)	9,1	77 (01:30)	42 (01:30)	3,6	1,2	0,2	0	2,2
As Pontes	A Coruña	8.1 (14:20)	4.3 (05:10)	6,2			7,8	5	1,2	0	1,6
A Coruña	A Coruña	10.7 (15:20)	8.1 (02:50)	9,4	60 (02:40)	34 (02:40)	6,6	2,4	1,8	0,8	1,6
A Coruña Aeropuerto	A Coruña	10.7 (15:20)	6.7 (00:20)	8,7	54 (02:50)	34 (02:50)	8,4	2,7	1,6	0,8	3,3
Carballo, Depuradora	A Coruña	10.0 (16:40)	7.1 (01:50)	8,5			11,4	6,4	1,4	1,4	2,2
Cabo Vilan	A Coruña	11.4 (22:50)	8.5 (02:40)	9,9	70 (04:20)	46 (02:30)	4,4	0,2	0,5	0,5	3,2
Vimianzo	A Coruña	9.8 (23:59)	6.3 (06:30)	8,1			11	1,6	3	1,4	5
Fisterra	A Coruña	10.8 (23:20)	7.8 (07:20)	9,3	99 (02:50)	57 (03:00)	2,4	0	0,4	0,2	1,8
Mazaricos	A Coruña	8.8 (23:50)	5.8 (03:10)	7,3							
Sobrado	A Coruña	7.2 (15:30)	3.4 (02:10)	5,3			5,8	2,4	0,6	1,2	1,6
Santiago de Compostela Aeropuerto	A Coruña	8.7 (15:10)	4.4 (00:30)	6,5	45 (04:40)	30 (04:40)	6,7	1,8	2,6	0,6	1,7
Noia	A Coruña	9.5 (15:50)	5.6 (00:30)	7,5	23 (02:50)	4 (04:50)	5,6	1	0,2	1,2	3,2
Monte Iroite	A Coruña	7.7 (23:50)	3.6 (08:10)	5,6	45 (00:50)	23 (00:50)	3	0,2	0	1	1,8
Boiro	A Coruña	10.5 (14:10)	7.9 (00:00)	9,2			2,6	0,2	0	0	2,4
Padrón	A Coruña	11.0 (15:50)	7.0 (00:40)	9	21 (02:20)	10 (02:20)	4,6	2,1	0,2	0,6	1,7
Santiago de Compostela	A Coruña	9.9 (16:40)	6.5 (03:10)	8,2	29 (02:30)	6 (04:00)	4,6	2,1	1,2	0,4	0,9
Rois, Casas do Porto	A Coruña	9.2 (16:50)	5.8 (02:50)	7,5			4,4	2,2	0	0,6	1,6
Ossa de Montiel	Albacete	4.5 (13:10)	-1.8 (08:20)	1,4	32 (13:30)	13 (13:50)	3,6	0,2	3,2	0,2	0
Villarrobledo	Albacete				37 (13:10)	18 (13:10)	0,2	0,2	0	0	0
Munera	Albacete	3.6 (17:40)	-0.9 (08:40)	1,3	36 (13:20)	15 (12:00)	4	0	2,6	1,4	0
Yeste, Embalse Fuensanta	Albacete	6.5 (15:10)	1.6 (01:00)	4,1			0,2	0	0	0,2	0
Yeste	Albacete	4.5 (14:40)	0.3 (00:30)	2,4			4,4	0,6	1,8	1	1
Hellín	Albacete	7.3 (15:50)	3.3 (02:10)	5,3	65 (16:10)	35 (16:20)	0,1	0	0	0,1	0
Tobarra	Albacete	7.3 (14:10)	3.3 (02:20)	5,3			0	0	0	0	0
Chinchilla	Albacete	3.0 (16:30)	-1.4 (08:00)	0,8		33 (10:20)	0,1	0,1	0	0	0
Albacete	Albacete	6.1 (16:50)	0.9 (08:50)	3,5	37 (11:30)	18 (15:10)	0	0	0	0	0
Alcalá del Júcar	Albacete	5.4 (13:30)	0.3 (04:40)	2,9	39 (16:20)	24 (16:20)	0	0	0	0	0
Almansa	Albacete	6.8 (14:40)	0.8 (05:20)	3,8	41 (15:20)	18 (04:20)	0,2	0	0,2	0	0
Orihuela	Alacant/Alicante	13.0 (14:20)	6.8 (05:30)	9,9	48 (13:20)	23 (11:50)	0	0	0	0	0
Pinoso	Alacant/Alicante	8.4 (15:30)	1.6 (03:50)	5	59 (11:40)	28 (11:30)	0	0	0	0	0
Rojales	Alacant/Alicante	13.5 (15:40)	6.6 (23:30)	10	45 (14:40)	30 (14:20)	0	0	0	0	0
Villena	Alacant/Alicante	9.2 (15:30)	2.1 (23:20)	5,6	47 (15:20)	32 (15:30)	0	0	0	0	0
Novelda	Alacant/Alicante	11.4 (15:50)	5.0 (23:59)	8,2			0	0	0	0	0
Elche/Elx	Alacant/Alicante	13.9 (16:10)	4.9 (22:00)	9,4			0	0	0	0	0
Alicante/Alacant Aeropuerto	Alacant/Alicante	13.7 (14:20)	6.6 (07:30)	10,1	54 (05:20)	37 (14:50)	0	0	0	0	0
Alicante/Alacant	Alacant/Alicante	14.3 (14:10)	6.2 (07:50)	10,3	35 (14:10)	17 (15:20)	0	0	0	0	0
Benidorm	Alacant/Alicante	14.0 (12:20)	6.1 (08:20)	10			0	0	0	0	0
Jávea/ Xàbia	Alacant/Alicante	13.2 (15:40)	5.0 (22:40)	9,1	42 (15:00)	23 (12:30)	0	0	0	0	0
Pego	Alacant/Alicante	13.2 (14:50)	7.1 (05:10)	10,1	40 (07:00)	21 (07:10)	0	0	0	0	0
Alcoy/Alcoi	Alacant/Alicante	7.8 (14:50)	2.6 (01:20)	5,2	35 (11:00)	17 (12:40)	0	0	0	0	0
Vélez Blanco	Almería	1.7 (15:10)	-2.5 (06:40)	-0,4			2,4	0	2	0,4	0
Adra	Almería										
El Ejido	Almería	17.5 (13:00)	9.6 (00:10)	13,6			0	0	0	0	0
Roquetas de Mar	Almería	17.4 (15:10)	8.2 (22:40)	12,8	66 (02:20)	38 (02:20)	0	0	0	0	0
Abla	Almería	8.4 (14:10)	1.4 (03:10)	4,9	33 (15:10)	15 (15:00)	4,9	4,4	0,5	0	0
Láujar de Andarax	Almería	0.7 (15:30)	-2.2 (00:00)	-0,8	85 (13:10)	66 (12:50)	0,4	0,4	0	0	0
Almería Aeropuerto	Almería	16.2 (14:40)	9.2 (06:10)	12,7	74 (13:20)	47 (13:20)	0	0	0	0	0
Cabo de Gata	Almería	15.3 (15:40)	10.9 (04:00)	13,1	76 (03:10)	45 (13:10)	0	0	0	0	0
Garrucha, Puerto	Almería	13.7 (15:10)	8.9 (09:00)	11,3	59 (14:40)	42 (15:30)	0	0	0	0	0
Albox	Almería	10.1 (15:00)	2.7 (05:40)	6,4	74 (12:40)	54 (12:40)	0	0	0	0	0
Huercal Overa	Almería	11.3 (14:40)	4.1 (06:00)	7,7	61 (13:30)	36 (13:30)	0	0	0	0	0
Aramaio	Araba/Álava	4.2 (14:00)	0.0 (01:30)	2,1			37,6	8,8	18,4	4,6	5,8
Amurrio	Araba/Álava	7.2 (16:00)	0.9 (02:10)	4	39 (16:30)	16 (14:10)	27,6	9,8	8,4	3,2	6,2
Lalastra	Araba/Álava	2.1 (14:10)	-0.9 (02:10)	0,6	30 (15:20)	15 (16:40)	29,6	7,4	3,4	14,4	4,4
Opakua	Araba/Álava	2.5 (14:40)	0.1 (00:00)	1,3	26 (17:20)	17 (17:10)	23,6	4,6	13,8	3,2	2
Vitoria Gasteiz Aeropuerto	Araba/Álava	6.1 (14:20)	0.3 (00:00)	3,2	41 (12:30)	28 (12:30)	15,1	5,5	6,1	1,6	1,9
Labastida	Araba/Álava	3.3 (15:50)	0.1 (08:00)	1,7	35 (14:30)	18 (14:20)	26	0,8	7,2	14,8	3,2
Leza	Araba/Álava	5.0 (15:30)	0.4 (01:10)	2,7			19,4	1	11,6	5	1,8
Campezo/Kanpezu	Araba/Álava	3.6 (17:00)	0.2 (07:10)	1,9			15,4	1,2	6,8	6,6	0,8
Cabrales	Asturias							12			
Llanes	Asturias	10.5 (04:30)	6.7 (23:30)	8,6	71 (05:10)	39 (05:10)	16,8	4	4,4	5	3,4
Amieva, Panizales	Asturias	7.4 (15:40)	2.5 (23:00)	5	30 (09:20)	13 (16:30)	26,2	2,8	16,2	2,2	5
Piloña	Asturias	8.2 (15:10)	3.4 (00:00)	5,8	30 (17:20)	13 (17:10)	23,6	9,4	9,2	2,8	2,2
Colunga	Asturias	11.5 (14:10)	5.8 (00:00)	8,7	33 (04:20)	17 (06:00)	11,2	0	3,2	0,2	7,8
Gijón, Campus	Asturias	11.2 (14:30)	6.8 (00:00)	9	50 (06:00)	27 (06:00)	2,2	1,4	0	0	0,8
Cabo Peñas	Asturias										
Asturias Aeropuerto	Asturias	10.2 (13:00)	5.8 (23:30)	8	61 (02:00)	33 (01:10)	8,7	1,7	1,7	0,9	4,4
Puerto de Pajares	Asturias	-2.4 (14:50)	-3.9 (00:00)	-3,2	5 (03:20)	2 (03:20)	0	0	0	0	0
Pola de Lena	Asturias	5.8 (14:50)	3.5 (06:10)	4,7	37 (04:10)	20 (04:10)	15,4	4,8	3,4	5,6	1,6
Aller	Asturias	2.5 (11:10)	0.4 (02:00)	1,5	38 (01:30)	18 (04:00)	25,6	8	10	7,2	0,4
Mieres	Asturias	7.7 (14:10)	5.0 (00:00)	6,3	27 (04:10)	10 (02:50)	17,2	6,8	4	5,6	0,8
Oviedo	Asturias	6.7 (13:50)	3.4 (09:10)	5	31 (10:40)	21 (03:00)	17,8	5,8	6,2	4,6	1,2
Tineo, Soto de la Barca	Asturias	6.3 (16:30)	2.6 (05:00)	4,5	28 (00:10)	11 (00:10)	19,6	3,8	7,8	4,2	3,8
Pola de Somiedo	Asturias	4.6 (16:40)	0.8 (03:00)	2,7	33 (04:00)	12 (02:30)	20,6	12	7,2	1,2	0,2
Salas	Asturias	7.5 (13:10)	4.0 (02:50)	5,8	30 (03:50)	9 (03:50)	20	7,2	7,8	1,4	3,6
Cabo Busto	Asturias	10.9 (13:40)	7.3 (06:10)	9,1	86 (05:10)	59 (01:00)	1,6	0,4	0,2	0	1
Degaña	Asturias	0.2 (13:50)	-2.5 (01:50)	-1,1	35 (11:00)	14 (15:10)	4,4	0	0	4,2	0,2
Ibias, San Antolin	Asturias	3.1 (15:20)	0.0 (00:50)	1,5	28 (02:50)	15 (04:00)	23	1,4	5,8	13	2,8
Villayón, Oneta	Asturias	6.4 (15:40)	3.6 (09:40)	5	64 (03:10)	36 (01:00)	14,6	3,4	5,6	3,2	2,4
Taramundi, Ouria	Asturias	6.4 (15:50)	3.2 (02:50)	4,8	44 (01:10)	22 (01:10)	11	5	2,8	3,2	0
Puerto de Leitariegos	Asturias	-3.4 (20:50)	-4.0 (00:20)	-3,7	76 (04:30)	48 (00:10)					
Ávila	Ávila	1.8 (17:40)	-1.4 (09:00)	0,2	45 (01:00)	26 (02:20)	0	0	0	0	0
Gotarrendura	Ávila	3.6 (16:40)	-1.3 (08:40)	1,1	40 (00:30)	28 (00:30)	0	0	0	0	0
Arevalo	Ávila	5.7 (15:50)	-1.5 (07:30)	2,1	33 (15:20)	21 (15:00)	0	0	0	0	0
Navarredonda de Gredos	Ávila	0.4 (15:10)	-4.3 (04:10)	-2	36 (12:50)	14 (15:20)	0	0	0	0	0
Barco de Avila	Ávila	5.0 (16:10)	0.0 (08:20)	2,5	40 (02:20)	19 (01:50)	0	0	0	0	0
Puerto El Pico	Ávila	1.2 (16:20)	-2.1 (07:50)	-0,4	53 (01:50)	29 (01:10)	0	0	0	0	0
Cebreros	Ávila	5.9 (14:50)	1.4 (06:20)	3,7	57 (10:50)	32 (10:50)	0,2	0,2	0	0	0
Sotillo de la Adrada	Ávila	9.5 (15:30)	4.3 (00:10)	6,9	83 (05:50)	45 (05:50)	0	0	0	0	0
Candeleda	Ávila	11.6 (17:10)	5.3 (05:50)	8,5	57 (10:50)	32 (10:50)	0,4	0,2	0,2	0	0
Herrera del Duque	Badajoz				36 (14:20)	21 (14:10)	0	0	0	0	0
Peraleda del Zaucejo	Badajoz	8.9 (14:40)	3.3 (08:30)	6,1	53 (05:50)	34 (03:30)	0	0	0	0	0
Castuera	Badajoz	9.1 (15:50)	1.7 (07:00)	5,4	38 (13:20)	24 (15:20)	0	0	0	0	0
