España											
Actualizado: martes, 14 enero 2014 a las 09:15 hora oficial											
Fecha: lunes, 13 enero 2014											
											
Estación	Provincia	Temperatura máxima (ºC)	Temperatura mínima (ºC)	Temperatura media (ºC)	Racha (km/h)	Velocidad máxima (km/h)	Precipitación 00-24h (mm)	Precipitación 00-06h (mm)	Precipitación 06-12h (mm)	Precipitación 12-18h (mm)	Precipitación 18-24h (mm)
Estaca de Bares	A Coruña	11.1 (23:59)	7.6 (04:10)	9,4	96 (22:50)	73 (22:40)	11,6	1	0,2	1,4	9
As Pontes	A Coruña	8.0 (23:50)	4.5 (04:20)	6,3							
A Coruña	A Coruña	10.8 (23:30)	7.7 (08:50)	9,3	53 (23:10)	32 (13:10)	11,8	0,2	1,2	5,6	4,8
A Coruña Aeropuerto	A Coruña								0	2,6	1,9
Carballo, Depuradora	A Coruña	10.4 (23:59)	3.1 (05:30)	6,7			10,4	0,4	1	4,6	4,4
Cabo Vilan	A Coruña	11.3 (23:59)	7.9 (12:10)	9,6	76 (15:30)	52 (09:50)	8,5	0	1,7	4,5	2,3
Vimianzo	A Coruña	9.6 (23:59)	5.6 (03:00)	7,6							
Fisterra	A Coruña	11.0 (23:50)	6.6 (12:10)	8,8	99 (14:30)	65 (15:30)	4,6	0	1,4	2	1,2
Mazaricos	A Coruña	9.3 (23:59)	5.7 (12:40)	7,5			27,2	0,8	5,6	10,4	10,4
Sobrado	A Coruña	6.9 (23:50)	3.4 (04:50)	5,2			19,8	0,2	3	8,8	7,8
Santiago de Compostela Aeropuerto	A Coruña										
Noia	A Coruña	10.5 (10:50)	7.5 (08:00)	9	53 (20:40)	16 (14:10)	26	0,6	7,2	7,4	10,8
Boiro	A Coruña	12.1 (15:00)	7.0 (04:10)	9,6			18,8	0,4	3,4	2,6	12,4
Padrón	A Coruña										
Santiago de Compostela	A Coruña	9.3 (23:59)	4.9 (04:50)	7,1	29 (07:40)	8 (17:50)	22,1	1,8	3,8	9,5	7
Rois, Casas do Porto	A Coruña	10.2 (23:59)	6.8 (06:50)	8,5			24,2	0,2	4,8	11,6	7,6
Ossa de Montiel	Albacete	7.6 (00:40)	1.8 (23:20)	4,7	32 (16:30)	15 (09:40)	6,8	0	6,6	0,2	0
Villarrobledo	Albacete				30 (08:20)	15 (11:40)	2	0,4	1,6	0	0
Munera	Albacete	7.7 (00:00)	1.9 (23:50)	4,8	32 (15:20)	16 (15:20)	3,8	0	3	0,4	0,4
Yeste, Embalse Fuensanta	Albacete	11.5 (06:30)	6.5 (23:59)	9			2,2	0	1,2	1	0
Yeste	Albacete	11.3 (00:00)	4.1 (23:59)	7,7			3,2	0	2	1,2	0
