España											
Actualizado: jueves, 12 enero 2017 a las 14:00 hora oficial											
Fecha: miércoles, 11 enero 2017											
											
Estación	Provincia	Temperatura máxima (ºC)	Temperatura mínima (ºC)	Temperatura media (ºC)	Racha (km/h)	Velocidad máxima (km/h)	Precipitación 00-24h (mm)	Precipitación 00-06h (mm)	Precipitación 06-12h (mm)	Precipitación 12-18h (mm)	Precipitación 18-24h (mm)
Opakua	Araba/Álava	10.8 (13:50)	6.3 (01:00)	8,6	31 (12:50)	20 (12:50)	8,2	6,4	1,4	0,4	0
Vitoria Gasteiz Aeropuerto	Araba/Álava	12.0 (11:00)	7.5 (01:40)	9,8	46 (10:20)	32 (10:50)	3,8	3,6	0,2	0	0
Labastida	Araba/Álava	13.2 (16:00)	7.3 (23:10)	10,3	48 (10:30)	24 (11:00)	1,2	1	0,2	0	0
Leza	Araba/Álava	12.4 (13:50)	7.6 (23:30)	10			5,2	5	0	0,2	0
Campezo/Kanpezu	Araba/Álava	12.2 (13:30)	7.3 (00:20)	9,8			3	2,6	0	0	0,4
Cabrales	Asturias	13.3 (14:00)	7.9 (01:00)	10,6	39 (14:30)	28 (14:30)	0	0	0	0	0
Llanes	Asturias	16.5 (13:40)	11.0 (00:00)	13,8	49 (16:00)	26 (15:10)	0,2	0,2	0	0	0
Amieva, Panizales	Asturias	14.4 (15:20)	8.6 (00:50)	11,5	14 (03:40)	6 (00:20)	0,6	0,4	0,2	0	0
Piloña	Asturias	13.5 (14:50)	8.8 (00:00)	11,2	24 (16:30)	10 (02:50)	0,8	0,6	0,2	0	0
Colunga	Asturias	14.8 (13:00)	10.6 (00:50)	12,7	27 (05:00)	14 (05:00)	0,6	0,4	0	0,2	0
Gijón, Campus	Asturias	13.9 (13:00)	10.4 (00:00)	12,1	27 (15:40)	13 (15:00)	0,2	0,2	0	0	0
Cabo Peñas	Asturias	12.6 (12:40)	10.5 (04:30)	11,6	62 (23:50)	27 (11:10)	0,3	0,2	0,1	0	0
Asturias Aeropuerto	Asturias	13.3 (12:20)	10.0 (02:40)	11,7	37 (14:50)			0		0,4	0,1
Puerto de Pajares	Asturias	6.9 (16:00)	2.4 (00:00)	4,7	55 (08:00)	28 (07:30)	2,9	0,7	2,2	0	0
Pola de Lena	Asturias	13.2 (17:00)	8.0 (02:00)	10,6	22 (17:50)	12 (17:50)	0	0	0	0	0
Aller	Asturias	10.0 (14:50)	3.4 (23:59)	6,7	14 (00:10)	8 (00:20)	4,4	3,4	0,8	0,2	0
Mieres	Asturias	16.0 (15:20)	9.2 (04:40)	12,6	17 (16:40)	9 (16:20)	0,4	0	0,2	0	0,2
Oviedo	Asturias	14.4 (15:10)	8.5 (00:50)	11,4	19 (15:50)	12 (16:00)	0,2	0,2	0	0	0
Tineo, Soto de la Barca	Asturias	13.7 (17:00)	8.2 (04:50)	10,9	18 (17:10)	10 (17:10)	0,2	0	0,2	0	0
Pola de Somiedo	Asturias	13.4 (14:10)	2.3 (23:50)	7,8	10 (16:20)	4 (15:50)	0,2	0	0,2	0	0
Salas	Asturias	15.8 (15:10)	9.0 (00:00)	12,4	24 (12:20)	12 (12:20)	0	0	0	0	0
Cabo Busto	Asturias	13.7 (11:40)	11.2 (01:20)	12,4			0	0	0	0	0
Degaña	Asturias	9.4 (15:30)	2.4 (23:59)	5,9	62 (00:10)	18 (04:10)	0,4	0	0,4	0	0
Ibias, San Antolin	Asturias	10.3 (15:50)	6.4 (00:00)	8,4	22 (11:30)	15 (11:30)	0,2	0	0,2	0	0
Villayón, Oneta	Asturias	11.5 (14:30)	8.5 (00:00)	10	23 (16:30)	17 (15:20)	3,2	0,8	2,4	0	0
Castropol	Asturias	13.5 (13:40)	9.9 (00:00)	11,7	22 (15:50)	9 (06:10)	1,2	0,8	0,4	0	0
Taramundi, Ouria	Asturias	13.7 (15:00)	8.9 (00:00)	11,3	26 (14:40)	15 (13:50)	1	0,8	0,2	0	0
Puerto de Leitariegos	Asturias	8.2 (15:20)	2.2 (00:00)	5,2	83 (04:30)	38 (01:50)	1	0,6	0,4	0	0
Muñotello	Ávila	11.8 (15:30)	4.4 (23:10)	8,1	36 (01:20)	17 (00:40)	0	0	0	0	0
Ávila	Ávila	10.4 (14:00)	2.4 (23:40)	6,4	34 (03:20)	22 (01:10)	0	0	0	0	0
Gotarrendura	Ávila	11.9 (14:20)	2.8 (23:30)	7,3	25 (01:00)	18 (01:00)	0	0	0	0	0
Arevalo	Ávila	13.3 (16:10)	1.2 (08:30)	7,3	20 (15:00)	10 (01:20)	0	0	0	0	0
Rivilla de Barajas	Ávila	12.5 (14:20)	2.1 (06:50)	7,3	24 (01:20)	17 (01:20)	0	0	0	0	0
Navarredonda de Gredos	Ávila	14.1 (14:20)	0.5 (23:50)	7,3	42 (11:50)	14 (12:40)	0	0	0	0	0
Barco de Avila	Ávila	14.6 (14:30)	-0.8 (09:00)	6,9	22 (15:00)	12 (15:10)	0	0	0	0	0
Puerto El Pico	Ávila	13.2 (14:30)	-1.1 (23:59)	6	46 (11:40)	33 (11:20)	0	0	0	0	0
Candeleda	Ávila	16.4 (16:00)	5.3 (00:10)	10,8	18 (11:50)	11 (12:00)	0	0	0	0	0
Herrera del Duque	Badajoz	16.7 (16:10)	1.9 (07:20)	9,3	13 (18:50)	8 (18:50)	0	0	0	0	0
Peraleda del Zaucejo	Badajoz	16.0 (14:30)	1.8 (08:30)	8,9	20 (04:00)	12 (00:20)	0	0	0	0	0
Castuera	Badajoz	14.5 (16:30)	5.9 (07:00)	10,2	15 (14:30)	10 (14:40)	0	0	0	0	0
Navalvillar de Pela	Badajoz	15.9 (17:10)	2.2 (07:30)	9	12 (13:40)	8 (19:20)	0	0	0	0	0
Don Benito	Badajoz	17.3 (17:20)	5.3 (08:30)	11,3	14 (03:30)	9 (22:00)	0	0	0	0	0
Llerena	Badajoz	14.9 (16:30)	5.0 (07:30)	9,9	39 (16:40)	13 (16:30)	0	0	0	0	0
Villafranca de los Barros	Badajoz	16.5 (16:20)	3.2 (09:00)	9,9	15 (04:50)	12 (00:30)	0	0	0	0	0
Mérida	Badajoz	18.9 (17:40)	3.6 (08:20)	11,2	14 (00:10)	8 (05:20)	0	0	0	0	0
Zafra	Badajoz	16.9 (15:40)	3.3 (09:00)	10,1	19 (11:40)	13 (11:50)	0	0	0	0	0
Almendralejo	Badajoz	15.7 (16:20)	5.7 (07:20)	10,7	18 (20:30)	15 (20:40)	0	0	0	0	0
Badajoz Aeropuerto	Badajoz	18.0 (16:20)	4.2 (09:00)	11,1	15 (14:40)	10 (14:20)	0	0	0	0	0
Alburquerque	Badajoz	19.9 (14:50)	6.6 (23:59)	13,2	33 (00:20)	18 (05:50)	0	0	0	0	0
Puebla de Obando	Badajoz	18.3 (16:40)	6.5 (09:10)	12,4	30 (11:10)	20 (11:20)	0	0	0	0	0
Badajoz	Badajoz	19.5 (16:30)	3.4 (09:00)	11,5	15 (14:50)	7 (14:40)	0	0	0	0	0
Olivenza	Badajoz	17.1 (16:30)	6.2 (07:50)	11,7	30 (14:20)	22 (14:30)	0	0	0	0	0
Alconchel	Badajoz	17.6 (16:30)	5.5 (08:40)	11,6	33 (13:20)	18 (13:20)	0	0	0	0	0
Barcarrota	Badajoz	17.5 (16:30)	2.6 (05:10)	10		8 (14:50)	0	0	0	0	0
Villanueva del Fresno	Badajoz	18.4 (16:20)	4.9 (07:30)	11,6	29 (12:20)	18 (12:20)	0	0	0	0	0
Monesterio	Badajoz	14.3 (16:00)	5.2 (06:20)	9,8	25 (15:50)	14 (15:50)	0	0	0	0	0
Fuente de Cantos	Badajoz	15.9 (15:30)	4.2 (07:50)	10	32 (16:10)	24 (16:10)	0	0	0	0	0
