España											
Actualizado: lunes, 26 enero 2015 a las 09:00 hora oficial											
Fecha: domingo, 25 enero 2015											
											
Estación	Provincia	Temperatura máxima (ºC)	Temperatura mínima (ºC)	Temperatura media (ºC)	Racha (km/h)	Velocidad máxima (km/h)	Precipitación 00-24h (mm)	Precipitación 00-06h (mm)	Precipitación 06-12h (mm)	Precipitación 12-18h (mm)	Precipitación 18-24h (mm)
Estaca de Bares	A Coruña	11.3 (15:10)	9.4 (08:30)	10,3	51 (13:30)	37 (12:10)	0	0	0	0	0
As Pontes	A Coruña	12.7 (14:10)	0.7 (23:59)	6,7			0	0	0	0	0
A Coruña	A Coruña	12.8 (15:10)	8.0 (23:59)	10,4	28 (17:00)	19 (16:40)	0	0	0	0	0
A Coruña Aeropuerto	A Coruña	13.1 (16:10)	4.1 (09:40)	8,6	37 (13:40)	14 (17:00)	0	0	0	0	0
Carballo, Depuradora	A Coruña	12.1 (16:00)	2.3 (23:59)	7,2			0	0	0	0	0
Cabo Vilan	A Coruña							0	0		
Vimianzo	A Coruña	10.5 (14:40)	5.4 (23:59)	8			0	0	0	0	0
Fisterra	A Coruña	10.9 (15:30)	6.8 (08:40)	8,8	66 (23:50)	45 (23:40)	0	0	0	0	0
Mazaricos	A Coruña	10.2 (15:40)	5.3 (08:50)	7,8							
Sobrado	A Coruña	12.2 (16:00)	0.1 (23:50)	6,1			0,2	0,2	0	0	0
Santiago de Compostela Aeropuerto	A Coruña							0		0	0
Noia	A Coruña	13.3 (16:10)	5.0 (08:50)	9,2	21 (21:20)	7 (12:40)	0	0	0	0	0
Monte Iroite	A Coruña	10.7 (16:50)	3.8 (09:00)	7,2	48 (02:20)	34 (12:10)	0	0	0	0	0
Boiro	A Coruña	15.2 (16:30)	7.8 (08:40)	11,5			0	0	0	0	0
Padrón	A Coruña	14.8 (16:00)	3.9 (08:50)	9,4	38 (13:30)	30 (13:30)	0	0	0	0	0
Santiago de Compostela	A Coruña	13.3 (16:40)	5.8 (08:50)	9,6	22 (13:10)	7 (03:50)	0	0	0	0	0
Rois, Casas do Porto	A Coruña	11.9 (16:30)	5.0 (09:40)	8,4			0	0	0	0	0
Ossa de Montiel	Albacete	10.1 (15:20)	-2.7 (07:30)	3,7	44 (11:50)	26 (12:10)	0	0	0	0	0
Villarrobledo	Albacete				30 (15:10)	13 (10:00)	0	0	0	0	0
Munera	Albacete	9.7 (16:30)	-1.0 (23:59)	4,3	36 (15:40)	18 (16:00)	0	0	0	0	0
Yeste, Embalse Fuensanta	Albacete	14.8 (15:40)	0.8 (09:00)	7,8			0	0	0	0	0
Yeste	Albacete	13.8 (15:40)	3.4 (00:20)	8,6			0	0	0	0	0
Hellín	Albacete	12.4 (16:20)	5.8 (06:40)	9,1	64 (04:30)	37 (04:40)	0	0	0	0	0
Tobarra	Albacete	13.0 (14:40)	6.0 (07:40)	9,5			0	0	0	0	0
Chinchilla	Albacete	9.4 (16:30)	-0.1 (08:20)	4,6		33 (05:20)	0	0	0	0	0
Albacete	Albacete	13.7 (16:30)	2.1 (09:10)	7,9	43 (06:00)	16 (02:50)	0	0	0	0	0
Alcalá del Júcar	Albacete	13.7 (16:10)	0.4 (08:10)	7	33 (05:10)	21 (05:50)	0	0	0	0	0
Almansa	Albacete	12.5 (15:50)	-1.4 (23:59)	5,6	28 (03:30)	12 (00:20)	0	0	0	0	0
Orihuela	Alacant/Alicante	17.7 (16:30)	5.5 (23:50)	11,6	54 (05:30)	31 (05:00)	0	0	0	0	0
Pinoso	Alacant/Alicante	13.3 (15:50)	-0.1 (23:59)	6,6	39 (00:50)	21 (00:40)	0	0	0	0	0
Rojales	Alacant/Alicante	18.3 (15:40)	7.1 (23:59)	12,7	37 (04:40)	23 (04:40)	0	0	0	0	0
Villena	Alacant/Alicante	14.7 (15:10)	-2.6 (23:59)	6	37 (04:20)	23 (09:20)	0	0	0	0	0
Novelda	Alacant/Alicante	16.7 (15:30)	4.7 (23:30)	10,7			0	0	0	0	0
Elche/Elx	Alacant/Alicante	19.8 (15:20)	6.9 (23:00)	13,3			0	0	0	0	0
