España											
Actualizado: sábado, 04 enero 2014 a las 09:00 hora oficial											
Fecha: viernes, 03 enero 2014											
											
Estación	Provincia	Temperatura máxima (ºC)	Temperatura mínima (ºC)	Temperatura media (ºC)	Racha (km/h)	Velocidad máxima (km/h)	Precipitación 00-24h (mm)	Precipitación 00-06h (mm)	Precipitación 06-12h (mm)	Precipitación 12-18h (mm)	Precipitación 18-24h (mm)
Estaca de Bares	A Coruña	14.4 (00:00)	10.5 (23:50)	12,4	111 (22:50)	78 (22:50)	0,4	0	0	0	0,4
As Pontes	A Coruña	12.2 (13:50)	9.3 (23:59)	10,8							
A Coruña	A Coruña	15.2 (14:00)	10.8 (23:59)	13	72 (23:20)	35 (23:30)	2,2	0	0	0	2,2
A Coruña Aeropuerto	A Coruña	15.4 (13:50)	11.1 (23:40)	13,3	59 (22:10)	33 (23:20)	0,9	0	0,2	0	0,7
Carballo, Depuradora	A Coruña	14.5 (13:40)	9.4 (23:40)	11,9			6	1,4	0,2	0	4,4
Cabo Vilan	A Coruña										
Vimianzo	A Coruña	12.2 (00:00)	9.1 (23:10)	10,7			0	0	0	0	0
Fisterra	A Coruña	12.8 (00:00)	10.6 (22:40)	11,7	108 (23:30)	82 (23:30)	2,2	0,8	0,4	0	1
Mazaricos	A Coruña	12.0 (00:00)	9.2 (09:40)	10,6			4,6	0,6	0,4	0,6	3
Sobrado	A Coruña	10.7 (01:40)	8.1 (10:30)	9,4			3	0	1	0	2
Santiago de Compostela Aeropuerto	A Coruña	12.9 (11:50)	8.3 (23:59)	10,6	61 (23:40)	37 (23:40)	2,4	0	0,1	0,4	1,9
Noia	A Coruña	13.9 (00:00)	10.1 (09:00)	12	63 (23:00)	24 (22:20)	2,8	0	0,6	1,6	0,6
Boiro	A Coruña	14.5 (01:30)	11.7 (09:40)	13,1			1,2	0	0,8	0	0,4
Padrón	A Coruña	14.5 (14:40)	10.2 (09:30)	12,3	60 (23:00)	27 (23:30)	1,2	0,2	0,4	0	0,6
Santiago de Compostela	A Coruña	13.3 (11:40)	10.4 (23:59)	11,8	48 (23:40)	12 (23:40)	4,4	0,4	0	3,5	0,5
Rois, Casas do Porto	A Coruña	12.6 (01:00)	10.0 (23:50)	11,3			2,2	0,2	0,6	0,6	0,8
Ossa de Montiel	Albacete	13.2 (14:40)	9.0 (09:50)	11,1	41 (09:40)	24 (23:10)	2,8	1,6	1,2	0	0
Villarrobledo	Albacete				38 (14:50)	21 (13:50)	1,8	1,2	0,6	0	0
Munera	Albacete	13.4 (15:20)	9.0 (21:00)	11,2	41 (05:10)	19 (23:50)	1,8	0,4	1,4	0	0
Yeste, Embalse Fuensanta	Albacete	16.3 (12:50)	11.2 (23:50)	13,7			0	0	0	0	0
Yeste	Albacete	16.0 (13:00)	10.3 (22:00)	13,2			0	0	0	0	0
Hellín	Albacete	18.8 (12:20)	11.8 (08:20)	15,3	52 (14:50)	29 (16:40)	0	0	0	0	0
Tobarra	Albacete	18.7 (15:30)	9.6 (08:30)	14,2			0	0	0	0	0
Chinchilla	Albacete	12.2 (15:50)	7.6 (23:59)	9,9	48 (03:30)	32 (14:40)	0	0	0	0	0
Albacete	Albacete									0	0
Alcalá del Júcar	Albacete	14.9 (15:00)	9.9 (23:59)	12,4	44 (15:10)	23 (15:00)	0,2	0	0	0,2	0
Almansa	Albacete							0	0		
Orihuela	Alacant/Alicante	22.2 (15:30)	9.6 (08:40)	15,9	15 (23:40)	10 (23:40)	0	0	0	0	0
Pinoso	Alacant/Alicante	19.8 (14:00)	10.9 (22:30)	15,3	35 (07:10)	16 (13:30)	0	0	0	0	0
Rojales	Alacant/Alicante	23.3 (14:00)	10.3 (08:40)	16,8	21 (15:40)	14 (16:10)	0,2	0,2	0	0	0
Villena	Alacant/Alicante	18.7 (15:20)	10.5 (23:50)	14,6	35 (14:40)	23 (14:50)	0	0	0	0	0
Novelda	Alacant/Alicante	23.2 (14:00)	12.8 (04:20)	18			0	0	0	0	0
Elche/Elx	Alacant/Alicante	24.2 (15:00)	9.5 (08:20)	16,9			0,2	0,2	0	0	0
Alicante/Alacant Aeropuerto	Alacant/Alicante	21.6 (14:10)	10.7 (08:30)	16,2	30 (20:00)	23 (20:00)	0	0	0	0	0
Alicante/Alacant	Alacant/Alicante	23.8 (14:50)	11.3 (08:30)	17,5	26 (15:50)	12 (14:20)	0	0	0	0	0
Jávea/ Xàbia	Alacant/Alicante	22.3 (15:00)	11.9 (23:59)	17,1	26 (14:40)	18 (14:40)	0	0	0	0	0
Pego	Alacant/Alicante	23.2 (13:00)	16.7 (23:40)	20	60 (10:10)	35 (10:10)	0	0	0	0	0
Alcoy/Alcoi	Alacant/Alicante	19.6 (13:40)	12.9 (23:59)	16,3	54 (01:50)	32 (01:50)	0	0	0	0	0
Vélez Blanco	Almería	14.1 (15:00)	6.7 (23:20)	10,4			0	0	0	0	0
Adra	Almería	17.1 (10:40)	12.7 (08:10)	14,9	51 (12:30)	33 (12:30)	0	0	0	0	0
El Ejido	Almería	18.5 (11:40)	10.7 (08:30)	14,6			0	0	0	0	0
Roquetas de Mar	Almería	17.3 (12:30)	12.8 (08:00)	15	69 (13:10)	45 (12:30)	0	0	0	0	0
Abla	Almería	20.3 (13:20)	10.1 (22:10)	15,2	29 (08:40)	14 (14:50)	0	0	0	0	0
