España											
Actualizado: martes, 27 enero 2015 a las 09:00 hora oficial											
Fecha: lunes, 26 enero 2015											
											
Estación	Provincia	Temperatura máxima (ºC)	Temperatura mínima (ºC)	Temperatura media (ºC)	Racha (km/h)	Velocidad máxima (km/h)	Precipitación 00-24h (mm)	Precipitación 00-06h (mm)	Precipitación 06-12h (mm)	Precipitación 12-18h (mm)	Precipitación 18-24h (mm)
Estaca de Bares	A Coruña	11.9 (15:50)	7.6 (05:00)	9,7	37 (01:00)	24 (00:40)	0	0	0	0	0
As Pontes	A Coruña	9.1 (17:00)	-2.2 (09:10)	3,5			0	0	0	0	0
A Coruña	A Coruña	11.4 (13:00)	4.2 (09:00)	7,8	19 (00:10)	14 (00:10)	0	0	0	0	0
A Coruña Aeropuerto	A Coruña	11.3 (16:20)	0.4 (09:10)	5,9	28 (13:50)	9 (13:50)	0	0	0	0	0
Carballo, Depuradora	A Coruña	10.8 (16:30)	-0.9 (06:10)	5			0	0	0	0	0
Cabo Vilan	A Coruña										
Vimianzo	A Coruña	9.5 (16:20)	3.8 (05:00)	6,6			0	0	0	0	0
Fisterra	A Coruña	10.6 (16:30)	6.6 (05:00)	8,6	65 (00:40)	48 (03:10)	0	0	0	0	0
Mazaricos	A Coruña	9.2 (14:00)	3.4 (05:50)	6,3							
Sobrado	A Coruña	11.1 (16:00)	-3.3 (09:20)	3,9			0	0	0	0	0
Santiago de Compostela Aeropuerto	A Coruña	10.8 (14:30)	-1.1 (04:30)	4,9	37 (18:10)	21 (18:10)	0	0	0	0	0
Noia	A Coruña	12.5 (14:20)	4.1 (07:10)	8,3	24 (15:00)	7 (17:10)	0	0	0	0	0
Monte Iroite	A Coruña	8.1 (13:30)	4.0 (09:50)	6,1	53 (21:10)	35 (21:30)	0	0	0	0	0
Boiro	A Coruña	13.9 (15:50)	5.2 (06:00)	9,5			0	0	0	0	0
Padrón	A Coruña	13.8 (15:30)	0.9 (09:00)	7,4	33 (14:30)	22 (14:30)	0	0	0	0	0
Santiago de Compostela	A Coruña	11.9 (14:30)	1.8 (08:20)	6,8	27 (14:50)	8 (14:50)	0	0	0	0	0
Rois, Casas do Porto	A Coruña	11.2 (15:20)	2.2 (07:30)	6,7			0	0	0	0	0
Ossa de Montiel	Albacete	11.8 (15:50)	-2.9 (08:40)	4,5	26 (16:30)	13 (15:10)	0	0	0	0	0
Villarrobledo	Albacete				21 (05:50)	10 (05:10)	0	0	0	0	0
Munera	Albacete	11.0 (16:40)	-5.3 (06:50)	2,8	22 (15:20)	11 (14:20)	0	0	0	0	0
Yeste, Embalse Fuensanta	Albacete	19.2 (16:30)	-2.4 (09:00)	8,4			0	0	0	0	0
Yeste	Albacete	14.5 (15:50)	0.4 (07:40)	7,5			0	0	0	0	0
Hellín	Albacete	14.4 (15:50)	2.9 (08:20)	8,6	43 (12:00)	26 (12:20)	0	0	0	0	0
Tobarra	Albacete	15.4 (15:30)	2.0 (08:30)	8,7			0	0	0	0	0
Chinchilla	Albacete	8.8 (14:50)	-2.9 (07:20)	3		18 (00:50)	0	0	0	0	0
Albacete	Albacete	13.3 (16:30)	-1.2 (06:50)	6,1	21 (15:00)	10 (15:00)	0	0	0	0	0
Alcalá del Júcar	Albacete	13.3 (16:10)	-2.3 (08:40)	5,5	21 (13:00)	12 (16:30)	0	0	0	0	0
Almansa	Albacete	13.1 (15:30)	-3.6 (03:10)	4,8	18 (08:00)	7 (08:20)	0	0	0	0	0
Orihuela	Alacant/Alicante	15.7 (16:40)	2.8 (07:30)	9,2	21 (08:10)	12 (11:30)	0	0	0	0	0
Pinoso	Alacant/Alicante	13.8 (15:20)	-3.7 (04:40)	5,1	16 (12:20)	9 (11:00)	0	0	0	0	0
Rojales	Alacant/Alicante	16.5 (16:00)	3.7 (08:40)	10,1	18 (10:30)	12 (10:40)	0	0	0	0	0
Villena	Alacant/Alicante	14.5 (16:10)	-4.9 (05:10)	4,8	21 (13:00)	15 (19:40)	0	0	0	0	0
Novelda	Alacant/Alicante	16.5 (15:20)	3.4 (07:50)	10			0	0	0	0	0
Elche/Elx	Alacant/Alicante	17.1 (15:50)	5.0 (06:20)	11,1			0	0	0	0	0
Alicante/Alacant Aeropuerto	Alacant/Alicante	16.8 (15:00)	5.8 (07:40)	11,3	30 (13:30)	20 (10:50)	0	0	0	0	0
Alicante/Alacant	Alacant/Alicante	16.8 (14:10)	4.5 (05:10)	10,6	21 (14:30)	10 (12:40)	0	0	0	0	0
Benidorm	Alacant/Alicante	15.1 (14:40)	6.2 (04:10)	10,7			0	0	0	0	0
Jávea/ Xàbia	Alacant/Alicante	14.6 (14:30)	2.7 (03:10)	8,7	19 (12:30)	13 (12:40)	0	0	0	0	0
Pego	Alacant/Alicante	16.0 (14:20)	6.1 (06:50)	11	18 (15:00)	11 (15:30)	0	0	0	0	0
Alcoy/Alcoi	Alacant/Alicante	14.2 (16:40)	1.4 (08:30)	7,8	20 (01:10)	14 (01:10)	0	0	0	0	0
Vélez Blanco	Almería	10.9 (16:50)	-2.1 (08:10)	4,4			0	0	0	0	0
Adra	Almería										0
El Ejido	Almería	17.5 (14:30)	7.4 (07:20)	12,5			0	0	0	0	0
Roquetas de Mar	Almería	16.6 (14:10)	4.4 (03:30)	10,5	24 (13:30)	14 (12:10)	0	0	0	0	0
Abla	Almería	15.9 (16:10)	4.3 (08:30)	10,1	31 (04:00)	15 (03:50)	0	0	0	0	0
Láujar de Andarax	Almería	10.9 (17:20)	3.3 (08:30)	7,1	32 (22:20)	22 (22:20)	0	0	0	0	0
Almería Aeropuerto	Almería	17.3 (11:50)	7.6 (06:00)	12,4	22 (09:40)	16 (08:10)	0	0	0	0	0
Cabo de Gata	Almería	16.0 (11:10)	11.6 (05:00)	13,8	41 (12:40)	30 (12:50)	0	0	0	0	0
Garrucha, Puerto	Almería	15.6 (12:40)	5.8 (07:20)	10,7	27 (13:20)	21 (13:20)	0	0	0	0	0
Albox	Almería	17.5 (14:50)	3.5 (08:10)	10,5	25 (16:20)	18 (16:40)	0	0	0	0	0
Huercal Overa	Almería	17.1 (14:00)	2.0 (08:10)	9,6	22 (15:40)	14 (15:30)	0	0	0	0	0
Aramaio	Araba/Álava	4.9 (23:59)	2.1 (00:10)	3,5			0	0	0	0	0
Amurrio	Araba/Álava	8.3 (15:50)	2.7 (00:00)	5,5	8 (15:40)	4 (14:50)	0	0	0	0	0
Lalastra	Araba/Álava	4.0 (14:10)	0.7 (06:30)	2,3	28 (03:00)	14 (01:00)	0	0	0	0	0
Opakua	Araba/Álava	4.7 (11:20)	0.6 (00:00)	2,6	27 (14:50)	20 (14:50)	0	0	0	0	0
Vitoria Gasteiz Aeropuerto	Araba/Álava	6.8 (14:10)	1.0 (03:00)	3,9	24 (13:10)	17 (13:40)	0	0	0	0	0
Labastida	Araba/Álava	5.3 (15:20)	2.2 (00:00)	3,8	32 (03:10)	14 (03:30)	0	0	0	0	0
Leza	Araba/Álava	6.8 (14:10)	3.1 (03:40)	5			0	0	0	0	0
Campezo/Kanpezu	Araba/Álava							0	0		
Cabrales	Asturias										
Llanes	Asturias	11.9 (13:30)	3.9 (04:40)	7,9	19 (16:10)	14 (13:50)	0	0	0	0	0
Amieva, Panizales	Asturias	9.3 (14:50)	0.1 (07:50)	4,7	14 (14:50)	7 (14:40)	0	0	0	0	0
Piloña	Asturias	10.1 (14:40)	-1.9 (09:10)	4,1	12 (14:50)	7 (14:50)	0	0	0	0	0
Colunga	Asturias	12.2 (13:00)	4.1 (07:40)	8,1	19 (09:30)	14 (06:30)	0	0	0	0	0
Gijón, Campus	Asturias	12.3 (14:30)	-0.3 (07:40)	6	17 (23:40)	8 (13:40)	0	0	0	0	0
Cabo Peñas	Asturias										
Asturias Aeropuerto	Asturias							0			0
Puerto de Pajares	Asturias	4.7 (14:00)	-4.6 (09:20)	0	17 (23:10)	9 (23:00)	0	0	0	0	0
Pola de Lena	Asturias	8.8 (16:00)	-1.5 (09:20)	3,7	14 (21:30)	9 (20:50)	0	0	0	0	0
Aller	Asturias	4.6 (16:00)	-2.6 (09:00)	1	13 (09:10)	8 (23:50)	0	0	0	0	0
Mieres	Asturias	11.2 (15:10)	-0.2 (09:00)	5,5	14 (15:30)	5 (15:50)	0	0	0	0	0
Oviedo	Asturias	9.4 (16:40)	1.0 (09:20)	5,2	13 (09:00)	10 (09:10)	0	0	0	0	0
Tineo, Soto de la Barca	Asturias	9.8 (15:40)	0.5 (10:20)	5,2	14 (10:30)	8 (23:30)	2,2	1	0,8	0,4	0
Pola de Somiedo	Asturias	8.8 (14:30)	-3.8 (07:10)	2,5	14 (14:40)	7 (14:50)	0	0	0	0	0
Salas	Asturias	11.1 (14:50)	0.9 (08:40)	6	11 (15:40)	7 (13:50)	0	0	0	0	0
Cabo Busto	Asturias	12.9 (14:30)	2.9 (08:40)	7,9	31 (09:20)	23 (08:50)	0	0	0	0	0
Degaña	Asturias	7.9 (12:50)	-4.0 (08:20)	2	12 (12:40)	8 (08:20)	0	0	0	0	0
Ibias, San Antolin	Asturias	7.1 (16:20)	-3.2 (08:50)	1,9	15 (19:50)	12 (20:00)	0	0	0	0	0
Villayón, Oneta	Asturias	8.8 (14:30)	1.4 (07:10)	5,1	16 (17:10)	12 (17:10)	0,2	0,2	0	0	0
Taramundi, Ouria	Asturias	8.5 (14:50)	1.7 (08:40)	5,1	19 (13:50)	15 (14:20)	0	0	0	0	0
Puerto de Leitariegos	Asturias				27 (02:00)	21 (14:10)					
Ávila	Ávila	6.7 (16:00)	-4.4 (07:40)	1,1	15 (16:20)	10 (12:50)	0	0	0	0	0
Gotarrendura	Ávila	6.8 (16:40)	-4.6 (07:10)	1,1	14 (13:10)	10 (14:40)	0	0	0	0	0
Arevalo	Ávila	8.1 (16:00)	-5.4 (08:30)	1,4	13 (14:20)	8 (14:20)	0	0	0	0	0
Navarredonda de Gredos	Ávila	9.6 (13:40)	-5.0 (08:30)	2,3	24 (16:20)	10 (12:30)	0	0	0	0	0
Barco de Avila	Ávila	12.4 (15:30)	-5.5 (08:40)	3,4	24 (17:20)	13 (15:00)	0	0	0	0	0
Puerto El Pico	Ávila	9.7 (16:40)	-5.5 (07:30)	2,1	34 (12:50)	25 (12:50)	0	0	0	0	0
Cebreros	Ávila	11.6 (14:40)	2.7 (02:00)	7,2	55 (05:40)	31 (13:10)	0	0	0	0	0
Sotillo de la Adrada	Ávila	17.8 (13:40)	7.1 (06:20)	12,4	56 (11:50)	25 (17:30)	0	0	0	0	0
Candeleda	Ávila	16.0 (16:10)	-1.5 (08:30)	7,3	14 (00:20)	10 (02:30)	0	0	0	0	0
Herrera del Duque	Badajoz				14 (17:00)	8 (17:00)	0	0	0	0	0
Peraleda del Zaucejo	Badajoz	16.3 (16:20)	-2.2 (07:50)	7	14 (17:30)	10 (17:30)	0	0	0	0	0
Castuera	Badajoz	15.1 (14:10)	4.3 (07:00)	9,7	14 (19:30)	10 (19:40)	0	0	0	0	0
Navalvillar de Pela	Badajoz	15.1 (17:00)	-1.7 (08:40)	6,7	16 (16:30)	13 (00:20)	0	0	0	0	0
Don Benito	Badajoz	16.0 (17:00)	0.3 (09:10)	8,2	13 (01:10)	9 (01:00)	0	0	0	0	0
Llerena	Badajoz	15.2 (16:20)	3.7 (07:50)	9,4	19 (01:50)	10 (03:30)	0	0	0	0	0
Villafranca de los Barros	Badajoz	15.2 (15:20)	-2.2 (08:20)	6,5	15 (15:30)	10 (18:00)	0	0	0	0	0
Mérida	Badajoz	18.6 (16:20)	-0.3 (07:20)	9,2	12 (00:10)	6 (08:10)	0	0	0	0	0
Zafra	Badajoz	15.1 (14:20)	-1.2 (08:30)	7	16 (15:30)	12 (15:20)	0	0	0	0	0
Almendralejo	Badajoz	14.7 (16:30)	1.1 (08:20)	7,9	18 (17:10)	11 (00:10)	0	0	0	0	0
Badajoz Aeropuerto	Badajoz	17.1 (17:10)	0.7 (09:10)	8,9	16 (01:40)	13 (01:40)	0	0	0	0	0
Alburquerque	Badajoz	17.5 (16:50)	3.9 (05:40)	10,7	31 (00:10)	19 (01:10)	0	0	0	0	0
Puebla de Obando	Badajoz	16.1 (18:10)	2.8 (08:40)	9,5	27 (01:00)	19 (01:00)	0	0	0	0	0
Badajoz	Badajoz	17.7 (17:00)	-0.3 (09:00)	8,7	14 (14:50)	8 (14:50)	0	0	0	0	0
Olivenza	Badajoz	15.4 (15:50)	4.6 (05:20)	10	23 (04:30)	20 (04:30)	0	0	0	0	0
Alconchel	Badajoz	16.3 (16:00)	2.6 (08:40)	9,4	22 (02:00)	17 (02:00)	0	0	0	0	0
Barcarrota	Badajoz	15.3 (13:50)	0.9 (08:30)	8,1	18 (16:00)	10 (16:10)	0	0	0	0	0
Villanueva del Fresno	Badajoz	16.0 (15:00)	3.8 (08:00)	9,9	27 (15:30)	18 (15:20)	0	0	0	0	0
Monesterio	Badajoz	15.0 (15:00)	3.5 (07:10)	9,3	20 (00:10)	12 (00:10)	0	0	0	0	0
Fuente de Cantos	Badajoz	16.1 (15:40)	5.1 (06:30)	10,6	21 (19:00)	15 (19:00)	0	0	0	0	0
Jerez de los Caballeros	Badajoz	17.9 (16:20)	-0.9 (08:30)	8,5	31 (18:50)	23 (18:50)	0	0	0	0	0
Fregenal de la Sierra	Badajoz	17.4 (14:40)	-1.1 (07:40)	8,1	16 (15:00)	10 (15:00)	0	0	0	0	0
Azuaga	Badajoz	15.9 (15:20)	2.6 (06:50)	9,2	18 (20:10)	11 (21:30)	0	0	0	0	0
Pontons	Barcelona	9.5 (15:10)	0.7 (06:00)	5,1	32 (05:20)	25 (09:50)	0	0	0	0	0
