España											
Actualizado: sábado, 07 enero 2017 a las 14:00 hora oficial											
Fecha: viernes, 06 enero 2017											
											
Estación	Provincia	Temperatura máxima (ºC)	Temperatura mínima (ºC)	Temperatura media (ºC)	Racha (km/h)	Velocidad máxima (km/h)	Precipitación 00-24h (mm)	Precipitación 00-06h (mm)	Precipitación 06-12h (mm)	Precipitación 12-18h (mm)	Precipitación 18-24h (mm)
Estaca de Bares	A Coruña	11.0 (00:10)	8.9 (09:00)	9,9	62 (08:20)	48 (15:00)	0	0	0	0	0
As Pontes	A Coruña	8.9 (14:50)	0.0 (07:30)	4,4			0	0	0	0	0
A Coruña	A Coruña	14.6 (15:10)	6.5 (07:20)	10,6	19 (19:50)	10 (19:50)	0	0	0	0	0
A Coruña Aeropuerto	A Coruña	15.3 (15:40)	1.2 (09:10)	8,3	26 (15:00)	11 (03:30)	0	0	0	0	0
Carballo, Depuradora	A Coruña										
Cabo Vilan	A Coruña	13.4 (15:00)	7.5 (08:50)	10,4	30 (21:40)	22 (17:40)	0	0	0	0	0
Vimianzo	A Coruña	17.0 (16:30)	5.7 (01:00)	11,3			0	0	0	0	0
Fisterra	A Coruña	13.3 (20:20)	10.3 (07:20)	11,8	30 (00:10)	21 (00:10)	0	0	0	0	0
Mazaricos	A Coruña	14.0 (16:10)	3.3 (09:00)	8,6			0	0	0	0	0
Sobrado	A Coruña	14.7 (15:30)	-1.6 (09:30)	6,5			0	0	0	0	0
Santiago de Compostela Aeropuerto	A Coruña	15.4 (16:20)	4.6 (22:20)	10	13 (00:20)	6 (04:40)	0	0	0	0	0
Noia	A Coruña	15.7 (15:40)	6.8 (04:30)	11,3	17 (11:40)	7 (23:59)					
Boiro	A Coruña	16.6 (16:00)	2.8 (09:20)	9,7			0	0	0	0	0
Padrón	A Coruña	15.4 (16:10)	0.8 (09:40)	8,1	26 (10:20)	21 (06:00)	0	0	0	0	0
Santiago de Compostela	A Coruña	17.0 (16:00)	4.3 (09:30)	10,7	16 (06:40)	9 (06:40)	0	0	0	0	0
Rois, Casas do Porto	A Coruña	16.0 (17:20)	5.1 (10:20)	10,5			0	0	0	0	0
Ossa de Montiel	Albacete	16.3 (13:30)	-3.5 (08:30)	6,4	15 (16:00)	7 (16:30)	0	0	0	0	0
Villarrobledo	Albacete	10.9 (16:20)	-4.3 (07:20)	3,3	30 (12:40)	18 (13:50)	0	0	0	0	0
Yeste, Embalse Fuensanta	Albacete	14.1 (16:20)	-1.6 (08:30)	6,3			0	0	0	0	0
Yeste	Albacete	11.3 (15:40)	0.2 (07:50)	5,8			0	0	0	0	0
Hellín	Albacete	12.8 (15:40)	3.9 (02:50)	8,4	19 (15:30)	9 (13:40)	0	0	0	0	0
Tobarra	Albacete	12.7 (16:10)	2.0 (03:30)	7,3			0	0	0	0	0
Chinchilla	Albacete	10.8 (14:40)	-1.4 (06:50)	4,7	29 (13:20)	19 (13:20)	0	0	0	0	0
Albacete	Albacete	10.6 (16:30)	-2.8 (08:00)	3,9	19 (14:30)	8 (15:40)	0	0	0	0	0
