España											
Actualizado: viernes, 16 enero 2015 a las 09:00 hora oficial											
Fecha: jueves, 15 enero 2015											
											
Estación	Provincia	Temperatura máxima (ºC)	Temperatura mínima (ºC)	Temperatura media (ºC)	Racha (km/h)	Velocidad máxima (km/h)	Precipitación 00-24h (mm)	Precipitación 00-06h (mm)	Precipitación 06-12h (mm)	Precipitación 12-18h (mm)	Precipitación 18-24h (mm)
Leza	Araba/Álava	8.6 (21:50)	1.0 (04:30)	4,8			0	0	0	0	0
Campezo/Kanpezu	Araba/Álava	7.6 (21:50)	-0.6 (02:50)	3,5			1,4	0	0	0	1,4
Cabrales	Asturias	14.6 (07:50)	4.6 (23:00)	9,6	104 (11:00)	62 (11:20)	6	0	0	1,2	4,8
Llanes	Asturias	13.4 (11:40)	7.8 (01:10)	10,6	55 (13:40)	26 (13:40)	15,8	0	0	8,2	7,6
Amieva, Panizales	Asturias	12.9 (01:50)	5.4 (23:30)	9,1	91 (03:10)	43 (01:10)	6,6	0	0	0,2	6,4
Piloña	Asturias	15.0 (12:10)	4.6 (23:40)	9,8	54 (07:30)	22 (09:30)	8,6	0	0	3,2	5,4
Colunga	Asturias	16.5 (12:30)	6.8 (03:40)	11,7	36 (13:10)	18 (13:10)	8,8	0	0	3,6	5,2
Gijón, Campus	Asturias	15.9 (12:00)	4.8 (23:59)	10,3	45 (12:40)	24 (12:40)	11,2	0	0	7,2	4
Cabo Peñas	Asturias				86 (12:10)	42 (12:00)					
Asturias Aeropuerto	Asturias							0	0		2,4
Puerto de Pajares	Asturias	1.2 (14:30)	-2.0 (23:50)	-0,4	72 (07:10)	42 (03:40)	5,8	0	0	5	0,8
Pola de Lena	Asturias	12.6 (13:00)	5.0 (23:30)	8,8	62 (07:00)	32 (10:30)	3,6	0	0	2,8	0,8
Aller	Asturias	10.3 (03:30)	3.6 (23:50)	7	53 (00:10)	21 (00:10)	2,2	0	0	0,6	1,6
Mieres	Asturias	15.3 (12:40)	4.0 (23:30)	9,7	54 (12:30)	17 (09:40)	5	0	0	2,2	2,8
Oviedo	Asturias	13.6 (12:00)	4.5 (23:59)	9,1	47 (11:50)	21 (07:10)	8,8	0	0	5,6	3,2
Tineo, Soto de la Barca	Asturias							0		12,2	0,4
Pola de Somiedo	Asturias	10.7 (11:00)	0.8 (23:59)	5,7	80 (04:20)	36 (06:20)	6,2	0	0,2	4,4	1,6
Salas	Asturias	15.8 (11:30)	5.4 (21:30)	10,6	56 (11:30)	31 (11:30)	7,2	0	0	6,2	1
Cabo Busto	Asturias	15.8 (10:20)	7.9 (22:10)	11,9	105 (12:30)	59 (12:10)	11,2	0	0,2	11	0
Degaña	Asturias	3.7 (10:40)	-2.4 (23:59)	0,6	47 (11:00)	19 (00:20)	15,8	0	2	13,6	0,2
Ibias, San Antolin	Asturias							0			0,8
Villayón, Oneta	Asturias							0			0
Taramundi, Ouria	Asturias	11.4 (09:20)	4.5 (23:10)	7,9	118 (03:20)	77 (03:20)	17,8	0	3,6	14,2	0
Puerto de Leitariegos	Asturias	2.1 (11:00)	-3.0 (23:10)	-0,5	114 (06:50)	58 (07:20)	10,2	0	0,6	8	1,6
Ávila	Ávila	8.2 (12:20)	3.1 (00:00)	5,6	55 (18:10)	33 (18:10)	0,4	0	0	0	0,4
Gotarrendura	Ávila	10.0 (12:20)	-2.6 (08:40)	3,7	41 (23:30)	24 (17:20)	0	0	0	0	0
Arevalo	Ávila	10.1 (16:30)	-1.8 (06:00)	4,2	45 (16:40)	29 (17:30)	1	0	0	0	1
