España											
Actualizado: lunes, 19 enero 2015 a las 09:00 hora oficial											
Fecha: domingo, 18 enero 2015											
											
Estación	Provincia	Temperatura máxima (ºC)	Temperatura mínima (ºC)	Temperatura media (ºC)	Racha (km/h)	Velocidad máxima (km/h)	Precipitación 00-24h (mm)	Precipitación 00-06h (mm)	Precipitación 06-12h (mm)	Precipitación 12-18h (mm)	Precipitación 18-24h (mm)
Estaca de Bares	A Coruña	9.6 (14:40)	6.6 (00:00)	8,1	105 (21:00)	64 (22:40)	7,8	0,6	0,2	7	0
As Pontes	A Coruña	7.0 (15:20)	2.7 (22:20)	4,9			24	0	6,4	12,2	5,4
A Coruña	A Coruña	9.7 (16:20)	7.2 (22:20)	8,4	78 (17:40)	54 (17:40)	8,8	0	1,6	6,8	0,4
A Coruña Aeropuerto	A Coruña										0,5
Carballo, Depuradora	A Coruña	9.3 (13:10)	6.9 (02:20)	8,1			14,2	0,2	1,6	12,2	0,2
Cabo Vilan	A Coruña	10.4 (13:50)	7.4 (23:40)	8,9	86 (22:40)	70 (22:40)	3,1	0,4	1,4	1,3	0
Vimianzo	A Coruña	9.0 (13:10)	4.6 (19:10)	6,8			10,4	2	1	5,2	2,2
Fisterra	A Coruña	9.4 (14:20)	6.1 (21:20)	7,7	119 (17:00)	75 (17:00)	7	3,2	1,8	2	0
Mazaricos	A Coruña	8.7 (13:30)	4.4 (19:10)	6,5							
Sobrado	A Coruña	6.5 (14:00)	1.0 (23:20)	3,8			13	0,2	2,4	7,8	2,6
Santiago de Compostela Aeropuerto	A Coruña										0,4
Noia	A Coruña	9.3 (14:50)	4.7 (21:30)	7	41 (00:40)	15 (00:40)	6,8	0,6	2,8	2	1,4
Monte Iroite	A Coruña	7.2 (13:50)	1.8 (19:30)	4,5	71 (18:40)	40 (00:50)	4	0,2	1,7	1,8	0,3
Boiro	A Coruña	9.5 (15:10)	5.9 (23:59)	7,7			5,2	1	3	1	0,2
Padrón	A Coruña	9.7 (16:40)	5.1 (23:59)	7,4	57 (23:50)	21 (23:10)	8	0,3	1,5	5,8	0,4
Santiago de Compostela	A Coruña	8.5 (15:30)	4.4 (23:59)	6,5	39 (22:50)	10 (18:40)	9,3	0	0,8	7,9	0,6
Rois, Casas do Porto	A Coruña	8.5 (14:40)	4.6 (23:10)	6,5			7,8	1,8	2,4	3,2	0,4
