España											
Actualizado: viernes, 02 enero 2015 a las 09:00 hora oficial											
Fecha: jueves, 01 enero 2015											
											
Estación	Provincia	Temperatura máxima (ºC)	Temperatura mínima (ºC)	Temperatura media (ºC)	Racha (km/h)	Velocidad máxima (km/h)	Precipitación 00-24h (mm)	Precipitación 00-06h (mm)	Precipitación 06-12h (mm)	Precipitación 12-18h (mm)	Precipitación 18-24h (mm)
Estaca de Bares	A Coruña	14.9 (14:50)	7.9 (05:40)	11,4	31 (17:50)	26 (17:50)	0	0	0	0	0
As Pontes	A Coruña	12.5 (14:50)	-2.1 (06:20)	5,2							
A Coruña	A Coruña	14.3 (15:20)	4.1 (09:20)	9,2	17 (04:40)	12 (23:50)	0	0	0	0	0
A Coruña Aeropuerto	A Coruña	15.2 (15:10)	-0.3 (06:10)	7,4	26 (16:10)	13 (04:00)	0	0	0	0	0
Carballo, Depuradora	A Coruña	15.4 (16:20)	-3.3 (09:10)	6			0	0	0	0	0
Cabo Vilan	A Coruña	13.5 (15:00)	6.7 (08:40)	10,1	18 (05:30)	16 (05:30)	0	0	0	0	0
Vimianzo	A Coruña	14.0 (15:30)	-0.3 (05:00)	6,8							
Fisterra	A Coruña	13.2 (17:00)	8.6 (10:00)	10,9	21 (05:10)	16 (04:50)	0	0	0	0	0
Mazaricos	A Coruña	12.0 (16:50)	-1.1 (09:50)	5,4							
Sobrado	A Coruña	16.3 (15:40)	-4.1 (08:30)	6,1			0	0	0	0	0
Santiago de Compostela Aeropuerto	A Coruña	16.9 (16:10)	-1.1 (06:20)	7,9	13 (03:20)	10 (03:30)	0	0	0	0	0
Noia	A Coruña	13.2 (14:10)	3.2 (06:10)	8,2	11 (07:50)	4 (07:50)	0,2	0	0	0,2	0
Monte Iroite	A Coruña	15.3 (15:30)	7.2 (04:10)	11,3	14 (05:30)	11 (05:30)	0	0	0	0	0
Boiro	A Coruña	12.8 (16:50)	-0.9 (08:40)	6			0	0	0	0	0
Padrón	A Coruña	15.0 (16:50)	-1.4 (09:30)	6,8	33 (09:10)	25 (09:10)	0	0	0	0	0
Santiago de Compostela	A Coruña	15.2 (16:10)	0.3 (09:00)	7,7	13 (03:10)	5 (03:40)	0	0	0	0	0
Rois, Casas do Porto	A Coruña	13.7 (16:50)	2.4 (08:00)	8			0	0	0	0	0
Ossa de Montiel	Albacete	14.6 (15:20)	-6.5 (06:30)	4,1	19 (10:30)	10 (10:30)	0	0	0	0	0
Villarrobledo	Albacete				21 (13:00)	11 (12:10)	0	0	0	0	0
Munera	Albacete	10.6 (15:20)	-7.9 (08:30)	1,4	27 (10:40)	14 (10:40)	0	0	0	0	0
Yeste, Embalse Fuensanta	Albacete	14.0 (16:30)	-2.9 (09:00)	5,5			0	0	0	0	0
Yeste	Albacete	11.1 (15:40)	-1.1 (08:00)	5			0	0	0	0	0
Hellín	Albacete	11.6 (16:40)	1.6 (08:40)	6,6	39 (01:20)	24 (01:20)	0	0	0	0	0
Tobarra	Albacete	11.9 (16:00)	-0.3 (08:50)	5,8			0	0	0	0	0
Chinchilla	Albacete	10.6 (15:40)	-1.9 (06:30)	4,4		22 (00:10)	0	0	0	0	0
Albacete	Albacete	12.4 (15:30)	-3.5 (07:50)	4,4	14 (14:00)	4 (13:40)	0	0	0	0	0
Alcalá del Júcar	Albacete	10.5 (15:40)	-3.7 (07:50)	3,4	15 (15:50)	8 (15:50)	0	0	0	0	0
Almansa	Albacete	11.6 (15:20)	-4.2 (05:00)	3,7	14 (22:50)	6 (12:30)	0	0	0	0	0
Orihuela	Alacant/Alicante	14.3 (14:10)	1.9 (05:00)	8,1	15 (00:50)	7 (11:20)	0	0	0	0	0
Pinoso	Alacant/Alicante	12.1 (15:30)	-4.7 (07:50)	3,7	16 (07:00)	8 (15:40)	0	0	0	0	0
Rojales	Alacant/Alicante	14.8 (15:00)	5.7 (08:00)	10,3	15 (15:50)	9 (15:40)	0	0	0	0	0
Villena	Alacant/Alicante	13.2 (15:10)	-4.3 (05:50)	4,4	15 (02:40)	12 (02:20)	0	0	0	0	0
Novelda	Alacant/Alicante	15.5 (14:10)	3.0 (08:20)	9,3			0	0	0	0	0
Elche/Elx	Alacant/Alicante	16.3 (15:00)	4.0 (23:40)	10,1			0	0	0	0	0
Alicante/Alacant Aeropuerto	Alacant/Alicante							0			0
Alicante/Alacant	Alacant/Alicante	16.0 (14:20)	3.2 (08:30)	9,6	17 (15:00)	10 (14:50)	0	0	0	0	0
Benidorm	Alacant/Alicante	15.3 (13:00)	7.2 (22:50)	11,3			0	0	0	0	0
Jávea/ Xàbia	Alacant/Alicante	15.5 (15:20)	2.2 (01:10)	8,9	23 (07:40)	12 (00:20)	0	0	0	0	0
Pego	Alacant/Alicante	16.0 (13:40)	6.3 (00:30)	11,2	16 (13:50)	9 (14:50)	0	0	0	0	0
Alcoy/Alcoi	Alacant/Alicante	14.7 (16:20)	2.2 (03:40)	8,4	23 (20:50)	14 (20:40)	0	0	0	0	0
Vélez Blanco	Almería	10.1 (16:30)	-2.3 (06:30)	3,9			0	0	0	0	0
Adra	Almería	16.3 (11:50)	9.0 (07:20)	12,6	32 (13:50)	19 (14:30)	0	0	0	0	0
El Ejido	Almería	16.5 (14:50)	6.4 (06:50)	11,5			0	0	0	0	0
Roquetas de Mar	Almería	17.1 (14:10)	3.5 (05:10)	10,3	53 (11:10)	33 (12:10)	0	0	0	0	0
Abla	Almería	12.2 (13:50)	2.6 (08:50)	7,4	28 (12:20)	14 (11:50)	0	0	0	0	0
Láujar de Andarax	Almería	9.6 (15:20)	-0.3 (22:10)	4,7	36 (01:30)	20 (02:30)	0	0	0	0	0
Almería Aeropuerto	Almería	17.5 (13:20)	5.3 (05:10)	11,4	42 (11:10)	31 (12:00)	0	0	0	0	0
Cabo de Gata	Almería	16.0 (11:40)	11.5 (03:50)	13,8	53 (08:40)	29 (15:50)	0	0	0	0	0
Garrucha, Puerto	Almería	14.8 (13:40)	7.6 (08:00)	11,2	28 (06:40)	17 (08:40)	0	0	0	0	0
Albox	Almería	13.9 (16:00)	3.2 (08:10)	8,5	47 (00:20)	35 (00:20)	0	0	0	0	0
Huercal Overa	Almería	17.2 (11:50)	2.3 (05:10)	9,8	17 (13:40)	10 (17:20)	0	0	0	0	0
Aramaio	Araba/Álava	12.6 (14:00)	1.1 (04:20)	6,9			0	0	0	0	0
Amurrio	Araba/Álava	10.5 (15:30)	-4.7 (09:00)	2,9	9 (16:40)	7 (16:50)	0	0	0	0	0
Lalastra	Araba/Álava	13.0 (15:40)	-3.2 (08:50)	4,9	12 (00:10)	6 (14:00)	0	0	0	0	0
Opakua	Araba/Álava	10.5 (16:00)	-3.0 (07:20)	3,8	18 (18:40)	13 (18:50)	0	0	0	0	0
Vitoria Gasteiz Aeropuerto	Araba/Álava	11.4 (16:30)	-6.4 (07:00)	2,5	8 (04:00)	5 (21:40)	0	0	0	0	0
Labastida	Araba/Álava	12.5 (15:30)	-1.4 (07:40)	5,6	23 (15:40)	13 (15:50)	0	0	0	0	0
Leza	Araba/Álava	12.5 (16:30)	-0.9 (08:40)	5,8			0	0	0	0	0
Campezo/Kanpezu	Araba/Álava	14.2 (15:10)	-1.4 (01:20)	6,4			0	0	0	0	0
Cabrales	Asturias	15.2 (14:40)	4.1 (05:30)	9,6	31 (02:00)	14 (16:30)	0	0	0	0	0
Llanes	Asturias	14.2 (14:40)	5.1 (08:10)	9,6	19 (00:10)	14 (22:50)	0	0	0	0	0
Amieva, Panizales	Asturias	15.0 (15:00)	2.2 (08:40)	8,6	14 (19:30)	6 (16:00)	0	0	0	0	0
Piloña	Asturias							0			
Colunga	Asturias	12.9 (12:40)	2.7 (23:00)	7,8	20 (23:40)	13 (05:10)	0	0	0	0	0
Gijón, Campus	Asturias	14.6 (15:40)	-1.8 (08:20)	6,4	11 (07:20)	10 (07:20)	0	0	0	0	0
Cabo Peñas	Asturias				23 (21:30)	18 (22:00)					
Asturias Aeropuerto	Asturias	14.6 (14:40)	3.2 (08:20)	8,9	28 (04:40)	18 (04:40)	0	0	0	0	0
Puerto de Pajares	Asturias								0	0	0
Pola de Lena	Asturias	12.1 (15:30)	-1.9 (08:30)	5,1	15 (18:30)	9 (18:30)	0	0	0	0	0
Aller	Asturias	11.7 (13:10)	0.8 (02:20)	6,2	17 (14:00)	12 (14:00)	0	0	0	0	0
Mieres	Asturias	13.2 (15:30)	-1.6 (08:50)	5,8	8 (15:00)	5 (15:00)	0	0	0	0	0
Oviedo	Asturias	14.1 (16:30)	1.8 (07:50)	8	14 (23:20)	13 (23:20)	0	0	0	0	0
Tineo, Soto de la Barca	Asturias	6.4 (14:40)	-3.0 (09:00)	1,7	6 (10:50)	4 (10:50)	0,2	0	0,2	0	0
Pola de Somiedo	Asturias	13.8 (14:10)	-1.1 (05:30)	6,4	8 (15:00)	5 (15:00)	0	0	0	0	0
Salas	Asturias	15.4 (16:20)	1.0 (08:00)	8,2	8 (03:30)	5 (09:50)	0	0	0	0	0
Cabo Busto	Asturias	13.9 (15:30)	3.7 (06:40)	8,8	34 (08:20)	26 (00:20)	0	0	0	0	0
Degaña	Asturias							0	0		0
Ibias, San Antolin	Asturias	14.9 (15:30)	2.3 (06:50)	8,6	14 (12:10)	9 (12:10)	0	0	0	0	0
Villayón, Oneta	Asturias	13.8 (15:20)	4.3 (08:40)	9,1	21 (08:10)	13 (08:10)	0	0	0	0	0
Taramundi, Ouria	Asturias	14.1 (16:10)	3.3 (01:40)	8,7	23 (07:20)	18 (15:00)	0	0	0	0	0
Puerto de Leitariegos	Asturias	10.1 (13:50)	1.2 (06:40)	5,7	17 (17:40)	13 (15:20)	0	0	0	0	0
Ávila	Ávila	10.4 (15:00)	-5.0 (08:40)	2,7	15 (16:50)	11 (16:10)	0	0	0	0	0
Gotarrendura	Ávila	10.1 (17:00)	-4.8 (06:50)	2,7	13 (08:40)	9 (08:40)	0	0	0	0	0
Arevalo	Ávila	10.2 (16:00)	-6.7 (08:40)	1,8	14 (17:30)	10 (17:30)	0	0	0	0	0
Rivilla de Barajas	Ávila										
Navarredonda de Gredos	Ávila	11.8 (14:20)	-3.0 (08:30)	4,4	23 (14:40)	9 (14:00)	0	0	0	0	0
Barco de Avila	Ávila	14.0 (16:20)	-5.7 (06:10)	4,2	21 (10:00)	14 (10:00)	0	0	0	0	0
Puerto El Pico	Ávila	14.0 (15:50)	-5.3 (23:20)	4,3	24 (12:30)	17 (12:40)	0	0	0	0	0
Cebreros	Ávila	14.1 (15:00)	5.5 (21:00)	9,8	45 (09:00)	23 (08:50)	0	0	0	0	0
Sotillo de la Adrada	Ávila	18.0 (15:10)	0.0 (23:59)	9	34 (00:50)	12 (00:10)	0	0	0	0	0
Candeleda	Ávila	15.0 (16:20)	-3.7 (06:40)	5,6	14 (19:50)	10 (19:50)	0	0	0	0	0
Herrera del Duque	Badajoz	15.6 (17:00)	-3.6 (09:00)	6	12 (12:00)	8 (19:00)	0	0	0	0	0
Peraleda del Zaucejo	Badajoz	12.7 (15:40)	-4.6 (08:00)	4	26 (13:10)	15 (14:30)	0	0	0	0	0
Castuera	Badajoz	13.6 (13:50)	2.9 (09:20)	8,3	32 (14:20)	18 (14:50)	0	0	0	0	0
Navalvillar de Pela	Badajoz	13.9 (15:00)	-3.3 (07:20)	5,3	16 (10:50)	11 (10:50)	0	0	0	0	0
Don Benito	Badajoz	13.7 (16:30)	-2.6 (08:40)	5,5	13 (14:40)	8 (20:20)	0	0	0	0	0
Llerena	Badajoz	13.0 (15:30)	2.4 (07:10)	7,7	39 (14:20)	25 (13:20)	0	0	0	0	0
Villafranca de los Barros	Badajoz	15.8 (15:10)	-4.1 (07:40)	5,9	21 (16:00)	13 (16:00)	0	0	0	0	0
Mérida	Badajoz	14.3 (16:20)	-2.3 (07:50)	6	27 (04:20)	12 (09:50)	0	0	0	0	0
Zafra	Badajoz	16.6 (15:50)	-2.7 (06:40)	7	17 (16:40)	10 (14:50)	0	0	0	0	0
Almendralejo	Badajoz	13.9 (15:10)	-0.9 (08:00)	6,5	15 (19:40)	11 (08:00)	0	0	0	0	0
Badajoz Aeropuerto	Badajoz	14.3 (17:40)	-2.9 (08:30)	5,7	17 (13:20)	12 (13:30)	0	0	0	0	0
Alburquerque	Badajoz	14.8 (16:20)	-3.8 (09:10)	5,5	17 (13:50)	10 (14:00)	0	0	0	0	0
Puebla de Obando	Badajoz	14.3 (15:10)	1.0 (06:30)	7,7	20 (15:50)	13 (16:00)	0	0	0	0	0
Badajoz	Badajoz	13.6 (16:20)	-4.0 (07:30)	4,8	16 (15:10)	10 (16:00)	0	0	0	0	0
Olivenza	Badajoz	12.3 (15:50)	-1.7 (08:40)	5,3	21 (14:10)	15 (04:50)	0	0	0	0	0
Alconchel	Badajoz	13.0 (15:20)	-1.6 (09:10)	5,7	22 (17:30)	15 (17:00)	0	0	0	0	0
Barcarrota	Badajoz	16.7 (15:50)	-0.5 (07:20)	8,1	13 (05:40)	9 (05:40)	0	0	0	0	0
Villanueva del Fresno	Badajoz	16.7 (16:00)	-0.2 (05:30)	8,3	22 (22:00)	18 (22:00)	0	0	0	0	0
Monesterio	Badajoz	12.9 (15:20)	1.7 (04:50)	7,3	29 (16:00)	18 (16:00)	0	0	0	0	0
Fuente de Cantos	Badajoz							0	0		
Jerez de los Caballeros	Badajoz	15.5 (15:30)	-2.6 (07:30)	6,5	31 (15:10)	22 (14:20)	0	0	0	0	0
Fregenal de la Sierra	Badajoz	15.1 (13:40)	-3.1 (06:20)	6	23 (16:40)	13 (14:00)	0	0	0	0	0
Azuaga	Badajoz	13.6 (15:30)	0.6 (07:20)	7,1	26 (13:10)	16 (13:00)	0	0	0	0	0
Pontons	Barcelona	9.6 (15:10)	-1.1 (22:00)	4,3	37 (12:10)	22 (12:10)	0	0	0	0	0
Vilafranca del Penedès	Barcelona	11.7 (15:30)	0.0 (02:00)	5,8	22 (14:20)	13 (13:50)					
Sitges	Barcelona	12.7 (14:50)	4.0 (08:10)	8,3	30 (03:00)	14 (03:00)	0	0	0	0	0
Barcelona Aeropuerto	Barcelona	12.5 (12:50)	2.9 (04:40)	7,7	32 (13:40)	24 (15:00)	0	0	0	0	0
Berga	Barcelona	8.0 (16:20)	-1.8 (08:30)	3,1	15 (22:00)	9 (14:00)	0	0	0	0	0
Balsareny	Barcelona										
Prat de Lluçanès	Barcelona							0	0		
Moià	Barcelona	8.2 (16:10)	-0.1 (01:20)	4	24 (14:20)	16 (14:20)	0	0	0	0	0
Manresa	Barcelona	11.7 (16:20)	-3.3 (05:00)	4,2	22 (16:20)	7 (18:40)	0	0	0	0	0
Monistrol de Montserrat	Barcelona	6.9 (14:40)	0.3 (07:40)	3,6			0	0	0	0	0
Igualada	Barcelona	11.9 (15:10)	-2.1 (04:20)	4,9	15 (15:50)	6 (18:40)	0	0	0	0	0
Corbera, Pic d'Agulles	Barcelona	9.3 (14:30)	0.4 (05:30)	4,9			0	0	0	0	0
Barcelona	Barcelona	14.2 (14:00)	6.4 (01:20)	10,3	48 (03:40)	39 (03:30)	0	0	0	0	0
Barcelona, Museo Marítimo	Barcelona	13.2 (14:20)	6.2 (08:10)	9,7	28 (03:30)	12 (15:40)	0	0	0	0	0
Caldes de Montbui	Barcelona	13.0 (15:40)	-1.0 (04:10)	6	22 (13:10)	13 (13:40)	0	0	0	0	0
Sabadell Aeropuerto	Barcelona							0	0	0	
Arenys de Mar	Barcelona	13.5 (13:40)	2.6 (08:10)	8	26 (04:00)	11 (14:20)					
Santa Susana	Barcelona	12.4 (15:50)	1.7 (23:40)	7	22 (05:50)	13 (14:50)	0	0	0	0	0
Fogars de Montclús	Barcelona	9.5 (13:30)	0.6 (02:50)	5,1			0	0	0	0	0
Sant Julià  de Vilatorta	Barcelona	8.3 (16:00)	-5.2 (08:20)	1,6	10 (03:20)	6 (13:30)	0	0	0	0	0
Lekeitio	Bizkaia										
Forua	Bizkaia	14.0 (16:00)	-1.1 (04:30)	6,4	14 (08:10)	10 (20:50)	0,2	0	0	0,2	0
Machichaco	Bizkaia				27 (16:40)	15 (16:40)	0	0	0	0	0
Punta Galea	Bizkaia	13.8 (14:50)	1.1 (07:20)	7,5	22 (05:50)	15 (05:50)	0	0	0	0	0
Orozko	Bizkaia	12.2 (15:10)	-2.2 (08:00)	5	12 (16:20)	7 (15:40)	0	0	0	0	0
Abadiño	Bizkaia	11.7 (14:20)	2.0 (08:00)	6,8			0	0	0	0	0
Amorebieta--Etxano	Bizkaia	13.8 (15:00)	-3.1 (08:10)	5,4	14 (18:00)	8 (21:30)	0,2	0	0,2	0	0
Balmaseda	Bizkaia	12.7 (14:40)	-3.6 (08:50)	4,5			0,2	0	0,2	0	0
Güeñes	Bizkaia	12.9 (16:00)	-2.2 (09:20)	5,3	9 (12:50)	5 (12:50)	0	0	0	0	0
Bilbao Aeropuerto	Bizkaia	15.8 (15:40)	-1.3 (07:50)	7,3	17 (00:50)	13 (00:50)	0	0	0	0	0
Coruña del Conde	Burgos	7.9 (16:30)	-6.3 (08:50)	0,8	13 (14:20)	9 (18:00)	0	0	0	0	0
