España											
Actualizado: miércoles, 22 enero 2014 a las 09:00 hora oficial											
Fecha: martes, 21 enero 2014											
											
Estación	Provincia	Temperatura máxima (ºC)	Temperatura mínima (ºC)	Temperatura media (ºC)	Racha (km/h)	Velocidad máxima (km/h)	Precipitación 00-24h (mm)	Precipitación 00-06h (mm)	Precipitación 06-12h (mm)	Precipitación 12-18h (mm)	Precipitación 18-24h (mm)
Estaca de Bares	A Coruña	13.5 (12:30)	8.9 (00:10)	11,2	85 (13:00)	63 (13:10)	0,6	0,2	0	0,2	0,2
As Pontes	A Coruña	10.4 (15:20)	6.7 (00:00)	8,5					0,4	5,4	1,8
A Coruña	A Coruña	13.1 (14:40)	9.0 (00:30)	11,1	47 (10:50)	22 (10:50)	4,8	0	0,2	2,8	1,8
A Coruña Aeropuerto	A Coruña	13.1 (15:40)	8.1 (01:10)	10,6	54 (10:30)	30 (10:00)	2,3	0	0,3	1,2	0,8
Carballo, Depuradora	A Coruña	12.1 (13:00)	7.6 (00:00)	9,9			0	0	0	0	0
Cabo Vilan	A Coruña	12.2 (13:50)	9.3 (00:00)	10,8	58 (10:10)	41 (10:20)	13,9	1	2,2	10,1	0,6
Vimianzo	A Coruña	10.9 (14:20)	7.5 (00:00)	9,2			12	0,2	1,8	6,6	3,4
Fisterra	A Coruña	11.9 (13:40)	8.8 (00:00)	10,3	69 (10:50)	48 (12:50)	13,2	0,8	7	5,4	0
Mazaricos	A Coruña	10.4 (14:20)	7.4 (00:00)	8,9			0	0	0	0	0
Sobrado	A Coruña	9.0 (15:00)	5.1 (00:00)	7			5,6	0,2	0,6	4,4	0,4
Santiago de Compostela Aeropuerto	A Coruña								0,2	4,6	0
Noia	A Coruña	11.5 (16:20)	7.8 (00:00)	9,7	40 (14:10)	15 (14:10)	8	0,6	4	2,8	0,6
Boiro	A Coruña	11.9 (17:10)	7.4 (00:20)	9,6			22	1,4	11	9,6	0
Padrón	A Coruña										
Santiago de Compostela	A Coruña	11.0 (16:30)	7.4 (00:00)	9,2	24 (14:50)	5 (12:00)	6,7	0,1	0,2	6,2	0,2
Rois, Casas do Porto	A Coruña							0	0	0	
Ossa de Montiel	Albacete	6.3 (15:10)	3.3 (07:30)	4,8	33 (21:10)	19 (21:30)	0,4	0	0	0	0,4
Villarrobledo	Albacete				36 (17:20)	18 (17:40)	0,6	0	0	0	0,6
Munera	Albacete	6.6 (15:50)	3.3 (00:30)	4,9	35 (16:10)	17 (22:50)	0	0	0	0	0
Yeste, Embalse Fuensanta	Albacete	10.8 (16:10)	0.5 (08:40)	5,7			0	0	0	0	0
Yeste	Albacete	7.5 (16:30)	1.2 (06:40)	4,4			0	0	0	0	0
Hellín	Albacete	10.4 (12:40)	3.9 (05:40)	7,1	42 (12:40)	27 (13:50)	0	0	0	0	0
Tobarra	Albacete	10.6 (12:30)	4.1 (06:00)	7,4			0	0	0	0	0
Chinchilla	Albacete	6.4 (16:20)	2.1 (00:00)	4,3	51 (15:20)	34 (15:30)	0	0	0	0	0
Albacete	Albacete	9.0 (15:20)	4.2 (00:00)	6,6	35 (13:40)	17 (13:20)		0	0		0
Alcalá del Júcar	Albacete	7.9 (13:20)	1.1 (05:10)	4,5	39 (14:10)	23 (14:10)	0	0	0	0	0
Orihuela	Alacant/Alicante	15.6 (16:00)	4.3 (08:40)	10	37 (13:30)	20 (13:30)	0	0	0	0	0
Pinoso	Alacant/Alicante	11.5 (14:00)	2.6 (09:10)	7	42 (04:00)	18 (03:40)	0	0	0	0	0
Rojales	Alacant/Alicante	16.0 (16:00)	7.7 (07:50)	11,8	32 (14:30)	21 (02:50)	0	0	0	0	0
Villena	Alacant/Alicante	11.5 (15:10)	3.6 (08:20)	7,5	47 (16:20)	31 (16:20)	0	0	0	0	0
Novelda	Alacant/Alicante	14.9 (13:50)	8.2 (03:20)	11,5			0	0	0	0	0
Elche/Elx	Alacant/Alicante	17.2 (15:10)	5.9 (08:20)	11,6			0	0	0	0	0
Alicante/Alacant Aeropuerto	Alacant/Alicante	16.4 (14:30)	5.0 (08:00)	10,7	42 (16:50)	31 (17:20)	0	0	0	0	0
