España											
Actualizado: sábado, 25 enero 2014 a las 09:00 hora oficial											
Fecha: viernes, 24 enero 2014											
											
Estación	Provincia	Temperatura máxima (ºC)	Temperatura mínima (ºC)	Temperatura media (ºC)	Racha (km/h)	Velocidad máxima (km/h)	Precipitación 00-24h (mm)	Precipitación 00-06h (mm)	Precipitación 06-12h (mm)	Precipitación 12-18h (mm)	Precipitación 18-24h (mm)
Estaca de Bares	A Coruña	13.3 (13:20)	10.4 (08:20)	11,8	84 (16:00)	70 (15:30)	1	0	0	0	1
As Pontes	A Coruña	9.8 (14:30)	7.5 (00:30)	8,7			2,2	0	0,2	0,4	1,6
A Coruña	A Coruña	12.5 (14:10)	10.3 (05:30)	11,4	40 (15:40)	21 (15:00)	4,2	0	0,6	0	3,6
A Coruña Aeropuerto	A Coruña	13.0 (13:30)	9.2 (01:30)	11,1	35 (23:50)	19 (23:50)	2	0	0,4	0	1,6
Carballo, Depuradora	A Coruña	12.0 (14:20)	8.0 (00:30)	10			0	0	0	0	0
Cabo Vilan	A Coruña	11.8 (17:30)	10.0 (04:40)	10,9	36 (12:00)	28 (15:20)	2	0,2	0,3	0	1,5
Vimianzo	A Coruña	10.6 (23:20)	6.3 (00:00)	8,5			0	0	0	0	0
Fisterra	A Coruña	11.3 (23:10)	9.7 (05:50)	10,5			1,2	0	0,4	0	0,8
Mazaricos	A Coruña	10.3 (23:40)	7.0 (00:40)	8,7							
Sobrado	A Coruña	8.6 (14:50)	5.1 (00:00)	6,9			3,4	0	0,4	0,2	2,8
Santiago de Compostela Aeropuerto	A Coruña	9.6 (17:20)	6.8 (07:20)	8,2	30 (15:20)	19 (15:20)	0	0	0	0	0
Noia	A Coruña	11.3 (15:20)	7.3 (01:30)	9,3	17 (13:10)	6 (10:20)	1	0	0,6	0	0,4
Boiro	A Coruña	12.2 (16:50)	8.2 (02:20)	10,2			1	0	0,8	0,2	0
Padrón	A Coruña	12.0 (15:20)	8.5 (05:00)	10,3	20 (16:10)	12 (10:20)	0,2	0	0	0	0,2
Santiago de Compostela	A Coruña	10.6 (16:40)	8.2 (05:30)	9,4	14 (14:10)	4 (12:00)	0,7	0	0,1	0,1	0,5
Rois, Casas do Porto	A Coruña	10.8 (15:30)	8.2 (02:20)	9,5			0	0	0	0	0
Ossa de Montiel	Albacete	11.0 (15:20)	-1.1 (06:00)	4,9	27 (16:40)	11 (13:00)	0	0	0	0	0
Villarrobledo	Albacete				35 (22:20)	20 (23:00)	0	0	0	0	0
Munera	Albacete	11.0 (16:10)	-1.6 (00:00)	4,7	32 (16:10)	13 (13:40)	0	0	0	0	0
Yeste, Embalse Fuensanta	Albacete	14.5 (15:30)	1.2 (08:20)	7,9			0	0	0	0	0
Yeste	Albacete	12.5 (15:50)	2.7 (05:50)	7,6			0	0	0	0	0
Hellín	Albacete	14.0 (15:50)	5.8 (04:40)	9,9	51 (11:40)	31 (11:40)	0	0	0	0	0
Tobarra	Albacete	13.6 (15:00)	5.4 (08:50)	9,5			0	0	0	0	0
Chinchilla	Albacete	8.9 (15:40)	0.7 (02:30)	4,8	56 (12:50)	32 (19:20)	0	0	0	0	0
Albacete	Albacete	12.4 (15:20)	3.1 (07:00)	7,7	42 (15:30)	19 (21:40)	0	0	0	0	0
Alcalá del Júcar	Albacete	10.4 (16:00)	2.6 (02:10)	6,5	36 (22:30)	19 (16:30)	0	0	0	0	0
Orihuela	Alacant/Alicante	19.1 (16:20)	8.6 (02:30)	13,9	66 (20:50)	37 (21:40)	0	0	0	0	0
Pinoso	Alacant/Alicante	15.0 (15:40)	3.5 (05:20)	9,3	51 (11:40)	21 (11:00)	0	0	0	0	0
Rojales	Alacant/Alicante	18.7 (16:30)	9.2 (02:40)	14	54 (22:00)	37 (22:10)	0	0	0	0	0
Villena	Alacant/Alicante	15.7 (15:20)	2.5 (02:10)	9,1	63 (23:20)	42 (23:50)	0	0	0	0	0
Novelda	Alacant/Alicante	16.9 (16:00)	7.7 (00:50)	12,3			0	0	0	0	0
Elche/Elx	Alacant/Alicante	20.4 (15:10)	6.3 (00:00)	13,3			0	0	0	0	0
Alicante/Alacant Aeropuerto	Alacant/Alicante	19.1 (15:40)	7.0 (00:40)	13,1	61 (10:20)	43 (12:00)	0	0	0	0	0
Alicante/Alacant	Alacant/Alicante	19.9 (15:50)	6.5 (00:40)	13,2	48 (23:10)	22 (23:30)	0	0	0	0	0
Jávea/ Xàbia	Alacant/Alicante	20.1 (16:10)	5.5 (03:10)	12,8	58 (22:00)	28 (22:00)	0	0	0	0	0
Pego	Alacant/Alicante	19.3 (16:20)	8.8 (00:50)	14	57 (22:30)	32 (22:30)	0	0	0	0	0
Alcoy/Alcoi	Alacant/Alicante	16.2 (16:00)	5.3 (04:20)	10,8	64 (21:50)	30 (18:40)	0	0	0	0	0
Vélez Blanco	Almería	11.0 (16:10)	-0.7 (07:50)	5,2			0,4	0	0,2	0,2	0
Adra	Almería								0	0	0
El Ejido	Almería	17.4 (10:30)	8.0 (08:30)	12,7			0	0	0	0	0
Roquetas de Mar	Almería	15.9 (13:40)	3.2 (08:40)	9,5	53 (15:50)	35 (16:00)	0	0	0	0	0
Abla	Almería	15.0 (16:00)	3.1 (04:50)	9	29 (13:00)	14 (17:00)	0	0	0	0	0
Láujar de Andarax	Almería										
Almería Aeropuerto	Almería	16.1 (15:50)	9.3 (07:40)	12,7	42 (14:00)	33 (14:00)	0	0	0	0	0
Cabo de Gata	Almería	16.7 (12:30)	11.4 (05:10)	14,1	40 (17:10)	28 (18:20)	0	0	0	0	0
Garrucha, Puerto	Almería	19.7 (17:40)	9.5 (04:10)	14,6	39 (16:20)	32 (16:20)	0	0	0	0	0
Albox	Almería	18.3 (15:40)	6.7 (05:10)	12,5	64 (14:00)	48 (14:00)	0	0	0	0	0
Huercal Overa	Almería	19.2 (16:10)	6.9 (08:00)	13,1	58 (22:30)	36 (22:50)	0	0	0	0	0
Alborán	Almería										
Aramaio	Araba/Álava	9.3 (21:30)	5.7 (08:30)	7,5			31,6	0,4	0,2	15	16
Amurrio	Araba/Álava	11.5 (17:30)	7.6 (06:40)	9,5	38 (17:40)	20 (17:50)	15,2	0,2	0	6	9
Lalastra	Araba/Álava	8.4 (15:20)	3.7 (03:30)	6	48 (07:00)	24 (07:00)	6	0	0	1,6	4,4
Opakua	Araba/Álava	8.4 (23:00)	5.2 (05:40)	6,8	36 (00:20)	24 (00:20)	22,4	0,4	0,2	6,6	15,2
Vitoria Gasteiz Aeropuerto	Araba/Álava	11.3 (13:20)	6.0 (06:50)	8,7	52 (18:30)	31 (18:30)	18,6	0,2	0	9,3	9,1
Labastida	Araba/Álava	9.2 (20:00)	4.7 (09:10)	6,9	38 (13:50)	17 (11:20)	7,8	0	0,2	2	5,6
Leza	Araba/Álava	9.8 (21:50)	5.2 (09:10)	7,5			7,6	0	0	1,2	6,4
Campezo/Kanpezu	Araba/Álava	9.1 (13:40)	5.4 (07:20)	7,3			13,6	0,8	0	5,2	7,6
Cabrales	Asturias	12.3 (13:30)	6.4 (08:00)	9,4	72 (15:50)	40 (15:40)	1	0	0	0,2	0,8
Llanes	Asturias	16.0 (13:20)	11.2 (07:20)	13,6	60 (12:30)	28 (13:30)	0,2	0	0	0,2	0
Amieva, Panizales	Asturias	13.3 (15:10)	5.5 (07:40)	9,4	24 (15:40)	9 (15:40)	0,4	0	0	0,2	0,2
Piloña	Asturias	12.8 (14:00)	5.6 (08:10)	9,2	32 (16:30)	15 (15:00)	0,4	0	0	0,2	0,2
Colunga	Asturias	14.7 (13:40)	10.5 (06:40)	12,6	36 (12:20)	21 (12:40)	0,4	0	0	0,4	0
Gijón, Campus	Asturias	14.6 (14:20)	10.1 (04:40)	12,4	41 (19:40)	21 (20:00)	0	0	0	0	0
Cabo Peñas	Asturias										
Asturias Aeropuerto	Asturias	15.3 (13:50)	9.0 (05:00)	12,2	61 (18:30)	37 (18:30)	0	0	0	0	0
Puerto de Pajares	Asturias	4.7 (14:30)	-1.5 (05:30)	1,6	59 (17:50)	26 (17:40)	3,7	0	0	2,9	0,8
Pola de Lena	Asturias							0	0	0,2	
Aller	Asturias	9.4 (15:10)	1.7 (08:30)	5,5	22 (18:30)	12 (18:10)	6,6	0	0	3	3,6
Mieres	Asturias	15.1 (15:40)	4.0 (06:40)	9,6	39 (15:40)	15 (15:40)	0	0	0	0	0
Oviedo	Asturias	13.1 (14:20)	4.8 (07:30)	9	51 (16:10)	27 (14:00)	0	0	0	0	0
Tineo, Soto de la Barca	Asturias	12.5 (14:20)	6.1 (07:30)	9,3	15 (20:40)	8 (00:40)	0	0	0	0	0
Pola de Somiedo	Asturias	11.7 (14:40)	0.0 (06:50)	5,8	36 (12:30)	18 (17:10)	0	0	0	0	0
Salas	Asturias	12.8 (14:10)	7.8 (03:40)	10,3	43 (12:50)	24 (07:10)	0,4	0	0	0	0,4
Cabo Busto	Asturias	14.7 (13:40)	10.9 (03:10)	12,8			0	0	0	0	0
Degaña	Asturias	3.2 (16:40)	-0.2 (07:20)	1,5	17 (17:00)	9 (00:30)	6,2	0	0	4	2,2
Ibias, San Antolin	Asturias	6.9 (23:40)	3.3 (03:30)	5,1	44 (17:50)	24 (18:10)	0	0	0	0	0
Villayón, Oneta	Asturias	11.0 (14:00)	7.1 (02:40)	9	41 (12:20)	24 (08:40)	0,2	0	0	0	0,2
Figueras de Castropol	Asturias	13.4 (12:50)	9.8 (00:30)	11,6	51 (13:10)	27 (13:40)	0	0	0	0	0
Taramundi, Ouria	Asturias	11.0 (13:30)	7.3 (00:00)	9,2	47 (13:00)	29 (14:40)	0	0	0	0	0
Puerto de Leitariegos	Asturias	2.8 (21:20)	-2.8 (06:40)	0	50 (16:20)	36 (16:30)	3,8	0	0	2,8	1
Muñotello	Ávila	11.0 (15:10)	0.2 (06:10)	5,6	59 (21:20)	32 (21:20)	0	0	0	0	0
Ávila	Ávila	11.1 (14:50)	-0.1 (09:10)	5,5	42 (14:40)	27 (14:00)	0	0	0	0	0
Gotarrendura	Ávila	9.8 (15:40)	-0.5 (08:30)	4,7	48 (21:00)	36 (21:00)	0	0	0	0	0
Arevalo	Ávila	10.3 (16:40)	0.1 (05:30)	5,2	45 (20:50)	30 (23:40)	0	0	0	0	0
Rivilla de Barajas	Ávila	9.0 (15:10)	0.9 (09:20)	4,9	45 (23:10)	34 (15:20)	0	0	0	0	0
Navarredonda de Gredos	Ávila	11.8 (13:20)	-3.3 (04:40)	4,3	32 (15:20)	10 (23:59)	0	0	0	0	0
Barco de Avila	Ávila	12.1 (14:40)	-3.3 (06:10)	4,4	28 (15:30)	15 (15:10)	0	0	0	0	0
Puerto El Pico	Ávila	11.7 (13:40)	-3.4 (02:10)	4,1	38 (23:30)	21 (15:00)	0	0	0	0	0
Cebreros	Ávila	14.3 (14:40)	4.3 (07:40)	9,3	76 (23:59)	43 (23:59)	0	0	0	0	0
Sotillo de la Adrada	Ávila				39 (23:30)	13 (23:30)	0	0	0	0	0
Candeleda	Ávila	12.3 (16:40)	1.1 (08:20)	6,7	15 (13:20)	10 (12:20)	0	0	0	0	0
Herrera del Duque	Badajoz	13.1 (16:30)	1.0 (08:00)	7,1	28 (19:20)	13 (19:30)	0	0	0	0	0
Peraleda del Zaucejo	Badajoz	12.9 (16:20)	-0.5 (08:00)	6,2	36 (20:20)	23 (20:20)	0	0	0	0	0
Castuera	Badajoz	12.3 (15:10)	4.1 (08:30)	8,2	23 (15:00)	15 (16:20)	0	0	0	0	0
Navalvillar de Pela	Badajoz	13.6 (16:50)	1.2 (07:30)	7,4	30 (23:00)	20 (22:50)	0	0	0	0	0
Don Benito	Badajoz	14.7 (16:50)	3.3 (08:00)	9	24 (17:10)	13 (17:30)	0	0	0	0	0
Villafranca de los Barros	Badajoz	12.3 (15:50)	1.2 (08:30)	6,8	33 (22:20)	23 (22:20)	0	0	0	0	0
Mérida	Badajoz	16.8 (16:50)	1.8 (08:20)	9,3	31 (21:40)	18 (21:40)	0	0	0	0	0
Zafra	Badajoz	12.8 (15:50)	0.3 (08:10)	6,6	28 (16:20)	20 (15:40)	0	0	0	0	0
Almendralejo	Badajoz	12.8 (17:00)	3.2 (08:50)	8	27 (19:50)	20 (22:00)	0	0	0	0	0
Badajoz Aeropuerto	Badajoz	15.4 (16:50)	4.0 (09:20)	9,7	55 (17:00)	24 (21:00)	0	0	0	0	0
Alburquerque	Badajoz	15.8 (15:30)	2.1 (07:30)	9	26 (22:30)	15 (22:10)	0	0	0	0	0
Puebla de Obando	Badajoz	14.3 (15:40)	3.8 (07:20)	9,1	35 (23:59)	25 (23:59)	0	0	0	0	0
Badajoz	Badajoz	15.8 (17:10)	1.0 (07:50)	8,4	36 (20:30)	23 (20:30)	0	0	0	0	0
Olivenza	Badajoz				26 (23:00)	15 (20:40)	0	0	0	0	0
Alconchel	Badajoz	14.5 (17:20)	2.7 (08:10)	8,6	19 (23:50)	14 (23:50)	0	0	0	0	0
Barcarrota	Badajoz	13.4 (16:00)	0.8 (08:30)	7,1	18 (16:00)	10 (14:50)	0	0	0	0	0
Villanueva del Fresno	Badajoz	13.6 (17:30)	2.5 (07:50)	8,1	40 (23:30)	26 (23:30)	0	0	0	0	0
Monesterio	Badajoz	10.7 (16:40)	3.5 (08:10)	7,1	29 (20:20)	18 (23:50)	0	0	0	0	0
Fuente de Cantos	Badajoz	12.1 (16:30)	4.0 (08:50)	8,1	27 (17:20)	21 (17:20)	0	0	0	0	0
