España											
Actualizado: jueves, 21 enero 2016 a las 10:00 hora oficial											
Fecha: miércoles, 20 enero 2016											
											
Estación	Provincia	Temperatura máxima (ºC)	Temperatura mínima (ºC)	Temperatura media (ºC)	Racha (km/h)	Velocidad máxima (km/h)	Precipitación 00-24h (mm)	Precipitación 00-06h (mm)	Precipitación 06-12h (mm)	Precipitación 12-18h (mm)	Precipitación 18-24h (mm)
Estaca de Bares	A Coruña	16.2 (14:30)	10.3 (01:50)	13,3	28 (11:00)	23 (09:20)	0	0	0	0	0
As Pontes	A Coruña	13.9 (14:40)	4.1 (09:10)	9			0	0	0	0	0
A Coruña	A Coruña	16.6 (14:00)	9.6 (09:40)	13,1	30 (23:30)	16 (14:10)	0	0	0	0	0
A Coruña Aeropuerto	A Coruña	17.3 (14:30)	7.4 (06:00)	12,3	42 (23:40)	27 (23:50)					
Carballo, Depuradora	A Coruña	16.0 (14:10)	5.4 (05:40)	10,7			0	0	0	0	0
Cabo Vilan	A Coruña	14.9 (13:40)	9.4 (08:50)	12,1	50 (23:59)	35 (23:59)	0	0	0	0	0
Vimianzo	A Coruña	13.5 (13:20)	4.8 (05:30)	9,2			0	0	0	0	0
Fisterra	A Coruña	14.0 (14:20)	10.1 (07:50)	12,1	71 (23:30)	37 (22:30)	2,2	0	0	0	2,2
Mazaricos	A Coruña	12.7 (12:50)	7.6 (06:50)	10,1			0,6	0	0	0	0,6
Sobrado	A Coruña	11.6 (13:30)	4.9 (07:00)	8,3			0	0	0	0	0
Santiago de Compostela Aeropuerto	A Coruña	13.8 (13:10)	6.6 (02:20)	10,2	26 (15:00)	16 (16:20)	0	0	0	0	0
Noia	A Coruña	15.0 (13:50)	7.2 (04:30)	11,1	27 (14:10)	14 (14:10)	0,4	0	0	0,2	0,2
Monte Iroite	A Coruña							0	0	0	
Boiro	A Coruña	13.5 (13:40)	6.9 (03:40)	10,2			0,2	0	0	0	0,2
Padrón	A Coruña	13.8 (14:40)	5.2 (03:00)	9,5	24 (01:30)	19 (00:40)	0	0	0	0	0
Santiago de Compostela	A Coruña	13.6 (13:10)	5.7 (04:10)	9,7	22 (15:20)	6 (15:00)	0	0	0	0	0
Rois, Casas do Porto	A Coruña	13.7 (14:10)	6.7 (04:20)	10,2			0	0	0	0	0
Ossa de Montiel	Albacete	8.8 (13:40)	1.7 (05:50)	5,3	16 (11:20)	8 (11:20)	0	0	0	0	0
Villarrobledo	Albacete	10.0 (11:40)	1.6 (00:10)	5,8	17 (18:00)	11 (00:50)	0,2	0	0	0	0,2
Munera	Albacete	8.5 (15:20)	0.3 (00:00)	4,4	18 (05:20)	8 (06:00)	0,2	0	0	0	0,2
Yeste, Embalse Fuensanta	Albacete	12.1 (16:30)	0.8 (04:20)	6,5			3	0	0	2,8	0,2
Yeste	Albacete	11.2 (16:00)	1.5 (04:10)	6,3			2,2	0	0	1,6	0,6
Hellín	Albacete	11.5 (12:30)	3.2 (04:30)	7,4	29 (21:30)	19 (22:00)	0	0	0	0	0
Tobarra	Albacete	12.2 (12:50)	2.2 (04:10)	7,2			0,2	0	0	0,2	0
Chinchilla	Albacete	8.3 (14:40)	0.7 (08:30)	4,5	28 (03:00)	18 (03:00)	0,6	0	0	0	0,6
