España											
Actualizado: viernes, 10 enero 2014 a las 09:00 hora oficial											
Fecha: jueves, 09 enero 2014											
											
Estación	Provincia	Temperatura máxima (ºC)	Temperatura mínima (ºC)	Temperatura media (ºC)	Racha (km/h)	Velocidad máxima (km/h)	Precipitación 00-24h (mm)	Precipitación 00-06h (mm)	Precipitación 06-12h (mm)	Precipitación 12-18h (mm)	Precipitación 18-24h (mm)
Estaca de Bares	A Coruña	11.3 (01:20)	9.1 (07:50)	10,2	50 (07:40)	41 (07:40)	11,4	7,6	3,8	0	0
As Pontes	A Coruña	10.0 (00:00)	7.4 (10:20)	8,7							
A Coruña	A Coruña	11.3 (00:10)	8.9 (09:50)	10,1	25 (07:00)	14 (13:10)	9,6	7	2,6	0	0
A Coruña Aeropuerto	A Coruña								1,7	0	0
Carballo, Depuradora	A Coruña	10.4 (00:00)	8.5 (10:00)	9,4			6,4	4,6	1,6	0,2	0
Cabo Vilan	A Coruña	10.3 (04:20)	7.7 (09:40)	9	26 (05:20)	18 (05:20)	4,6	1,7	2,9	0	0
Vimianzo	A Coruña	9.2 (00:30)	7.0 (08:50)	8,1							
Fisterra	A Coruña	10.1 (04:00)	7.6 (09:30)	8,9			4	2,4	1,6	0	0
Mazaricos	A Coruña	9.1 (16:10)	6.9 (09:10)	8			5,4	4,4	0,8	0,2	0
Sobrado	A Coruña	9.9 (00:40)	6.8 (23:30)	8,3			2,6	2,6	0	0	0
Santiago de Compostela Aeropuerto	A Coruña										
Noia	A Coruña	10.6 (00:00)	8.5 (10:00)	9,6	12 (14:10)	5 (17:00)	9	7,8	0,8	0	0,4
Boiro	A Coruña	11.8 (00:00)	9.7 (11:00)	10,8			15,2	14,6	0,6	0	0
Padrón	A Coruña										
Santiago de Compostela	A Coruña	11.0 (00:00)	8.7 (12:20)	9,8	14 (15:30)	5 (15:10)	17,6	16,9	0,7	0	0
Rois, Casas do Porto	A Coruña	11.2 (00:00)	8.1 (11:10)	9,7			16,8	15,8	1	0	0
Ossa de Montiel	Albacete	18.5 (14:50)	-0.6 (07:40)	8,9	17 (14:40)	7 (15:00)	0	0	0	0	0
Villarrobledo	Albacete				22 (10:50)	13 (14:30)	0	0	0	0	0
Munera	Albacete	17.4 (13:50)	-2.5 (08:30)	7,4	17 (14:10)	9 (14:10)	0	0	0	0	0
Yeste, Embalse Fuensanta	Albacete							0	0		
Yeste	Albacete	13.9 (13:10)	2.7 (08:30)	8,3			0	0	0	0	0
Hellín	Albacete	15.6 (14:50)	3.5 (08:00)	9,6	13 (02:20)	8 (02:10)	0	0	0	0	0
Tobarra	Albacete	16.1 (14:50)	1.0 (06:30)	8,6			0	0	0	0	0
Chinchilla	Albacete	16.3 (15:20)	5.4 (06:00)	10,8	19 (07:10)	16 (07:10)	0	0	0	0	0
Albacete	Albacete	15.8 (15:30)	0.2 (07:40)	8	12 (15:30)	5 (15:50)	0	0	0	0	0
Alcalá del Júcar	Albacete	15.4 (15:50)	-0.4 (08:50)	7,5	7 (20:30)	4 (18:00)	0	0	0	0	0
Orihuela	Alacant/Alicante	15.6 (15:50)	4.1 (08:30)	9,9	18 (17:00)	11 (17:00)	0	0	0	0	0
Pinoso	Alacant/Alicante	18.8 (15:10)	-1.2 (05:50)	8,8	11 (16:30)	7 (16:30)	0	0	0	0	0
Rojales	Alacant/Alicante	14.7 (14:50)	4.1 (08:20)	9,4	17 (16:40)	11 (01:00)	0	0	0	0	0
Villena	Alacant/Alicante	17.9 (15:20)	-3.5 (08:10)	7,2	18 (17:40)	15 (17:40)	0	0	0	0	0
Novelda	Alacant/Alicante	17.4 (14:20)	4.4 (07:20)	10,9			0	0	0	0	0
Elche/Elx	Alacant/Alicante	17.1 (14:50)	3.8 (08:30)	10,5			0	0	0	0	0
Alicante/Alacant Aeropuerto	Alacant/Alicante	15.3 (12:50)	2.6 (07:00)	9	21 (16:00)	15 (16:50)	0	0	0	0	0
Alicante/Alacant	Alacant/Alicante	15.9 (13:50)	3.7 (08:20)	9,8	16 (16:20)	9 (15:30)	0	0	0	0	0
Jávea/ Xàbia	Alacant/Alicante	14.1 (14:50)	4.9 (07:20)	9,5	18 (12:00)	12 (14:10)	0,2	0	0,2	0	0
Pego	Alacant/Alicante	14.0 (13:30)	6.7 (06:00)	10,3	12 (14:20)	7 (00:50)	0	0	0	0	0
Alcoy/Alcoi	Alacant/Alicante	16.9 (14:10)	5.7 (01:50)	11,3	19 (08:00)	14 (07:30)	0	0	0	0	0
Vélez Blanco	Almería	14.6 (14:10)	3.6 (04:10)	9,1				0	0		0
Adra	Almería	17.8 (11:40)	10.8 (04:50)	14,3	14 (08:00)	8 (12:20)	0	0	0	0	0
El Ejido	Almería	20.8 (14:00)	9.0 (06:40)	14,9			0	0	0	0	0
Roquetas de Mar	Almería	17.3 (14:20)	4.9 (07:30)	11,1	40 (23:59)	25 (23:59)	0	0	0	0	0
Abla	Almería							0		0	0
Láujar de Andarax	Almería	16.3 (14:40)	7.3 (23:00)	11,8	22 (22:20)	12 (22:20)	0	0	0	0	0
Almería Aeropuerto	Almería	19.7 (14:40)	8.9 (01:50)	14,3	35 (17:10)	27 (18:00)	0	0	0	0	0
Cabo de Gata	Almería	16.1 (13:30)	13.4 (08:00)	14,8	54 (18:30)	39 (17:40)	0	0	0	0	0
Garrucha, Puerto	Almería	16.5 (12:50)	7.8 (07:00)	12,2	22 (23:59)	17 (01:30)	0	0	0	0	0
Albox	Almería	19.5 (14:10)	6.5 (08:30)	13	18 (05:20)	15 (05:20)	0	0	0	0	0
Huercal Overa	Almería	18.9 (13:30)	3.7 (07:00)	11,3	17 (16:20)	9 (16:00)	0	0	0	0	0
Alborán	Almería										
Aramaio	Araba/Álava	15.0 (15:20)	5.9 (23:50)	10,5			0	0	0	0	0
Amurrio	Araba/Álava	17.3 (14:40)	6.8 (23:50)	12	25 (13:50)	15 (08:00)	0	0	0	0	0
Lalastra	Araba/Álava	12.8 (16:00)	3.1 (23:59)	8	41 (00:20)	19 (00:30)	0	0	0	0	0
Opakua	Araba/Álava	15.6 (16:30)	5.0 (23:10)	10,3	63 (00:50)	39 (00:50)	0	0	0	0	0
Vitoria Gasteiz Aeropuerto	Araba/Álava	14.3 (16:30)	1.4 (23:59)	7,9	21 (14:20)	14 (14:10)	0	0	0	0	0
Labastida	Araba/Álava	10.6 (16:20)	3.5 (08:10)	7,1	9 (09:50)	5 (18:50)	0	0	0	0	0
Leza	Araba/Álava	11.0 (16:20)	3.0 (23:40)	7			0	0	0	0	0
Campezo/Kanpezu	Araba/Álava	12.4 (16:10)	0.3 (23:59)	6,3			0	0	0	0	0
Cabrales	Asturias	16.8 (01:20)	8.5 (23:59)	12,6	96 (00:50)	64 (00:50)	0	0	0	0	0
Llanes	Asturias	15.0 (01:20)	11.3 (23:30)	13,2	50 (02:30)	30 (02:30)	0	0	0	0	0
Amieva, Panizales	Asturias	16.4 (07:20)	8.6 (22:50)	12,5	60 (00:10)	28 (00:10)	0	0	0	0	0
Piloña	Asturias	15.1 (00:40)	8.1 (06:30)	11,6	30 (02:20)	17 (02:00)	0	0	0	0	0
Colunga	Asturias	16.9 (01:30)	9.3 (23:59)	13,1	46 (01:40)	17 (01:40)	0	0	0	0	0
Gijón, Campus	Asturias	17.7 (00:30)	10.7 (19:50)	14,2	39 (01:10)	22 (01:10)	0	0	0	0	0
Cabo Peñas	Asturias	13.6 (00:00)	10.0 (17:10)	11,8	43 (00:50)	26 (01:00)	0	0	0	0	0
Asturias Aeropuerto	Asturias	13.3 (00:00)	9.8 (18:40)	11,6	39 (00:20)	20 (00:10)	0,2	0	0	0,2	0
Puerto de Pajares	Asturias	7.2 (15:50)	3.4 (08:30)	5,3	55 (01:00)	32 (01:30)	0	0	0	0	0
Pola de Lena	Asturias	15.0 (06:10)	7.0 (23:59)	11	31 (05:40)	15 (05:40)	0	0	0	0	0
Aller	Asturias	13.6 (05:00)	4.4 (21:40)	9	27 (01:10)	10 (13:00)	0	0	0	0	0
Mieres	Asturias	16.0 (01:30)	7.6 (05:50)	11,8	17 (02:00)	8 (15:30)	0	0	0	0	0
Oviedo	Asturias	13.8 (00:10)	8.6 (09:00)	11,2	23 (16:20)	15 (16:40)	0	0	0	0	0
Tineo, Soto de la Barca	Asturias	13.5 (14:20)	4.9 (08:00)	9,2	21 (15:30)	10 (14:40)	0	0	0	0	0
Pola de Somiedo	Asturias	12.4 (06:20)	4.1 (23:30)	8,2	42 (04:00)	22 (04:30)	0	0	0	0	0
Salas	Asturias	12.8 (13:10)	8.5 (08:40)	10,7	17 (13:20)	12 (13:30)	0,2	0	0	0	0,2
Cabo Busto	Asturias	13.3 (00:00)	10.3 (19:00)	11,8			0	0	0	0	0
Degaña	Asturias	10.9 (14:20)	5.0 (19:40)	7,9	40 (02:40)	16 (03:00)	0	0	0	0	0
Ibias, San Antolin	Asturias	14.7 (15:10)	7.2 (23:10)	10,9	49 (04:20)	32 (04:10)	0	0	0	0	0
Villayón, Oneta	Asturias	10.6 (00:00)	7.6 (20:00)	9,1	21 (00:10)	19 (00:50)	0,2	0,2	0	0	0
Figueras de Castropol	Asturias	11.9 (00:00)	9.8 (23:40)	10,8	19 (12:10)	10 (04:40)	0,9	0,8	0	0	0,1
Taramundi, Ouria	Asturias	10.8 (00:00)	7.5 (23:40)	9,2	30 (11:10)	21 (11:10)	0,8	0,6	0	0,2	0
Puerto de Leitariegos	Asturias	7.9 (15:00)	1.5 (01:10)	4,7	55 (08:20)	26 (09:30)	0	0	0	0	0
Muñotello	Ávila	17.1 (15:10)	6.0 (23:20)	11,6	49 (01:40)	36 (01:20)					
Ávila	Ávila	15.1 (16:20)	4.8 (23:50)	10	33 (00:30)	20 (13:40)	0	0	0	0	0
Gotarrendura	Ávila	17.1 (15:40)	4.8 (23:59)	11	41 (02:20)	28 (02:50)	0	0	0	0	0
Arevalo	Ávila	16.9 (16:00)	3.6 (23:59)	10,2	25 (00:10)	17 (00:20)	0	0	0	0	0
Rivilla de Barajas	Ávila	14.5 (17:00)	6.9 (23:40)	10,7	32 (00:50)	18 (08:30)	0	0	0	0	0
Navarredonda de Gredos	Ávila	14.9 (15:40)	2.6 (23:40)	8,7	31 (00:50)	19 (00:40)	0	0	0	0	0
Barco de Avila	Ávila	17.9 (14:40)	3.7 (05:50)	10,8	33 (00:10)	23 (00:10)	0	0	0	0	0
Puerto El Pico	Ávila	13.6 (13:40)	-2.6 (03:40)	5,5	28 (16:20)	15 (14:10)	0	0	0	0	0
Cebreros	Ávila	14.7 (15:20)	4.5 (06:00)	9,6	13 (19:30)	6 (19:30)	0	0	0	0	0
Sotillo de la Adrada	Ávila				31 (13:40)	10 (13:40)		0		0	0
Candeleda	Ávila	16.8 (15:40)	4.0 (09:10)	10,4	8 (13:00)	6 (08:20)	0	0	0	0	0
Herrera del Duque	Badajoz	16.5 (15:40)	3.3 (09:20)	9,9	9 (19:50)	7 (19:50)	0	0	0	0	0
Peraleda del Zaucejo	Badajoz	18.0 (16:10)	2.8 (05:50)	10,4	10 (12:40)	8 (12:40)	0	0	0	0	0
Castuera	Badajoz				39 (06:10)	26 (06:20)	0	0	0	0	0
Navalvillar de Pela	Badajoz	18.3 (16:10)	5.2 (06:30)	11,7	16 (04:30)	12 (03:50)	0	0	0	0	0
Don Benito	Badajoz	19.2 (14:40)	7.6 (08:00)	13,4	23 (01:00)	13 (01:00)	0	0	0	0	0
Villafranca de los Barros	Badajoz	18.9 (15:40)	5.0 (09:10)	11,9	30 (01:10)	20 (01:00)	0	0	0	0	0
Mérida	Badajoz	18.9 (16:10)	7.6 (03:20)	13,2	30 (08:30)	19 (08:30)	0	0	0	0	0
Zafra	Badajoz	21.3 (15:40)	6.3 (09:20)	13,8	19 (02:10)	15 (00:30)	0	0	0	0	0
Almendralejo	Badajoz									1	0
Badajoz Aeropuerto	Badajoz	19.6 (16:20)	6.9 (08:50)	13,3	16 (12:10)	13 (12:10)	0	0	0	0	0
Alburquerque	Badajoz	18.7 (16:30)	4.2 (08:30)	11,5		7 (13:30)	0	0	0	0	0
