España											
Actualizado: martes, 31 enero 2017 a las 14:00 hora oficial											
Fecha: lunes, 30 enero 2017											
											
Estación	Provincia	Temperatura máxima (ºC)	Temperatura mínima (ºC)	Temperatura media (ºC)	Racha (km/h)	Velocidad máxima (km/h)	Precipitación 00-24h (mm)	Precipitación 00-06h (mm)	Precipitación 06-12h (mm)	Precipitación 12-18h (mm)	Precipitación 18-24h (mm)
Estaca de Bares	A Coruña	17.0 (13:20)	13.7 (00:00)	15,3	81 (09:10)	60 (09:10)	0	0	0	0	0
As Pontes	A Coruña	14.5 (14:50)	10.5 (21:50)	12,5			2	0	0	0	2
A Coruña	A Coruña	16.2 (07:50)	13.1 (23:30)	14,7	71 (23:20)	29 (18:20)	0	0	0	0	0
A Coruña Aeropuerto	A Coruña	15.5 (07:10)	12.5 (23:20)	14	68 (23:00)	42 (23:00)	0	0	0	0	0
Carballo, Depuradora	A Coruña										
Cabo Vilan	A Coruña	13.3 (04:10)	11.1 (23:59)	12,2	84 (23:50)	57 (17:50)	11,6	0	1,7	4,3	5,6
Vimianzo	A Coruña	13.5 (06:30)	10.5 (23:59)	12			55,2	2,6	17,6	22,2	12,8
Fisterra	A Coruña										
Mazaricos	A Coruña	12.7 (03:10)	9.6 (23:50)	11,2							
Sobrado	A Coruña	11.9 (06:10)	8.7 (00:30)	10,3			3,2	1,6	1	0	0,6
Santiago de Compostela Aeropuerto	A Coruña	12.8 (04:40)	9.9 (21:40)	11,3	59 (15:50)	33 (13:50)	7,6	2,9	4,2	0	0,5
Noia	A Coruña	13.9 (04:20)	10.7 (22:40)	12,3	58 (17:30)	23 (23:59)	27,6	2,4	9,4	8,2	7,6
Boiro	A Coruña	13.8 (12:40)	12.3 (22:00)	13,1			6,2	3,6	1,4	0	1,2
Padrón	A Coruña	13.6 (03:00)	10.5 (23:50)	12,1	56 (06:40)	24 (06:40)	17,6	4,3	8,5	0,9	3,9
Santiago de Compostela	A Coruña	13.7 (06:40)	10.6 (23:59)	12,2	43 (06:50)	15 (04:10)	7,5	1,6	3,4	1,2	1,3
Rois, Casas do Porto	A Coruña	13.3 (02:40)	10.2 (23:10)	11,8			52,6	16	23,6	2,4	10,6
Ossa de Montiel	Albacete	15.0 (15:40)	6.1 (02:20)	10,5	17 (14:00)	9 (00:40)	0	0	0	0	0
Villarrobledo	Albacete	11.9 (14:20)	7.5 (02:30)	9,7	22 (13:20)	15 (13:10)	0	0	0	0	0
Yeste, Embalse Fuensanta	Albacete	21.9 (16:10)	5.9 (09:30)	13,9			0	0	0	0	0
Yeste	Albacete	17.1 (16:30)	5.9 (08:20)	11,5			0	0	0	0	0
Hellín	Albacete	17.2 (14:40)	7.1 (05:00)	12,2	17 (16:00)	11 (16:40)	0	0	0	0	0
Tobarra	Albacete	18.0 (15:00)	6.9 (04:10)	12,5			0	0	0	0	0
Chinchilla	Albacete	10.6 (13:20)	5.6 (23:59)	8,1	32 (05:10)	19 (12:40)	0	0	0	0	0
Albacete	Albacete	14.5 (13:20)	7.2 (23:59)	10,8	18 (12:20)	9 (12:20)	0	0	0	0	0
Almansa	Albacete	16.5 (15:10)	4.2 (23:59)	10,3	31 (12:10)	13 (11:00)	0	0	0	0	0
Orihuela	Alacant/Alicante	20.1 (16:20)	8.8 (07:50)	14,5	22 (12:40)	15 (12:50)	0	0	0	0	0
Pinoso	Alacant/Alicante	16.6 (14:20)	5.7 (23:59)	11,2	19 (06:10)	1 (06:00)	0	0	0	0	0
Rojales	Alacant/Alicante	20.6 (15:50)	10.2 (06:40)	15,4	28 (17:40)	16 (17:40)	0	0	0	0	0
Villena	Alacant/Alicante	18.7 (16:00)	5.0 (01:00)	11,9	30 (11:40)	19 (11:40)	0	0	0	0	0
Novelda	Alacant/Alicante	20.7 (15:00)	9.6 (00:10)	15,2			0	0	0	0	0
Elche/Elx	Alacant/Alicante	20.7 (14:20)	8.2 (01:30)	14,5			0	0	0	0	0
Alicante/Alacant Aeropuerto	Alacant/Alicante	21.7 (13:50)	8.2 (01:30)	15	37 (11:10)	23 (13:00)	1,8	0	1,6	0,2	0
Alicante/Alacant	Alacant/Alicante	20.8 (15:30)	9.0 (01:30)	14,9	24 (16:20)	13 (15:40)	0	0	0	0	0
Benidorm	Alacant/Alicante	18.9 (13:20)	7.2 (03:10)	13	16 (15:30)	10 (12:20)	0	0	0	0	0
Jávea/ Xàbia	Alacant/Alicante	19.7 (14:40)	6.4 (07:30)	13,1	22 (15:30)	12 (05:50)	0	0	0	0	0
Pego	Alacant/Alicante	21.5 (15:10)	11.8 (01:20)	16,7	29 (11:40)	17 (10:50)	0	0	0	0	0
Alcoy/Alcoi	Alacant/Alicante	18.2 (15:20)	8.9 (04:30)	13,6	19 (15:30)	12 (21:50)	0	0	0	0	0
Vélez Blanco - Topares	Almería	14.9 (16:10)	2.4 (07:00)	8,6			0	0	0	0	0
